year,serons_VERB au_ADP
1966,6.480717473777986e-08
1967,7.987143391119389e-08
1968,6.512552630510982e-08
1969,7.266812218631458e-08
1970,6.852100398191396e-08
1971,6.114692752134943e-08
1972,7.233506948978174e-08
1973,6.340184199871146e-08
1974,4.894247496167736e-08
1975,4.3407247574123176e-08
1976,5.256444879364608e-08
1977,8.168726850499297e-08
1978,4.871284886576177e-08
1979,6.086052195541924e-08
1980,4.832378053265529e-08
1981,6.768338067786317e-08
1982,4.531476704983106e-08
1983,5.62063142695024e-08
1984,6.378909489512807e-08
1985,6.737425195524338e-08
1986,4.7955882820360785e-08
1987,5.071978037562985e-08
1988,5.876622566347578e-08
1989,6.3113404280557e-08
1990,6.048002632041971e-08
1991,8.674968654531767e-08
1992,6.942529751086113e-08
1993,4.874502579355067e-08
1994,5.8551684389840375e-08
1995,5.693573257303797e-08
1996,7.63347216548027e-08
1997,6.233362626062444e-08
1998,6.24624902911819e-08
1999,5.667049407520608e-08
2000,5.964342619790841e-08
2001,6.57181757901526e-08
2002,6.002273522653923e-08
2003,5.5003383181428944e-08
2004,5.638132805074747e-08
2005,7.115924205436386e-08
2006,7.206307373053278e-08
2007,6.990339329604467e-08
2008,7.450519490248553e-08
2009,9.059565542202108e-08
2010,1.1478817185661683e-07
2011,9.980566773037935e-08
2012,1.3548925892337138e-07
2013,1.6929989499203657e-07
2014,1.600264027956655e-07
2015,1.773260294157808e-07
2016,1.9408456353176007e-07
2017,1.5974131883922382e-07
2018,1.956751702891779e-07
2019,1.7448756750582106e-07
