year,quelles_DET heures_NOUN
1947,5.364392041684596e-08
1948,4.022598654174203e-08
1949,4.613993809243766e-08
1950,3.616022858921042e-08
1951,4.157946520422229e-08
1952,4.2179214787552155e-08
1953,4.201792602742671e-08
1954,5.1794439848151796e-08
1955,3.754243227405141e-08
1956,4.186147872786705e-08
1957,3.445664731316356e-08
1958,1.9853384047863187e-08
1959,2.4802392140088614e-08
1960,2.906750040665429e-08
1961,1.59807664878997e-08
1962,1.9025869324451605e-08
1963,3.362347733570914e-08
1964,4.31961746372167e-08
1965,3.502107759345563e-08
1966,3.323444808245313e-08
1967,2.6130778874033922e-08
1968,4.4015875388936365e-08
1969,2.361713979937008e-08
1970,2.8971968824009764e-08
1971,2.569198676027895e-08
1972,2.7189778872838133e-08
1973,2.6463378155483497e-08
1974,1.8001829582559026e-08
1975,2.4559364319998167e-08
1976,1.9997343780886467e-08
1977,1.586731124270102e-08
1978,2.0198010819427736e-08
1979,1.58003277128671e-08
1980,1.989802722590639e-08
1981,2.846497171304918e-08
1982,1.8622506647858472e-08
1983,3.0945048745678605e-08
1984,1.3917620389491958e-08
1985,1.2031116214394899e-08
1986,2.457739123329361e-08
1987,2.3221104594739472e-08
1988,2.338655979983173e-08
1989,1.8659615186322753e-08
1990,2.2339469829546488e-08
1991,2.8135032081877398e-08
1992,1.597883780846132e-08
1993,1.827938511667071e-08
1994,1.8462243067673967e-08
1995,1.3013881972057106e-08
1996,2.1352368761995422e-08
1997,1.5823152121896555e-08
1998,1.4304387896402204e-08
1999,1.919484549084416e-08
2000,2.3415567262929926e-08
2001,2.2344179395616948e-08
2002,1.7963007969967748e-08
2003,2.6251614215766494e-08
2004,1.805964355838796e-08
2005,1.2160123796789435e-08
2006,2.0589449256647185e-08
2007,1.5179022261335717e-08
2008,1.8732734474724566e-08
2009,1.3350939020995156e-08
2010,1.842279306885075e-08
2011,2.2943832167499068e-08
2012,2.2127642829161687e-08
2013,2.0081700746743536e-08
2014,3.053277719544667e-08
2015,3.8568412463746427e-08
2016,4.432667743969887e-08
2017,2.842640833833343e-08
2018,3.975458717775382e-08
2019,4.005050779909425e-08
