year,toutes_DET heures_NOUN
1901,1.1289252560553464e-07
1902,8.00376263043745e-08
1903,7.290297565631931e-08
1904,6.01958012325099e-08
1905,8.308821719538173e-08
1906,9.413857782192281e-08
1907,6.788553008618692e-08
1908,7.219741804398438e-08
1909,9.186642557779123e-08
1910,6.519864115261953e-08
1911,8.459394917892382e-08
1912,9.533241041026486e-08
1913,9.439321502213716e-08
1914,3.817143784390353e-08
1915,1.4136913861761968e-08
1916,2.6369908923129515e-08
1917,3.61891991929042e-08
1918,4.479686666059024e-08
1919,5.4326307008523145e-08
1920,5.2248399384779987e-08
1921,4.4679211441689404e-08
1922,5.090775445637519e-08
1923,8.068120394000289e-08
1924,6.316896161706609e-08
1925,1.3637740892136208e-07
1926,7.690835701623655e-08
1927,7.91594985116717e-08
1928,1.0054916543822401e-07
1929,9.580749349424877e-08
1930,5.461873797685257e-08
1931,9.010232027151233e-08
1932,7.014103431401963e-08
1933,5.047091278242988e-08
1934,7.788027112098916e-08
1935,7.061287732312849e-08
1936,4.243650053581405e-08
1937,4.784624774156754e-08
1938,6.482607295410503e-08
1939,6.117620099388432e-08
1940,3.550096194793184e-08
1941,1.1510859998509204e-07
1942,5.76500234217292e-08
1943,6.387117679196308e-08
1944,5.7837350908584995e-08
1945,3.703456741277478e-08
1946,6.821341091978184e-08
1947,7.986983296959238e-08
1948,5.109787437618252e-08
1949,3.337782672474532e-08
1950,5.424034199563721e-08
1951,5.224086896404856e-08
1952,6.115986428412157e-08
1953,5.8178667217134716e-08
1954,5.179444229064245e-08
1955,5.443652639769425e-08
1956,3.8373023869553435e-08
1957,4.417518939536791e-08
1958,4.0533993772573496e-08
1959,4.650448781617911e-08
1960,5.536666591865469e-08
1961,4.8637113170268975e-08
1962,6.532214769094935e-08
1963,4.461576863512562e-08
1964,5.049693813097278e-08
1965,9.083592056313705e-08
1966,7.533141788140796e-08
1967,7.937840251770467e-08
1968,7.18626517737242e-08
1969,7.902658916147942e-08
1970,7.265985857429769e-08
1971,7.707596350048362e-08
1972,5.3866542337743795e-08
1973,6.064524171733865e-08
1974,4.500457273515224e-08
1975,6.168398369865713e-08
1976,5.4278506578242514e-08
1977,5.171568062678489e-08
1978,4.811879017463383e-08
1979,4.3889799905549864e-08
1980,5.059784280447843e-08
1981,6.641826783004845e-08
1982,4.283176591179938e-08
1983,4.6101806816523094e-08
1984,4.34925629955174e-08
1985,4.4515129360434e-08
1986,2.9372979659658682e-08
1987,3.6053818153192196e-08
1988,3.1781734577407406e-08
1989,4.664903741069537e-08
1990,3.5416231725093894e-08
1991,3.985796281913423e-08
1992,4.187557678392295e-08
1993,5.040678630052753e-08
1994,5.327675717259339e-08
1995,4.717532264830737e-08
1996,5.925282309249269e-08
1997,5.5620777317244574e-08
1998,6.24624902911819e-08
1999,4.25028723327614e-08
2000,4.771473882669852e-08
2001,5.301266270407723e-08
2002,6.352771464435136e-08
2003,5.208653580668354e-08
2004,4.669078884633748e-08
2005,3.693074646093919e-08
2006,3.911995349881181e-08
2007,5.472436725995067e-08
2008,4.981204426712793e-08
2009,4.958920385433885e-08
2010,5.007220593711281e-08
2011,8.986334165683729e-08
2012,8.034036369508613e-08
2013,5.4109026592641385e-08
2014,5.197068375650815e-08
2015,7.004377895747371e-08
2016,5.861892318770323e-08
2017,5.660125640405411e-08
2018,5.5501534035329314e-08
2019,4.183619850550713e-08
