year,vrais_ADJ fils_NOUN
1890,4.4569826496143605e-08
1891,4.9081492647928826e-08
1892,4.513329066035965e-08
1893,5.234653954744317e-08
1894,5.167262373539927e-08
1895,5.2963808894190834e-08
1896,4.8945340669348525e-08
1897,5.302309213917056e-08
1898,5.941272762655103e-08
1899,5.3617508655179336e-08
1900,4.6200373304827735e-08
1901,5.085752285971523e-08
1902,3.879124221839447e-08
1903,7.344299279843369e-08
1904,5.750848863783631e-08
1905,5.98648061123086e-08
1906,7.253300282616948e-08
1907,3.95998933089281e-08
1908,6.188350298863554e-08
1909,5.5009834909469646e-08
1910,4.489086602443848e-08
1911,6.012022757406754e-08
1912,6.3554936147181e-08
1913,8.3787237203925e-08
1914,3.884111371421639e-08
1915,1.0013647488982258e-07
1916,6.812226716057523e-08
1917,1.008911028055337e-07
1918,6.891825687915798e-08
1919,5.5247091124144276e-08
1920,5.8306182992851063e-08
1921,6.058198032121709e-08
1922,5.0169961851587175e-08
1923,7.218845032852528e-08
1924,7.606058305409391e-08
1925,4.6192347724627325e-08
1926,4.124071395494866e-08
1927,5.2401357142350946e-08
1928,3.427812322875923e-08
1929,2.8965056131369238e-08
1930,4.096405348263943e-08
1931,4.676196141417677e-08
1932,5.5893636607962094e-08
1933,2.408839128165141e-08
1934,3.354842448288764e-08
1935,3.231436807027421e-08
1936,4.364897199238271e-08
1937,4.910535977842301e-08
1938,3.3709557811789637e-08
1939,5.047036566452334e-08
1940,5.0715659227762444e-08
1941,6.788455664263893e-08
1942,5.461581054078124e-08
1943,2.9032351633873077e-08
1944,2.8918675454292497e-08
1945,4.574858536443571e-08
1946,8.07424029858339e-08
1947,4.053096236411591e-08
1948,4.783630513927051e-08
1949,4.417653876043204e-08
1950,4.78591268837647e-08
1951,2.9851925376078725e-08
1952,4.428817668156171e-08
1953,3.3398865895151175e-08
1954,3.518113089739927e-08
1955,4.598947711542678e-08
1956,3.7500909488841216e-08
1957,3.975766915687018e-08
1958,4.053399393910695e-08
1959,4.4179262248533746e-08
1960,5.3982500747284945e-08
1961,4.168895484379931e-08
1962,4.819886784135363e-08
1963,2.9743845497698373e-08
1964,3.3461825088565433e-08
1965,3.666269182689419e-08
1966,3.711179985543822e-08
1967,3.549841598449177e-08
1968,4.042274193150064e-08
1969,2.5888018839737015e-08
1970,2.713247759800197e-08
1971,3.5968782063910965e-08
1972,2.8728821988011077e-08
1973,2.2052814296902312e-08
1974,2.3627400480563665e-08
1975,4.11226563912237e-08
1976,2.513951885552146e-08
1977,3.173462204131283e-08
1978,2.732671966487743e-08
1979,3.2771051650115623e-08
1980,3.069981363568175e-08
1981,4.1748627666038374e-08
1982,3.3520510700491e-08
1983,3.7260366125835276e-08
1984,3.24744482971262e-08
1985,3.428868144972341e-08
1986,2.6975184752586756e-08
1987,4.949761489569937e-08
1988,3.118207897445657e-08
1989,3.018467220616827e-08
1990,2.3429199524915845e-08
1991,3.165191131415668e-08
1992,2.644773289262048e-08
1993,2.492643363938285e-08
1994,3.0594573985354145e-08
1995,3.145021310047014e-08
1996,2.8291889497822353e-08
1997,2.205651483677684e-08
1998,3.29000926502232e-08
1999,5.1643271881118835e-08
2000,2.9159007652879154e-08
2001,3.373533025152753e-08
2002,2.4972962087144168e-08
2003,1.7084383685528337e-08
2004,2.7309705968869835e-08
2005,2.927437159350177e-08
2006,3.006059612342682e-08
2007,2.0371845016464718e-08
2008,2.384166220004147e-08
2009,2.765551587735615e-08
2010,3.117703384347692e-08
2011,2.2943831723409858e-08
2012,2.348934341478426e-08
2013,2.844907559529375e-08
2014,3.4430577014465946e-08
2015,2.615559023533276e-08
2016,4.411954301897225e-08
2017,3.3960753015316314e-08
2018,2.4523932939946036e-08
2019,2.1938494909612416e-08
