year,serons_VERB aux_ADP
1994,7.912389854425328e-09
1995,5.964695848348356e-09
1996,5.871901187504136e-09
1997,1.102825741838842e-08
1998,1.6688451509594415e-08
1999,1.1425503210205079e-08
2000,9.277866475088103e-09
2001,7.886181485616817e-09
2002,8.324320788233308e-09
2003,1.0417307017007715e-08
2004,1.6297727611913615e-08
2005,1.8465373230469595e-08
2006,5.7650457740976435e-09
2007,1.4779574009082808e-08
2008,1.6178271167177627e-08
2009,1.2874119548200724e-08
2010,1.2754241218715379e-08
2011,1.6825476123472072e-08
2012,1.6340413466764403e-08
2013,1.9802786965783525e-08
2014,2.1221362445089653e-08
2015,2.0835809522168347e-08
2016,2.5063213726639333e-08
2017,1.5345229087415646e-08
2018,2.2716907466246994e-08
2019,2.0918099252753564e-08
