year,forces_NOUN in_ADJ
1998,1.0489884516573511e-08
1999,8.683382457519428e-09
2000,1.3254094710646314e-08
2001,1.796296800193886e-08
2002,3.0668551032064784e-09
2003,2.25013838672794e-08
2004,1.2333415622123312e-08
2005,1.261049842327111e-08
2006,8.235779835885637e-09
2007,1.877405320094283e-08
2008,1.3623807415541478e-08
2009,8.105927484791664e-09
2010,8.975207022032805e-09
2011,1.185431264261183e-08
2012,7.829781267787439e-09
2013,1.031976237797494e-08
2014,1.1260314902727941e-08
2015,8.201329171342309e-09
2016,9.113896304313585e-09
2017,1.308117902887318e-08
2018,5.421080029321956e-09
2019,9.183556137770665e-09
