year,vingt - deux fois
1895,6.177020850373083e-08
1896,5.138439762575331e-08
1897,4.702544398327291e-08
1898,5.181351814265156e-08
1899,4.8193241397598285e-08
1900,2.9827223357870025e-08
1901,2.713632241135855e-08
1902,4.0012929858335156e-08
1903,5.484112741704905e-08
1904,6.70680633252374e-08
1905,4.672274678263477e-08
1906,4.710795442619542e-08
1907,3.353376931691798e-08
1908,3.8516536626787e-08
1909,4.3069065647216576e-08
1910,4.010883780658503e-08
1911,4.0515491406267756e-08
1912,3.6785419044171874e-08
1913,3.5106600293488555e-08
1914,3.693296868334528e-08
1915,5.325120078225609e-08
1916,4.595477198776621e-08
1917,1.5679330278572934e-08
1918,2.148408428936932e-08
1919,2.0269891987112487e-08
1920,3.0036154896606604e-08
1921,2.5070878706401345e-08
1922,3.990504326978339e-08
1923,2.9328535933181854e-08
1924,3.8472450558657556e-08
1925,2.8025928244801435e-08
1926,4.814824450249944e-08
1927,2.8388164929893378e-08
1928,2.9098796261450843e-08
1929,4.690198163181947e-08
1930,4.301543654605666e-08
1931,3.4097073386973875e-08
1932,2.7896286169948326e-08
1933,2.9182347205392034e-08
1934,4.911445117272706e-08
1935,2.7853851225501103e-08
1936,4.2951338485863744e-08
1937,2.5105664325231203e-08
1938,2.5819399951387823e-08
1939,4.404965636695124e-08
1940,1.970230556480601e-08
1941,2.296674495028128e-08
1942,4.037274692336723e-08
1943,2.8902354287652088e-08
1944,2.839560409029218e-08
1945,3.6044429663206756e-08
1946,1.3857623049062795e-08
1947,3.555313554670647e-08
1948,3.128337078273091e-08
1949,3.7856261458912854e-08
1950,4.1169673892227365e-08
1951,2.949764876802874e-08
1952,2.452859226842463e-08
1953,2.738900128917976e-08
1954,3.1339496331384e-08
1955,2.700834844659994e-08
1956,2.6046605539065126e-08
1957,2.835845225312994e-08
1958,4.391480656895652e-08
1959,2.9153013114679993e-08
1960,3.214413624164081e-08
1961,3.910745594026821e-08
1962,3.147416144377857e-08
1963,4.564597100298329e-08
1964,2.952977773418297e-08
1965,3.740995402345959e-08
1966,2.8108644078983502e-08
1967,3.5850451718388854e-08
1968,2.9151512759284515e-08
1969,3.494918465740682e-08
1970,2.7818325420980727e-08
1971,3.853105978723903e-08
1972,3.222212513476208e-08
1973,2.2545140865304347e-08
1974,3.731574144127947e-08
1975,2.8420051423339032e-08
1976,2.9663429823578724e-08
1977,2.338077997876553e-08
1978,1.635867369342847e-08
1979,1.3527034825600026e-08
1980,2.191583636790284e-08
1981,3.063643294609619e-08
1982,2.2501757790394095e-08
1983,1.5272249243025726e-08
1984,3.056703323789378e-08
1985,3.5685433719123694e-08
1986,2.567582013668357e-08
1987,2.8868822221639334e-08
1988,3.1611904205419705e-08
1989,3.0741815038037856e-08
1990,2.5670981784742253e-08
1991,2.7005684077874292e-08
1992,3.802072612302254e-08
1993,4.367571437846607e-08
1994,2.4248154928407928e-08
1995,2.312254610004061e-08
1996,2.5667540981544334e-08
1997,3.088201611101127e-08
1998,2.237100815705162e-08
1999,2.2433143676003908e-08
2000,3.709361440229486e-08
2001,2.3409587157630085e-08
2002,3.627743261347405e-08
2003,3.9480010372017205e-08
2004,2.8300257026714348e-08
2005,2.0110234588699427e-08
2006,2.647576846648292e-08
2007,3.0104866599600655e-08
2008,3.533116721410323e-08
2009,2.5035343798052168e-08
2010,4.452101864949043e-08
2011,2.3499989176833935e-08
2012,3.037147733309098e-08
2013,2.895382789080969e-08
2014,2.993943892803941e-08
2015,2.672044074891744e-08
2016,3.347032376255221e-08
2017,2.872690463284755e-08
2018,1.7476463054499902e-08
2019,2.9741261675653163e-08
