year,vos_DET humeurs_NOUN
1935,5.98414207075848e-09
1936,1.091224355320719e-08
1937,7.554670666820584e-09
1938,1.2965214679638848e-08
1939,3.058810094103137e-09
1940,0.0
1941,3.246652724442356e-08
1942,2.4273694165799498e-08
1943,5.806470415592457e-09
1944,2.2492303131116387e-08
1945,1.3071024262956144e-08
1946,2.7842208538686464e-09
1947,1.4305045148432782e-08
1948,1.0871888278529696e-08
1949,6.871905600114303e-09
1950,9.571825110299415e-09
1951,4.264560704569931e-09
1952,1.370824520563474e-08
1953,4.3095309543161875e-09
1954,8.795282724349818e-09
1955,1.0324168187025862e-08
1956,2.703553825256222e-08
1957,7.951533653738352e-09
1958,1.3235589513271862e-08
1959,1.8601794438133368e-08
1960,1.4533750203327145e-08
1961,1.528595028332802e-08
1962,1.77574772664002e-08
1963,1.4871922360271128e-08
1964,7.909158661334459e-09
1965,1.094408652591028e-08
1966,1.273987226824147e-08
1967,2.218651040664099e-08
1968,9.431973424511852e-09
1969,9.537691525451919e-09
1970,1.4715920398922222e-08
1971,1.6442872063926472e-08
1972,1.333838212103089e-08
1973,7.718485406371656e-09
1974,3.3753431161187564e-09
1975,6.282628195464213e-09
1976,1.0284348483935446e-08
1977,8.22749424145286e-09
1978,1.0099005298691566e-08
1979,1.4044735707763323e-08
1980,7.959211123509391e-09
1981,1.2651098835192442e-08
1982,1.0552753892945077e-08
1983,1.1999100379966876e-08
1984,1.4497521405587577e-08
1985,9.62489254963117e-09
1986,1.6784559520033326e-08
1987,7.944062296871834e-09
1988,1.9188971966954682e-08
1989,1.2073869015694072e-08
1990,9.262707045820662e-09
1991,1.1136783939491579e-08
1992,1.4325855168806356e-08
1993,1.550978012687665e-08
1994,1.635227242502424e-08
1995,9.218166396873784e-09
1996,1.1743803041142087e-08
1997,1.3425704215030976e-08
1998,1.2873949017944142e-08
1999,1.0511462811280126e-08
2000,1.3254094932690919e-08
2001,1.3581756164171566e-08
2002,1.3143664823189738e-08
2003,1.5417615628621206e-08
2004,1.4535810777260849e-08
2005,1.5312748513629515e-08
2006,2.3883761079979138e-08
2007,2.5165221018141892e-08
2008,2.2990174292081278e-08
2009,2.7178697514784744e-08
2010,4.109699913712461e-08
2011,7.609703933653122e-08
2012,6.093612359148182e-08
2013,4.602056258296017e-08
2014,4.720670399027682e-08
2015,4.8543001951451004e-08
2016,6.151879761162604e-08
2017,7.119179845638257e-08
2018,7.382994615667826e-08
2019,5.152995102841729e-08
