year,livres_NOUN in_ADJ
1868,2.8157282727647726e-08
1869,1.3673853160867111e-08
1870,1.3761717099214366e-08
1871,9.559059321873065e-09
1872,2.6003559860932057e-08
1873,3.950762961224541e-08
1874,3.764003719819442e-08
1875,3.318485874981292e-08
1876,1.0278225381910033e-08
1877,2.412078248248406e-08
1878,2.777980773194244e-08
1879,3.6655949942066e-08
1880,4.685027832351807e-08
1881,3.137628468152798e-08
1882,3.793569547383413e-08
1883,2.4645421037305937e-08
1884,2.3766109080725073e-08
1885,5.4787903991382336e-08
1886,2.8395241713496944e-08
1887,2.5462805475218175e-08
1888,2.9800888423636707e-08
1889,1.1903759755682586e-08
1890,7.865263995654459e-09
1891,8.92390783491237e-09
1892,1.5044429702015805e-08
1893,3.7566341148931315e-08
1894,2.2055388182451452e-08
1895,1.9259566386153892e-08
1896,2.0049899296381568e-08
1897,3.5542953691347634e-08
1898,1.4145887128336199e-08
1899,2.432134493801641e-08
1900,2.1283316997688928e-08
1901,3.1855812210324075e-08
1902,1.423982337600549e-08
1903,5.940242298052567e-09
1904,1.3436562973367927e-08
1905,1.5998352864698973e-08
1906,1.3374879870298173e-08
1907,1.902852098112362e-08
1908,1.866327870025941e-08
1909,1.815324518483763e-08
1910,8.550641084070776e-09
1911,7.980561100850991e-09
1912,2.3442395913342295e-08
1913,1.272717498057574e-08
1914,4.687720711604726e-09
1915,1.1780762032564951e-08
1916,9.888715624128963e-09
1917,8.773139548168274e-09
1918,1.4932290071101306e-08
1919,1.1970202606903513e-08
1920,1.665890891899835e-08
1921,6.815472630705699e-09
1922,1.4018077365562931e-08
1923,1.0615948564662858e-08
1924,2.0626599095407983e-08
1925,2.0896537833436923e-08
1926,1.7833821530643945e-08
1927,1.1149224765638621e-08
1928,1.0283437212876834e-08
1929,4.4561625500705304e-09
1930,5.2518016602221e-09
1931,1.1405356659111021e-08
1932,1.4247397928102146e-08
1933,1.1470662641954732e-08
1934,1.3179738189705859e-08
1935,1.4361940969820353e-08
1936,6.0623572828433225e-09
1937,1.1332006444320086e-08
1938,6.482607339819424e-09
1939,4.588215141154706e-09
1940,7.607348528892999e-09
1941,1.1806010391524069e-08
1942,3.034211770724937e-09
1943,5.806470415592457e-09
1944,0.0
1945,2.178504043826024e-09
1946,8.352662916877307e-08
1947,3.5762612871081956e-09
1948,3.2615663503321457e-09
1949,9.817008539414473e-09
1950,9.57182533234402e-09
1951,7.462981121975076e-09
1952,6.326882351359586e-09
1953,1.0773827163745864e-08
1954,1.9545072227344917e-09
1955,7.508486277174597e-09
1956,1.3081712602058815e-08
1957,2.03205861026845e-08
1958,4.9633461784992505e-09
1959,1.0851047171911432e-08
1960,1.6610000486139143e-08
1961,1.320150300188061e-08
1962,7.610347907416326e-09
1963,4.526237162849611e-09
1964,1.0951143047943646e-08
1965,7.1136563306595235e-09
1966,1.0524241922382771e-08
1967,6.409436092980059e-09
1968,1.527081389118834e-08
1969,3.0429777808649305e-08
1970,1.149681222445409e-08
1971,1.4901352152207892e-08
1972,4.6171320100540925e-09
1973,2.866866033457427e-08
1974,1.1813700240281833e-08
1975,7.4249242310031605e-09
1976,1.1427053969725876e-08
1977,5.876781727920388e-09
1978,9.50494638551902e-09
1979,7.022368020415115e-09
1980,3.979605589510271e-09
1981,8.855769451088236e-09
1982,9.311253656996143e-09
1983,1.0104505676622466e-08
1984,7.538711266352749e-09
1985,1.1429560298203967e-08
1986,4.7955883708539204e-09
1987,7.944062296871834e-09
1988,2.0987938498251424e-08
1989,1.756199174973716e-08
1990,1.0897302227252936e-08
1991,1.9342835999580643e-08
1992,2.6998725921600908e-08
1993,9.970573700002205e-09
1994,6.857404422078162e-09
1995,1.3556126887692699e-08
1996,1.4946658577486005e-08
1997,7.1923419442398995e-09
1998,2.431745960151943e-08
1999,5.484241505371301e-09
2000,7.510653432518666e-09
2001,1.1391150772643854e-08
2002,1.8401129509015846e-08
2003,7.500461585152607e-09
2004,8.809582230373536e-09
2005,9.007498746882447e-09
2006,1.1941880539989569e-08
2007,1.917350189728495e-08
2008,2.554463751636149e-09
2009,4.291373478793048e-09
2010,1.4171379625338432e-09
2011,2.2943831279320648e-09
2012,6.127655077792227e-09
2013,3.3469499394200852e-09
2014,4.330890368553497e-09
2015,3.768178213903184e-09
2016,5.385484197484303e-09
2017,2.264050280587071e-09
2018,1.290733298020541e-09
2019,4.591778068885333e-09
