year,faux_ADJ autographes_NOUN
1925,2.4195992098796637e-08
1926,5.573069339348535e-09
1927,7.804457524684949e-09
1928,1.82816659588525e-08
1929,6.684243603061191e-09
1930,8.402882833991043e-09
1931,7.983749661377715e-09
1932,3.1782654730250215e-08
1933,9.176529758292418e-09
1934,8.38710612072191e-09
1935,4.787313656606784e-09
1936,3.6374143697059935e-09
1937,3.777335333410292e-09
1938,3.8895642262559704e-09
1939,7.647025235257843e-09
1940,2.5357829169792012e-09
1941,1.7709015587286103e-08
1942,9.102635090130207e-09
1943,5.806470415592457e-09
1944,9.639558484764166e-09
1945,6.535512131478072e-09
1946,5.568441707737293e-09
1947,1.1920870957027319e-09
1948,0.0
1949,1.9634016634739737e-09
1950,2.1270722960764488e-09
1951,0.0
1952,1.0544804140977249e-08
1953,9.696444758233724e-09
1954,8.795282724349818e-09
1955,1.2201290200408721e-08
1956,1.1337483840634377e-08
1957,5.301022731885041e-09
1958,9.926692190465047e-09
1959,1.3176271296266862e-08
1960,6.920833350854139e-09
1961,1.2506686575264325e-08
1962,1.3318108504911663e-08
1963,5.819448034571906e-09
1964,3.6503808864551957e-09
1965,1.2585699538103512e-08
1966,6.646889927353072e-09
1967,5.9164028121116985e-09
1968,9.881114815257774e-09
1969,1.1354394646723165e-08
1970,1.0117195442527205e-08
1971,9.2491156955532e-09
1972,5.643161493651405e-09
1973,8.821126051827832e-09
1974,3.937900228123681e-09
1975,3.998036124386317e-09
1976,5.142174019923118e-09
1977,8.815173146992095e-09
1978,2.3762365408686037e-09
1979,5.851973350345929e-10
1980,3.979605589510271e-09
1981,1.8976649140967083e-09
1982,2.483000915987077e-09
1983,3.789189739755727e-09
1984,2.8995041922996734e-09
1985,3.609334831011779e-09
1986,8.392279537972058e-09
1987,1.2221633705067347e-09
1988,7.795519729736355e-09
1989,5.488122178931576e-10
1990,9.262707045820662e-09
1991,4.68917216167597e-09
1992,2.2039776670368383e-09
1993,7.200969598386564e-09
1994,3.6924485691258724e-09
1995,3.253470381991974e-09
1996,1.6014276571496566e-09
1997,4.794894592485832e-09
1998,2.8608774238492174e-09
1999,5.484241422104574e-09
2000,7.068850393920911e-09
2001,2.6287270138425356e-09
2002,4.819343757400674e-09
2003,1.83344603943425e-08
2004,3.9643119897903034e-09
2005,4.503749373441224e-09
2006,8.235779835885637e-09
2007,5.192823504529542e-09
2008,2.554463834902876e-09
2009,4.291373478793048e-09
2010,4.2514136655569246e-09
2011,3.82397197240536e-10
2012,2.0425516000788235e-09
2013,1.6734750252211938e-09
2014,2.165445156521173e-09
2015,3.32486305154589e-09
2016,2.278474076078396e-09
2017,1.760927903493581e-09
2018,7.744400121190154e-10
2019,5.1019755087367e-10
