year,soixante - dix fois
1899,3.111209134765147e-08
1900,1.3192810399687005e-08
1901,1.603509969250183e-08
1902,1.8925034206418445e-08
1903,1.1921984288676413e-08
1904,2.433442958249543e-08
1905,1.1965581414585813e-08
1906,2.0999930683274215e-08
1907,2.046128294574956e-08
1908,2.603934845524236e-08
1909,2.7903901411718834e-08
1910,1.8284911473820387e-08
1911,2.759750827863172e-08
1912,2.069179849684133e-08
1913,2.5744841480879188e-08
1914,1.551184602988087e-08
1915,1.9482145674487583e-08
1916,3.507074453068526e-08
1917,1.2061023291209949e-08
1918,5.1814556201179585e-08
1919,1.1148440393071724e-08
1920,2.5030129691128167e-08
1921,2.0056702965121076e-08
1922,3.0946768703188354e-08
1923,2.463597137403184e-08
1924,1.7098868099196807e-08
1925,1.8277779290087892e-08
1926,1.9753125357624413e-08
1927,1.3576948454385729e-08
1928,1.771231161740161e-08
1929,1.8513940824860242e-08
1930,1.9763849223863872e-08
1931,3.030850947993713e-08
1932,1.455458420451805e-08
1933,1.9031966225213637e-08
1934,1.5929010999116144e-08
1935,1.724286136095543e-08
1936,2.1475669020887267e-08
1937,4.184277369034817e-09
1938,1.7212934522170542e-08
1939,2.5413263826656873e-08
1940,1.6887689469058387e-08
1941,1.3123854003538327e-08
1942,2.3550768446511938e-08
1943,1.926823700593161e-08
1944,1.7747252556432613e-08
1945,2.4029620959709064e-08
1946,2.3096038859193868e-08
1947,2.238530782960879e-08
1948,2.5267336667411655e-08
1949,2.487697137176781e-08
1950,3.99933965944399e-08
1951,3.539717852163449e-08
1952,2.5696621719362156e-08
1953,2.8579826505392703e-08
1954,1.729075727041618e-08
1955,1.4542957060825756e-08
1956,2.3152538330961647e-08
1957,2.9336330698015445e-08
1958,2.6531862928891314e-08
1959,2.3150922956460818e-08
1960,3.214413624164081e-08
1961,3.987426921980841e-08
1962,2.517932795598199e-08
1963,3.1381605980485006e-08
1964,2.483185812529598e-08
1965,2.0515136256449296e-08
1966,2.5053356944582106e-08
1967,2.2270734645335466e-08
1968,2.4210578430938767e-08
1969,1.647604364052313e-08
1970,2.2760447748737533e-08
1971,2.0398795819165372e-08
1972,2.7134420044205854e-08
1973,2.3763797152298594e-08
1974,2.6742948300295666e-08
1975,2.526226805521503e-08
1976,1.7671830221388518e-08
1977,2.1432380759023317e-08
1978,2.0939102896022632e-08
1979,3.73603836756331e-08
1980,3.19345022092854e-08
1981,2.158475975733154e-08
1982,1.568304242027807e-08
1983,1.7354828685256507e-08
1984,1.8467581130998667e-08
1985,1.784271752569566e-08
1986,2.5675819803616662e-08
1987,2.4169246382044207e-08
1988,1.646453345882648e-08
1989,2.5919568713561603e-08
1990,2.3282983763195375e-08
1991,3.0220647317946714e-08
1992,2.172612845185995e-08
1993,2.9723750460952658e-08
1994,2.828951295441584e-08
1995,3.201583365086691e-08
1996,3.266777781618657e-08
1997,2.7218050036026398e-08
1998,2.9134336720915144e-08
1999,2.2931656573632608e-08
2000,3.420320204838845e-08
2001,2.2931840371054335e-08
2002,3.4368094148362616e-08
2003,2.3143454930263374e-08
2004,2.9259586753482836e-08
2005,3.4334546428205215e-08
2006,3.3206895733162156e-08
2007,3.621309904722203e-08
2008,2.1384655157774546e-08
2009,4.068243342203459e-08
2010,5.176862716282926e-08
2011,3.6508911449573134e-08
2012,4.34949569694254e-08
2013,4.4662818554641603e-08
2014,4.3352310186151044e-08
2015,3.995809094714531e-08
2016,4.562051075795992e-08
2017,5.633820254757893e-08
2018,4.240190643045594e-08
2019,4.0788016075765654e-08
