year,aux_ADP oeufs_NOUN
1943,4.645176421291808e-08
1944,1.1888788264968753e-07
1945,4.1391577276783664e-08
1946,4.315542145860718e-08
1947,4.1723048349595615e-08
1948,5.979538308942267e-08
1949,6.479225422850732e-08
1950,4.4668517329427004e-08
1951,4.904244754744269e-08
1952,4.217921489857446e-08
1953,5.063698715890297e-08
1954,6.547599129547166e-08
1955,9.10403965548312e-08
1956,3.488456634670456e-08
1957,3.8874164776103726e-08
1958,5.707847910985109e-08
1959,5.1154935065689244e-08
1960,4.706166573109627e-08
1961,4.029932254567825e-08
1962,4.566208766654256e-08
1963,5.3668242627757934e-08
1964,5.293052529609099e-08
1965,7.496699661047046e-08
1966,7.699313608888758e-08
1967,5.4726723708320435e-08
1968,4.760900745859331e-08
1969,7.221394821010918e-08
1970,5.4724827003305165e-08
1971,4.521789676026344e-08
1972,5.0788452887751134e-08
1973,5.1824113778131675e-08
1974,5.738083264095195e-08
1975,7.59626854751616e-08
1976,8.113208344040501e-08
1977,9.931761013604046e-08
1978,1.0039599462885462e-07
1979,7.549045388799414e-08
1980,8.300319986886961e-08
1981,7.021359871295374e-08
1982,5.4005270366808134e-08
1983,8.399370632350411e-08
1984,1.1076105943530479e-07
1985,9.324114802478078e-08
1986,1.1809136524210118e-07
1987,1.0816145917802444e-07
1988,1.6850316275629496e-07
1989,1.4049593144438433e-07
1990,1.0624869695163852e-07
1991,1.3246910790520872e-07
1992,1.1791280640771618e-07
1993,1.002596525800925e-07
1994,1.2290578732532254e-07
1995,1.4044148127778655e-07
1996,1.6601466601429138e-07
1997,1.1555695667020416e-07
1998,1.0013071694014997e-07
1999,9.597422359619578e-08
2000,7.510653243780752e-08
2001,4.731708569405413e-08
2002,4.906968231743747e-08
2003,5.6670153458782124e-08
2004,5.065510055857203e-08
2005,5.0892369651833747e-08
2006,4.77675232701813e-08
2007,3.2355285395357924e-08
2008,4.129716399403627e-08
2009,3.242370882894363e-08
2010,2.3618965450111773e-08
2011,5.8506770511668194e-08
2012,3.029784986785522e-08
2013,2.6496688509958233e-08
2014,3.226513423104649e-08
2015,1.9949178850509064e-08
2016,3.894119321445899e-08
2017,1.5093667926624477e-08
2018,3.7173120415179284e-08
2019,2.678537114331192e-08
