year,leurs_DET oeufs_NOUN
1886,2.774989382725579e-08
1887,4.8314041434238675e-08
1888,2.2192152115962926e-08
1889,1.7542383545787743e-08
1890,1.2453334363726754e-08
1891,1.72103943318902e-08
1892,4.2625885043889866e-08
1893,2.5249507429325746e-08
1894,2.142523314319078e-08
1895,1.3240951446391591e-08
1896,1.7101383420481397e-08
1897,2.505486840220783e-08
1898,1.0750873968845553e-08
1899,3.2612712530522003e-08
1900,2.4397948994447916e-08
1901,1.7325090695408107e-08
1902,2.4551420119145462e-08
1903,1.3500550899436803e-08
1904,2.9022976022474722e-08
1905,2.631987072732045e-08
1906,1.388929860013377e-08
1907,2.6228502036929058e-08
1908,2.2592390180875555e-08
1909,2.7504917177179067e-08
1910,2.9927242906069296e-08
1911,2.6601869929088195e-08
1912,2.344239469209697e-08
1913,3.2878535449754054e-08
1914,3.080502253283157e-08
1915,3.2986132825207903e-08
1916,2.0876177231343718e-08
1917,2.3029491202919417e-08
1918,2.412139110674616e-08
1919,2.3940405213807026e-08
1920,3.028892603396116e-08
1921,3.862101355389669e-08
1922,3.0987327981346624e-08
1923,2.229349105320466e-08
1924,3.480738541838946e-08
1925,2.1996356291964503e-08
1926,4.2355324580967135e-08
1927,1.0034302122541305e-07
1928,3.5420729460611255e-08
1929,1.8493074360748096e-07
1930,7.457558237611295e-08
1931,7.413481739604322e-08
1932,4.7126007984843454e-08
1933,6.76769036367375e-08
1934,6.350237491403732e-08
1935,5.146362180852293e-08
1936,5.698615979099486e-08
1937,4.1550688223424004e-08
1938,4.148868626430158e-08
1939,5.352917753498332e-08
1940,4.3108308034334186e-08
1941,7.673907065353092e-08
1942,6.978687139280737e-08
1943,5.516146828199453e-08
1944,1.6065930807940276e-08
1945,6.535512397931598e-08
1946,3.480275978517966e-08
1947,3.933887415819015e-08
1948,1.3698578360532565e-07
1949,6.97007607186606e-08
1950,3.5096692885261405e-08
1951,7.249753508631329e-08
1952,8.752187419247548e-08
1953,6.141081698718409e-08
1954,5.863521579385633e-08
1955,5.5375087182341076e-08
1956,5.058262297907845e-08
1957,5.919475187798895e-08
1958,5.542403158642628e-08
1959,4.030388878195623e-08
1960,4.983000123637282e-08
1961,2.91822690456911e-08
1962,5.517501905361044e-08
1963,4.396916120086303e-08
1964,3.285343014303166e-08
1965,2.9001830270658502e-08
1966,2.8249282024717104e-08
1967,5.127549090877537e-08
1968,3.8177032979369585e-08
1969,3.1338128952951294e-08
1970,4.138852394142134e-08
1971,5.138397440873632e-08
1972,4.3093233870195036e-08
1973,3.914374602231874e-08
1974,6.131872798409432e-08
1975,4.512069251561002e-08
1976,4.8564979537868425e-08
1977,4.348818549715361e-08
1978,4.81187889533885e-08
1979,4.506019379846293e-08
1980,5.173487072074323e-08
1981,4.42788482546419e-08
1982,4.65562675078246e-08
1983,5.3048656467602484e-08
1984,8.118612121466029e-08
1985,6.256180606900585e-08
1986,7.433162185765951e-08
1987,8.738467799362937e-08
1988,8.155313219182503e-08
1989,7.079677866173029e-08
1990,6.919786660342098e-08
1991,6.154538567670897e-08
1992,5.4548448535918226e-08
1993,5.982344158939057e-08
1994,6.277162606371789e-08
1995,8.242124938107054e-08
1996,5.9252822870448085e-08
1997,5.5141285315585264e-08
1998,6.532337304410163e-08
1999,3.976074838818455e-08
2000,5.434178618202168e-08
2001,3.504969270373692e-08
2002,2.7163573390609486e-08
2003,2.2501383534212493e-08
2004,2.4666830356068203e-08
2005,2.612174831995162e-08
2006,2.3471972809829822e-08
2007,2.3167980256477705e-08
2008,2.128719794880496e-08
2009,1.8119132416671846e-08
2010,1.5116137674908714e-08
2011,8.030340836739924e-09
2012,7.489355802192676e-09
2013,1.4224538102958206e-08
2014,1.3209215943277286e-08
2015,7.314698804994357e-09
2016,8.699627823682832e-09
2017,1.0565567670761666e-08
2018,1.3939920606720335e-08
2019,1.4030432538003623e-08
