year,vingt - six fois
1996,1.1667064037101937e-08
1997,2.512435415269465e-08
1998,2.0289984803412153e-08
1999,1.9940571860388445e-08
2000,1.878767513785462e-08
2001,1.8632120679651365e-08
2002,1.432003848833574e-08
2003,2.7227593957235285e-08
2004,2.1584941112262612e-08
2005,1.667678017902574e-08
2006,1.525722304052124e-08
2007,1.5270584796667208e-08
2008,2.3244190461291225e-08
2009,1.9819648144903113e-08
2010,1.7083648162774523e-08
2011,9.232138276082935e-09
2012,1.1998608329122362e-08
2013,1.694107010230539e-08
2014,1.9879788037968638e-08
2015,2.0591898741706416e-08
2016,1.742290933748336e-08
2017,2.0638746378587314e-08
2018,1.747646205529918e-08
2019,1.3312755231531526e-08
