year,aies_VERB été_VERB
1877,1.855444864418132e-08
1878,1.3889904337816006e-08
1879,2.3826368433788048e-08
1880,2.3746030919369332e-08
1881,2.9284532132578533e-08
1882,2.3959387362992857e-08
1883,8.847074184359371e-09
1884,2.9047466654219534e-08
1885,1.6114089618213256e-08
1886,2.0005737511041843e-08
1887,1.5016526688782506e-08
1888,1.4583413587843097e-08
1889,2.5060546970934183e-09
1890,1.4419650362640368e-08
1891,1.0198752065093686e-08
1892,1.9432388143059143e-08
1893,2.155445777418663e-08
1894,1.9534772022211655e-08
1895,5.416753268150387e-09
1896,2.358811634906033e-08
1897,1.1070755867592652e-08
1898,2.1501747937691107e-08
1899,2.04520400615138e-08
1900,1.972600216504361e-08
1901,1.1736351446245408e-08
1902,1.718599307309887e-08
1903,2.430099144135056e-08
1904,2.2573425795258117e-08
1905,1.5482276793932215e-08
1906,1.7490227932626112e-08
1907,8.742834012309686e-09
1908,1.5225305460830896e-08
1909,1.1552065082298668e-08
1910,1.9238942883248455e-08
1911,2.074945903984826e-08
1912,1.719108944087111e-08
1913,1.9090762748419365e-08
1914,2.4777952134513725e-08
1915,4.712304768617059e-09
1916,6.592477230782379e-09
1917,2.0836205649743533e-08
1918,1.2635013924011673e-08
1919,9.207848705727883e-09
1920,2.953170330499688e-08
1921,2.7261890522822796e-08
1922,3.32007097370024e-08
1923,2.441668023323018e-08
1924,2.836157442231979e-08
1925,3.299453510408057e-08
1926,3.4553028882555736e-08
1927,2.3413372574054847e-08
1928,7.998228745975666e-09
1929,3.230717737778832e-08
1930,1.6805765667982087e-08
1931,2.0529641986399838e-08
1932,3.06867029564728e-08
1933,1.261772819560747e-08
1934,2.2765002327673756e-08
1935,3.111753699158726e-08
1936,2.5461901032031165e-08
1937,7.554670666820584e-09
1938,1.0372171566075394e-08
1939,7.647025235257843e-09
1940,2.2822046474857416e-08
1941,2.3612020783048138e-08
1942,1.8205270180260413e-08
1943,1.1612940831184915e-08
1944,1.927911696952833e-08
1945,5.010559434026618e-08
1946,1.9489545977080525e-08
1947,3.2186353138285995e-08
1948,2.174377655705939e-08
1949,3.043272656100271e-08
1950,3.93508372553697e-08
1951,1.7058242818279723e-08
1952,3.585233443459401e-08
1953,3.016671712430252e-08
1954,2.14995790059902e-08
1955,1.8771215692936494e-08
1956,1.657016923672927e-08
1957,2.2087593976038988e-08
1958,2.9780077070995503e-08
1959,2.325224279786653e-08
1960,1.6610000486139143e-08
1961,2.223410966450956e-08
1962,2.917300001570311e-08
1963,1.0992290633282664e-08
1964,2.8594651979574337e-08
1965,1.641613067704384e-08
1966,2.2710207048248776e-08
1967,1.873527466500491e-08
1968,9.88111459321317e-09
1969,2.2254612375149918e-08
1970,1.977451802304131e-08
1971,2.1067430466814585e-08
1972,1.2312352026810913e-08
1973,2.7566018800939673e-08
1974,1.912694358452427e-08
1975,1.8276736568623164e-08
1976,1.8854638739185248e-08
1977,2.3507126911681553e-08
1978,2.0792070287711795e-08
1979,1.7555919384903973e-08
1980,1.9329512213062117e-08
1981,1.5813874654213578e-08
1982,1.3656505259973528e-08
1983,1.7682884490000106e-08
1984,1.4497521405587577e-08
1985,1.3835783185811579e-08
1986,1.3187867686781374e-08
1987,1.711028652096047e-08
1988,1.5591039570495013e-08
1989,2.469655058234821e-08
1990,1.3621627381610324e-08
1991,1.75843961613964e-08
1992,1.652983172562017e-08
1993,2.1602909683338112e-08
1994,1.8462243289718572e-08
1995,1.7351842629409475e-08
1996,2.4555223632205525e-08
1997,9.58978851883785e-09
1998,1.716526476513991e-08
1999,1.4624643718263997e-08
2000,1.8555732950176207e-08
2001,3.066848108801423e-08
2002,2.409671751024689e-08
2003,1.91678459771083e-08
2004,2.686922684347337e-08
2005,2.0717248361279417e-08
2006,2.800165077587735e-08
2007,5.1928232380760164e-08
2008,6.982200773109071e-08
2009,5.8648769396540956e-08
2010,8.550065189183442e-08
2011,8.450977873053489e-08
2012,1.1710629621575208e-07
2013,1.2551062411603198e-07
2014,1.3534032916595606e-07
2015,1.518354082463702e-07
2016,1.3360143213958509e-07
2017,1.5169136702297692e-07
2018,1.5695317756581062e-07
2019,1.6275302527901658e-07
