year,auras_VERB été_VERB
1899,2.266307141951529e-08
1900,1.86877908703309e-08
1901,5.58873880507349e-09
1902,2.2096276808269977e-08
1903,9.720396931811592e-09
1904,8.599400302955473e-09
1905,6.708986699521802e-09
1906,1.388929860013377e-08
1907,5.65712765521198e-09
1908,4.4202499438483756e-09
1909,2.1453836041018803e-08
1910,1.4963621453034648e-08
1911,7.980561100850991e-09
1912,1.5628263128064646e-08
1913,1.4318072061314524e-08
1914,1.2054139020278853e-08
1915,7.068456930880984e-09
1916,7.69122365795738e-09
1917,1.315970976634162e-08
1918,5.743188147278033e-09
1919,1.8415696745321952e-09
1920,1.741613253614105e-08
1921,8.330022005509363e-09
1922,9.591316185719734e-09
1923,2.866305948145964e-08
1924,1.804827398643738e-08
1925,1.8696901804560184e-08
1926,2.6750733184144337e-08
1927,1.5608915049369898e-08
1928,1.4853853258500749e-08
1929,1.4482528065684619e-08
1930,9.453243521306831e-09
1931,1.1405356659111021e-08
1932,2.1919072779041926e-08
1933,1.1470662197865522e-09
1934,8.38710612072191e-09
1935,5.6250936353308134e-08
1936,3.6374143697059935e-09
1937,1.2591118370153254e-08
1938,7.779128452511941e-09
1939,7.647025235257843e-09
1940,5.0715658339584024e-09
1941,1.1806010391524069e-08
1942,1.2136847082899749e-08
1943,1.7419411690866582e-08
1944,6.4263723231761105e-09
1945,8.714016175304096e-09
1946,1.3921104269343232e-08
1947,2.26496545963073e-08
1948,1.7395020535104777e-08
1949,6.8719057111366055e-09
1950,1.3825969702452312e-08
1951,1.2793682557799002e-08
1952,1.1599284199803606e-08
1953,1.6160740301529586e-08
1954,5.863521668203475e-09
1955,2.5341140741375057e-08
1956,1.3081712602058815e-08
1957,1.3252556385623393e-08
1958,1.4062814024384807e-08
1959,1.0851047171911432e-08
1960,2.6991250123842292e-08
1961,1.528595028332802e-08
1962,1.6489087428794846e-08
1963,1.5518526907953856e-08
1964,2.4335873760605864e-08
1965,9.849678406226303e-09
1966,1.5509408868297214e-08
1967,8.874604162656397e-09
1968,1.8414805680322388e-08
1969,1.2262746373892242e-08
1970,6.438214850135182e-09
1971,1.1818314327172175e-08
1972,3.0780880067027283e-09
1973,1.598829157956061e-08
1974,1.3501372464475025e-08
1975,7.4249242310031605e-09
1976,5.713526984862938e-09
1977,1.469195431980097e-08
1978,3.5643548113029055e-09
1979,1.345953837272873e-08
1980,1.193881615790815e-08
1981,9.488323904349727e-09
1982,9.311253101884631e-09
1983,1.136756910824488e-08
1984,1.0438215625185876e-08
1985,1.0226449020933615e-08
1986,7.1933827783254856e-09
1987,1.099947066762752e-08
1988,7.195864348830128e-09
1989,9.329808037250586e-09
1990,7.628111475810329e-09
1991,9.37834432335194e-09
1992,1.1019888113139586e-08
1993,1.550978012687665e-08
1994,1.635227242502424e-08
1995,1.138714633697191e-08
1996,1.1209993822092201e-08
1997,1.2466725429760572e-08
1998,1.2873949017944142e-08
1999,9.597422412355172e-09
2000,1.1045078629479121e-08
2001,1.0514908055370142e-08
2002,9.63868718173444e-09
2003,8.750538071922165e-09
2004,1.5416770082765652e-08
2005,5.854874363109275e-09
2006,1.2353670086895363e-08
2007,1.3181781888249589e-08
2008,1.1920831433087642e-08
2009,2.2410505451375684e-08
2010,2.267420740054149e-08
2011,1.7972668686638826e-08
2012,2.5872321174347235e-08
2013,2.9564725778641332e-08
2014,2.7068065122648477e-08
2015,3.369194701008382e-08
2016,2.9205894591655124e-08
2017,3.245138557872451e-08
2018,2.7363547872027993e-08
2019,3.418323757387043e-08
