year,divisions_NOUN in_ADJ,divisions_NOUN fines_ADJ
1878,1.2078177347163432e-09,4.22736201599605e-09
1879,1.221865053580018e-09,4.887460214320072e-09
1880,1.2835692508872398e-09,1.0268554007097919e-08
1881,6.972507571312292e-10,1.6036766581351003e-08
1882,6.655385131892899e-10,1.5972924316542958e-08
1883,0.0,2.6541224329434954e-08
1884,6.601696966868076e-10,1.7164412113856997e-08
1885,0.0,3.2228177904158883e-09
1886,2.5813855497602844e-09,1.2261581083805595e-08
1887,0.0,1.9586774424595887e-09
1888,6.340614699951175e-10,4.4384300679212174e-09
1889,0.0,3.759081934617825e-09
1890,1.3108772956016423e-09,0.0
1891,6.374220040683554e-10,6.374220040683554e-10
1892,1.8805537127519756e-09,0.0
1893,6.158416554491453e-10,1.2316833108982905e-09
1894,6.301539290376468e-10,4.411077725308132e-09
1895,1.2037228991346183e-09,0.0
1896,5.89702897624278e-10,0.0
1897,5.826713556089658e-10,4.078699600285063e-09
1898,5.6583548957434e-10,0.0
1899,5.527578395003729e-10,0.0
1900,1.5573159428683425e-09,5.191053142894475e-10
1901,0.0,5.588738916095792e-10
1902,4.910283846193408e-10,2.455141867585553e-09
1903,0.0,1.0800440541913758e-09
1904,2.6873125946735854e-09,1.6123875568041512e-09
1905,5.160759042333041e-10,0.0
1906,6.173021205313489e-09,0.0
1907,0.0,0.0
1908,4.911389073214423e-10,9.822778146428846e-10
1909,5.500983557560346e-10,2.7504918342913243e-09
1910,1.068830135508847e-09,2.137660271017694e-09
1911,5.320374141248863e-10,0.0
1912,5.209421227725386e-10,5.209421227725386e-10
1913,1.060597942803554e-09,2.121195885607108e-09
1914,1.3393487430235496e-09,6.696743715117748e-10
1915,0.0,1.1780761921542648e-09
1916,0.0,1.0987462051303964e-09
1917,5.483212106582869e-09,0.0
1918,0.0,4.594550517822427e-09
1919,0.0,0.0
1920,0.0,0.0
1921,2.2718242842501013e-09,7.572747429129834e-10
1922,7.377935484775833e-10,0.0
1923,3.1847844361720945e-09,1.0615948120573648e-09
1924,0.0,1.289162443462999e-09
1925,1.0998177923937646e-09,0.0
1926,0.0,0.0
1927,1.0034302277972529e-08,0.0
1928,1.1426041224282812e-09,0.0
1929,0.0,2.2280812750352652e-09
1930,0.0,1.0503603542488804e-09
1931,0.0,0.0
1932,0.0,0.0
1933,1.1470662197865522e-09,1.1470662197865522e-09
1934,0.0,1.1981580172459871e-09
1935,1.196828414151696e-09,1.196828414151696e-09
1936,7.274828739411987e-09,1.2124714565686645e-09
1937,0.0,0.0
1938,1.2965214457594243e-09,0.0
1939,0.0,0.0
1940,0.0,0.0
1941,2.9515025978810172e-09,0.0
1942,0.0,0.0
1943,8.709705845433291e-09,0.0
1944,3.2131861615880553e-09,0.0
1945,2.178504043826024e-09,0.0
1946,0.0,0.0
1947,0.0,0.0
1948,0.0,0.0
1949,9.817008317369869e-10,0.0
1950,0.0,2.1270722960764488e-09
1951,1.0661401761424827e-09,0.0
1952,1.0544803918932644e-09,1.7926167217297007e-08
1953,2.1547654771580937e-09,7.54167928107563e-09
1954,9.772536113672459e-10,9.772536113672459e-10
1955,2.815682353940474e-09,1.8771215692936494e-09
1956,2.616342476002842e-09,0.0
1957,8.835037701437898e-10,0.0
1958,0.0,2.4816730892496253e-09
1959,0.0,5.425523585955716e-09
1960,4.152500121534786e-09,1.3841666701708277e-09
1961,0.0,2.08444772553662e-09
1962,1.2683912808952869e-09,1.2683912808952869e-09
1963,6.466053248388448e-10,2.5864212993553792e-09
1964,6.083968329129164e-10,3.041984220075733e-09
1965,1.6416130677043839e-09,5.472043373977442e-10
1966,1.1078149508847446e-09,5.539074754423723e-10
1967,4.930335584241163e-10,4.437302081328198e-09
1968,4.4914158503495116e-10,2.6948494546985557e-09
1969,2.2708789015890574e-09,9.083515606356229e-10
1970,4.5987250119061684e-10,0.0
1971,2.0553589941130213e-09,2.0553589941130213e-09
1972,2.0520586896388693e-09,4.104117490300041e-09
1973,1.6539611347177186e-09,5.513203782392395e-10
1974,7.313243122197832e-09,1.1251143350321513e-09
1975,1.1422960355389478e-09,0.0
1976,5.713526873840635e-10,0.0
1977,5.876781838942691e-10,0.0
1978,2.3762365408686037e-09,0.0
1979,4.0963813452421505e-09,1.1703946700691858e-09
1980,6.822180820265089e-09,0.0
1981,3.162774819820413e-09,0.0
1982,6.207502289967692e-10,6.207502289967692e-10
1983,5.052252727288931e-09,6.315316047889041e-10
1984,2.319603453759811e-09,2.3196033982486597e-09
1985,1.8046674155058895e-09,1.2031116103372597e-09
1986,5.994485463567401e-10,2.3977941854269602e-09
1987,1.2221633705067347e-09,0.0
1988,2.398621523624911e-09,0.0
1989,1.0976244357863152e-09,0.0
1990,2.7243255429354463e-09,1.6345953479657283e-09
1991,0.0,0.0
1992,2.2039776670368383e-09,0.0
1993,2.7696036575264316e-09,1.661762283333701e-09
1994,3.6924485691258724e-09,0.0
1995,0.0,1.626735190995987e-09
1996,5.338092190498855e-10,1.6014276571496566e-09
1997,0.0,0.0
1998,0.0,9.536258449571733e-10
1999,9.140402323914998e-10,0.0
2000,8.836062992401139e-10,0.0
2001,8.762423564512289e-10,1.3143635069212678e-09
2002,1.752488598683044e-09,4.38122149670761e-10
2003,0.0,4.1669229178253886e-10
2004,4.404791253964646e-10,1.7619165015858584e-09
2005,4.5037495954858286e-10,0.0
2006,4.1178899179428186e-10,0.0
2007,3.994479469415779e-10,3.994479469415779e-10
2008,1.7029758714315335e-09,1.2772318758180745e-09
2009,1.430457752249481e-09,0.0
2010,1.417137907022692e-09,0.0
2011,7.64794394481072e-10,0.0
2012,0.0,3.404252713057332e-10
2013,5.578250084070646e-10,0.0
2014,1.0827225782605865e-09,2.1654451842767486e-10
2015,6.649726186358507e-10,2.2165753954528356e-10
2016,4.1426800878596737e-10,0.0
2017,1.257805665177969e-09,2.515611330355938e-10
2018,1.0325866828253538e-09,0.0
2019,7.65296326310505e-10,0.0
