year,ses_DET eaux_NOUN
1951,1.6365252193395463e-06
1952,1.5732847913341175e-06
1953,1.616074058574668e-06
1954,1.5655602823017034e-06
1955,1.4294280532567427e-06
1956,1.5654448972668433e-06
1957,1.4162565378228464e-06
1958,1.6072968875846527e-06
1959,1.2881742819104147e-06
1960,1.353022931027681e-06
1961,1.3423843441273675e-06
1962,1.3108823324614605e-06
1963,1.252474504553902e-06
1964,1.482663080309976e-06
1965,1.319309681946379e-06
1966,1.3615045659776115e-06
1967,1.3188647791650965e-06
1968,1.6663153132867592e-06
1969,1.4615376286997162e-06
1970,1.5516098272883028e-06
1971,1.2311600414705026e-06
1972,1.3800095075566787e-06
1973,1.226687846411778e-06
1974,1.2229992556456182e-06
1975,1.2930791015719478e-06
1976,1.1124236749537886e-06
1977,1.1160008810406907e-06
1978,1.3057420282791554e-06
1979,1.1212380819358714e-06
1980,1.391156338570454e-06
1981,1.22019844894794e-06
1982,1.0589999241972237e-06
1983,1.0496054976272262e-06
1984,1.101811591297519e-06
1985,1.1940882806982245e-06
1986,9.878912443639365e-07
1987,1.0467829305582654e-06
1988,9.50453763692849e-07
1989,1.2298881983952015e-06
1990,1.0777432066788606e-06
1991,1.041582315508549e-06
1992,1.056807288790651e-06
1993,1.1050718882188448e-06
1994,1.2522676300363855e-06
1995,1.0329769111194764e-06
1996,1.050002737201794e-06
1997,1.0798102181297509e-06
1998,9.397982623227108e-07
1999,1.1420932963801533e-06
2000,9.98033311105928e-07
2001,1.0506145642352749e-06
2002,1.0339682354754132e-06
2003,1.0467310360695592e-06
2004,9.373395570833054e-07
2005,9.782144125836112e-07
2006,1.122124949404224e-06
2007,1.0421596847720593e-06
2008,1.1908058326071114e-06
2009,1.2955178974038972e-06
2010,1.2584184929664843e-06
2011,1.4829362982027305e-06
2012,1.6663816495565698e-06
2013,1.2525960357834265e-06
2014,1.4077558816438795e-06
2015,1.7109745584775737e-06
2016,2.066575945036675e-06
2017,1.3310100044350293e-06
2018,1.5052531807668856e-06
2019,1.4831442882723422e-06
