year,premiers_ADJ fils_NOUN
1968,2.8295920273535557e-08
1969,3.2246479264586014e-08
1970,1.977451802304131e-08
1971,2.5178147566862208e-08
1972,4.15541911991113e-08
1973,2.9771300091852027e-08
1974,3.037808582462276e-08
1975,2.7415104852934746e-08
1976,2.9138986334942274e-08
1977,3.584836960612847e-08
1978,2.316830638449119e-08
1979,2.925986741786346e-08
1980,3.013130012163856e-08
1981,5.2502059588732664e-08
1982,3.9107263205551135e-08
1983,2.841892232652299e-08
1984,5.3930779841948606e-08
1985,3.9101127669027846e-08
1986,4.2560845514572065e-08
1987,4.0942474299754394e-08
1988,3.358070088665954e-08
1989,3.1831110192115375e-08
1990,4.9582723704588716e-08
1991,3.634108480810028e-08
1992,4.187557678392295e-08
1993,4.819110444032049e-08
1994,4.008944287647864e-08
1995,4.175286960617086e-08
1996,5.071187558769452e-08
1997,4.075660342550691e-08
1998,3.3853716274734325e-08
1999,7.220917552785977e-08
2000,4.859834490389403e-08
2001,4.030714961800186e-08
2002,4.2497848795619575e-08
2003,5.291992266620582e-08
2004,4.2726476578991424e-08
2005,4.053374524914943e-08
2006,4.323784352777693e-08
2007,5.1129337208521974e-08
2008,4.5554603644859526e-08
2009,3.862236042095901e-08
2010,4.2514137987836875e-08
2011,3.785732261007979e-08
2012,5.038294048631542e-08
2013,6.10818418067538e-08
2014,6.388063411577605e-08
2015,4.8321343371071634e-08
2016,4.2255337007190974e-08
2017,4.125602615090429e-08
2018,4.698269506775432e-08
2019,4.5407581694689725e-08
