year,bons_ADJ fils_NOUN
1887,1.9586773092328258e-08
1888,3.043495055976564e-08
1889,2.4434033185638526e-08
1890,3.080561788992853e-08
1891,3.0596255640169545e-08
1892,3.949162774574688e-08
1893,3.510297474917934e-08
1894,3.087754252284469e-08
1895,1.2639090440913492e-08
1896,1.1794058174530164e-08
1897,3.6708296846654775e-08
1898,4.639850947896207e-08
1899,5.7486817084395625e-08
1900,3.581826724108339e-08
1901,2.2913829056392387e-08
1902,2.946170357676081e-08
1903,3.726151964755786e-08
1904,3.2247752024261445e-08
1905,2.5287719473965353e-08
1906,3.240836221607424e-08
1907,2.3657079850636364e-08
1908,2.5539223402759603e-08
1909,2.2003934396774838e-08
1910,4.221879190691169e-08
1911,2.287760891839241e-08
1912,3.594500763703934e-08
1913,4.984810453301236e-08
1914,3.951078841879507e-08
1915,4.358881955379701e-08
1916,4.614734194774428e-08
1917,2.9609346086090227e-08
1918,4.020231614276781e-08
1919,3.4989823594067104e-08
1920,2.953170330499688e-08
1921,1.4388220004324381e-08
1922,1.9182633037573282e-08
1923,2.441668023323018e-08
1924,2.4494086647841584e-08
1925,2.4195992320841242e-08
1926,1.894843482119768e-08
1927,3.010290705596219e-08
1928,4.1133749295596544e-08
1929,2.2280812084218837e-08
1930,3.046045016219523e-08
1931,2.623232031595535e-08
1932,1.4247397261968331e-08
1933,2.523545683530415e-08
1934,1.1981580172459871e-08
1935,2.6330224223158893e-08
1936,3.031178508194898e-08
1937,2.0145789036973838e-08
1938,4.797129449229942e-08
1939,1.3764645423464117e-08
1940,2.5357829613881222e-08
1941,3.246652813260198e-08
1942,5.765002475399683e-08
1943,1.7419411690866582e-08
1944,1.2852744646352221e-08
1945,3.921307367704685e-08
1946,1.5313214696277555e-08
1947,3.5762613315171166e-08
1948,1.4133454184772631e-08
1949,1.3743811200228606e-08
1950,4.254144569948437e-08
1951,1.2793682557799002e-08
1952,1.265376459169687e-08
1953,3.9863161882536247e-08
1954,1.661331139324318e-08
1955,1.1262729415761896e-08
1956,1.657016879264006e-08
1957,1.501956425897788e-08
1958,1.3235589346738408e-08
1959,2.635254203742221e-08
1960,1.7302083321624195e-08
1961,2.223410966450956e-08
1962,2.8538803764632803e-08
1963,2.7804028746025722e-08
1964,1.7643507876918818e-08
1965,2.2982582947861374e-08
1966,1.4401594028434772e-08
1967,2.218651040664099e-08
1968,2.8295919607401743e-08
1969,1.8621206326896456e-08
1970,3.219107513885433e-08
1971,3.031654594032318e-08
1972,1.1799337507056862e-08
1973,1.8193572481894904e-08
1974,1.4626486688484874e-08
1975,1.9419032604162112e-08
1976,3.370980805605939e-08
1977,3.055926500739048e-08
1978,2.0792069732600282e-08
1979,2.4578288737586718e-08
1980,2.6720208268216084e-08
1981,2.0241758103001217e-08
1982,3.227901235192121e-08
1983,1.8314416760922825e-08
1984,1.9136728035551442e-08
1985,1.6843562655743938e-08
1986,1.7384007122700496e-08
1987,1.7721368927858805e-08
1988,2.8183803568726518e-08
1989,2.908704788140426e-08
1990,2.1249738413331443e-08
1991,2.2859715009815318e-08
1992,2.4243754170871767e-08
1993,1.8833305859278227e-08
1994,2.004472132721702e-08
1995,2.1689803730851054e-08
1996,2.0284749657761836e-08
1997,1.5823152121896555e-08
1998,2.86087754597375e-08
1999,1.8280805091919206e-08
2000,3.1368023289957137e-08
2001,2.5849149126733195e-08
2002,2.6725451796050237e-08
2003,2.1251306159264516e-08
2004,1.9821561281219147e-08
2005,1.7114248795913056e-08
2006,1.6883348052942893e-08
2007,2.676301244508572e-08
2008,2.639612536881053e-08
2009,1.3350939243039761e-08
2010,2.7398000146394708e-08
2011,1.911985941793759e-08
2012,2.655317205002561e-08
2013,2.1755176049520486e-08
2014,2.4036441198527214e-08
2015,2.682056177150116e-08
2016,3.127723502416302e-08
2017,2.440142957138569e-08
2018,1.9877293255810002e-08
2019,2.0152803315021117e-08
