year,jeunes_ADJ fils_NOUN
1879,1.3990354830184515e-07
1880,1.0332732358619978e-07
1881,9.62206030408197e-08
1882,1.1979693681496428e-07
1883,9.47900815617686e-08
1884,1.524991972701173e-07
1885,8.894977554518846e-08
1886,1.342320530284269e-07
1887,1.057685778960149e-07
1888,1.3125072939601523e-07
1889,1.0901337788027377e-07
1890,1.1339088956674459e-07
1891,8.159001652074949e-08
1892,1.0154990093269589e-07
1893,9.730297989563041e-08
1894,7.939939195011902e-08
1895,1.023164486468886e-07
1896,1.409389938089589e-07
1897,8.332200707172888e-08
1898,1.2731298681956105e-07
1899,8.788849470420246e-08
1900,9.032432757294373e-08
1901,9.27730638977664e-08
1902,8.101968518303693e-08
1903,7.560308290521789e-08
1904,7.900698761886815e-08
1905,9.547404289378392e-08
1906,6.944649300066885e-08
1907,8.331406320394308e-08
1908,1.1296194912802093e-07
1909,8.086446001698278e-08
1910,6.359539383993251e-08
1911,8.086968961151797e-08
1912,8.439262444426276e-08
1913,7.68933503536573e-08
1914,8.973636766995696e-08
1915,1.507937525957459e-07
1916,1.5492321381316287e-07
1917,7.457168749169796e-08
1918,8.270190932080368e-08
1919,5.340552178267899e-08
1920,7.723676276327751e-08
1921,6.058198209757393e-08
1922,8.705963949751094e-08
1923,8.705077192416866e-08
1924,7.219309594574952e-08
1925,1.462757666104153e-07
1926,9.251294841305935e-08
1927,1.4271007842125982e-07
1928,1.0511958237202634e-07
1929,9.246537047147285e-08
1930,9.033099246380516e-08
1931,7.755642172924126e-08
1932,7.890866271509367e-08
1933,9.520649513206081e-08
1934,1.0543790551764687e-07
1935,7.180970840181544e-08
1936,8.972288867425959e-08
1937,9.569249925789336e-08
1938,9.594258898459884e-08
1939,8.105846660555471e-08
1940,1.2678914629304927e-07
1941,1.8299316195680149e-07
1942,1.1226583751522412e-07
1943,6.67744117777147e-08
1944,1.5744612369417155e-07
1945,1.0021118868053236e-07
1946,9.32713959400644e-08
1947,9.65590558621443e-08
1948,9.0236667915633e-08
1949,5.3993545634511975e-08
1950,9.359118280372059e-08
1951,8.315893040844458e-08
1952,1.012301140690397e-07
1953,8.403585383121026e-08
1954,8.013479657620337e-08
1955,7.226918086189471e-08
1956,7.412970148834575e-08
1957,8.569986675865948e-08
1958,7.114129374485856e-08
1959,7.208195285102192e-08
1960,7.820541725322983e-08
1961,6.183861955832981e-08
1962,6.088278325933061e-08
1963,8.211887347897573e-08
1964,8.943433726926742e-08
1965,7.332538132232003e-08
1966,8.640956394856403e-08
1967,9.3183345484249e-08
1968,9.117574251149563e-08
1969,6.449295852917203e-08
1970,7.679870606125405e-08
1971,6.422996534638514e-08
1972,6.412683717371692e-08
1973,6.836372534735347e-08
1974,7.819544833864711e-08
1975,5.997053875717029e-08
1976,9.19877791716317e-08
1977,7.404744906125416e-08
1978,7.306927329864266e-08
1979,8.426841446862454e-08
1980,6.879032099504911e-08
1981,7.527403766971474e-08
1982,7.511077626531915e-08
1983,7.515225775023282e-08
1984,8.756502722917503e-08
1985,7.519447819959169e-08
1986,9.351397523005289e-08
1987,7.638521282160582e-08
1988,9.654451815777065e-08
1989,9.49445109199587e-08
1990,7.628111120538961e-08
1991,7.795748757644105e-08
1992,7.383324884813192e-08
1993,7.699498638658042e-08
1994,1.1130094890177133e-07
1995,8.892819636230342e-08
1996,7.206424612604678e-08
1997,7.767729215402142e-08
1998,9.107127141305682e-08
1999,8.089256198218209e-08
2000,7.99663695261188e-08
2001,8.718611610447624e-08
2002,1.0383494952748151e-07
2003,1.0833999652959392e-07
2004,8.501247350523045e-08
2005,8.782311766708517e-08
2006,8.771105797222845e-08
2007,9.107413490028193e-08
2008,8.642602722375159e-08
2009,7.533743939802662e-08
2010,7.180165084719192e-08
2011,8.450977873053489e-08
2012,8.748929758439772e-08
2013,1.0570784070296213e-07
2014,1.136858713834954e-07
2015,9.287450808415088e-08
2016,1.135094365167788e-07
2017,8.100268189537019e-08
2018,9.55142667180553e-08
2019,9.999872219168537e-08
