year,chers_ADJ fils_NOUN
1954,1.9740522549938078e-07
1955,1.2201290067181958e-07
1956,2.8692556863774143e-07
1957,1.360595842658796e-07
1958,3.3006251065614833e-07
1959,2.8755274528169394e-07
1960,4.636958300663352e-08
1961,2.3762705064767076e-07
1962,1.6425667637154362e-07
1963,2.993782588500693e-07
1964,5.9014493181130945e-08
1965,4.0219518498973983e-07
1966,5.4282932704374787e-08
1967,1.557986062383776e-07
1968,5.883754544688813e-08
1969,1.734951506904281e-07
1970,2.2165854762778991e-07
1971,7.913132193948513e-08
1972,3.334595399806517e-08
1973,8.545465868259328e-08
1974,3.712877216788257e-08
1975,5.140332026698502e-08
1976,5.256444701728924e-08
1977,7.933655510328208e-08
1978,2.732672010896664e-08
1979,5.5008550381430155e-08
1980,3.8090510079413775e-08
1981,2.7832418536544168e-08
1982,2.6071509617864308e-08
1983,1.0736037614478278e-08
1984,2.95749427725589e-08
1985,1.9249785210284642e-08
1986,3.476801463397905e-08
1987,2.7498675891912683e-08
1988,2.518552627561732e-08
1989,5.872290553821102e-08
1990,2.996757997308919e-08
1991,3.047961899538265e-08
1992,3.636563156161898e-08
1993,3.3789165465591964e-08
1994,3.0594573541264936e-08
1995,2.3858783781971482e-08
1996,2.2419986756005983e-08
1997,4.842843503993777e-08
1998,2.860877590382671e-08
1999,2.605014715051368e-08
2000,6.980489652974597e-08
2001,2.1467937871832987e-08
2002,3.242103924216977e-08
2003,3.125192160613466e-08
2004,4.7131265390465416e-08
2005,3.963299621823069e-08
2006,3.4590275255208525e-08
2007,3.475197085656134e-08
2008,3.7465470947850577e-08
2009,4.482101045866216e-08
2010,2.3618965561134075e-08
2011,3.518054089712841e-08
2012,2.5531894737307326e-08
2013,3.151711347459951e-08
2014,2.5119163318820803e-08
2015,3.9233384721559794e-08
2016,4.556947996725569e-08
2017,2.993577463694663e-08
2018,3.5882386728580684e-08
2019,3.9540311858043964e-08
