year,pinces_NOUN fines_ADJ
1912,1.0939784189645252e-08
1913,1.1666577037772186e-08
1914,6.6967438816512015e-09
1915,3.534228465440492e-09
1916,6.592477230782379e-09
1917,2.302949086985251e-08
1918,4.594550517822427e-09
1919,5.524709134618888e-09
1920,1.0601124422748853e-08
1921,9.087296748422347e-09
1922,6.640141769764796e-09
1923,6.369568872344189e-09
1924,5.156649773851996e-09
1925,1.0998178368026856e-08
1926,1.5604593173179637e-08
1927,1.1149224654616319e-08
1928,7.998228745975666e-09
1929,8.912325100141061e-09
1930,9.453243521306831e-09
1931,1.0264820993199919e-08
1932,7.6716757391182e-09
1933,2.2941324395731044e-09
1934,1.0783422155213884e-08
1935,5.98414207075848e-09
1936,2.182448710641438e-08
1937,3.777335333410292e-09
1938,7.779128452511941e-09
1939,1.3764645423464117e-08
1940,2.5357829613881222e-08
1941,1.7709016475464523e-08
1942,5.158160121254696e-08
1943,2.9032352077962287e-09
1944,2.2492303131116387e-08
1945,2.6142048525912287e-08
1946,1.3921104269343232e-08
1947,1.0728783861324587e-08
1948,3.913879709216417e-08
1949,2.3560819850665382e-08
1950,1.808011518278363e-08
1951,6.396841278899501e-09
1952,3.057992969957013e-08
1953,8.619061908632375e-09
1954,1.2704296947774196e-08
1955,1.6894095011821264e-08
1956,5.232684952005684e-09
1957,2.7388616541390576e-08
1958,9.926692356998501e-09
1959,3.797866376942238e-08
1960,1.245750003153745e-08
1961,1.598076693198891e-08
1962,1.712328306924249e-08
1963,1.0345685197421517e-08
1964,1.1559539936367713e-08
1965,1.6416130066421175e-08
1966,1.8278946356531378e-08
1967,2.070740912074598e-08
1968,1.257596426995633e-08
1969,1.4987801222332564e-08
1970,9.657322941336588e-09
1971,1.2332153964678128e-08
1972,9.747279428040656e-09
1973,8.821125663249774e-09
1974,8.438357568252286e-09
1975,6.8537762132336866e-09
1976,1.3141112142900369e-08
1977,3.526069214387917e-09
1978,6.534650598410963e-09
1979,5.266775904289034e-09
1980,7.95921106799824e-09
1981,7.590659267808775e-09
1982,5.586751949948621e-09
1983,5.68378455412244e-09
1984,2.8995041922996734e-09
1985,6.015557829641693e-09
1986,7.1933827783254856e-09
1987,9.166224945733603e-09
1988,5.396898483667201e-09
1989,3.841685525252103e-09
1990,1.6345953479657283e-09
1991,2.344586080837985e-09
1992,4.407955389584828e-09
1993,6.647049133334804e-09
1994,6.329911705904578e-09
1995,3.253470381991974e-09
1996,1.067618438099771e-09
1997,1.3905193885221934e-08
1998,3.337690568372409e-09
1999,5.027221222642098e-09
2000,2.6508188977203417e-09
2001,4.381211837767296e-09
2002,7.886198361006791e-09
2003,2.9168460979889232e-09
2004,3.523833003171717e-09
2005,2.702249757291497e-09
2006,2.8825228870488218e-09
2007,1.5977917877663117e-09
2008,2.554463751636149e-09
2009,3.337734755248789e-09
2010,8.030448306328708e-09
2011,4.971163480860241e-09
2012,8.851056776393307e-09
2013,5.857162754807632e-09
2014,3.897801192920269e-09
2015,5.984753762011685e-09
2016,5.799752345048148e-09
2017,3.773417134311785e-09
2018,6.195520096952123e-09
2019,2.2958890344426663e-09
