year,sciences_NOUN in_ADJ
1925,1.0998177923937646e-09
1926,2.229227691330493e-09
1927,0.0
1928,1.1426041224282812e-09
1929,1.893869105984436e-08
1930,3.1510811737689437e-09
1931,2.2810713318222042e-09
1932,2.1919073223131136e-09
1933,4.588264879146209e-09
1934,5.990790086229936e-09
1935,5.98414207075848e-09
1936,6.0623572828433225e-09
1937,3.777335333410292e-09
1938,5.186085672015395e-09
1939,6.117620188206274e-09
1940,2.5357829169792012e-09
1941,1.4757512545315876e-08
1942,4.8547388331598995e-08
1943,5.806470415592457e-09
1944,0.0
1945,0.0
1946,9.744772988540262e-09
1947,4.7683483828109274e-09
1948,7.61032148410834e-09
1949,6.8719059331812105e-09
1950,1.4889505628445932e-08
1951,2.1322802634671234e-08
1952,8.435843135146115e-09
1953,1.508335856215126e-08
1954,1.1727043114362345e-08
1955,9.385607846468247e-09
1956,1.4825940475304833e-08
1957,7.0680299946168645e-09
1958,9.926692356998501e-09
1959,2.5577467255288866e-08
1960,1.4533750203327145e-08
1961,1.59807664878997e-08
1962,1.5220694926654232e-08
1963,1.4871922360271128e-08
1964,9.125952660227199e-09
1965,1.8057743744748223e-08
1966,1.6617224041226564e-08
1967,1.3804939857919862e-08
1968,2.784677821665582e-08
1969,1.9983734667050612e-08
1970,2.1614007472692265e-08
1971,3.1858063742618015e-08
1972,2.0007572487656944e-08
1973,2.3706775653664636e-08
1974,1.8564386916608555e-08
1975,2.1132476657470534e-08
1976,2.285410705127333e-08
1977,3.4085333666666884e-08
1978,2.257424780438555e-08
1979,2.0481906837233055e-08
1980,2.217208772137269e-08
1981,2.9730083284107423e-08
1982,3.84865144198443e-08
1983,3.8523427114967035e-08
1984,4.29126627565779e-08
1985,3.9702682030906544e-08
1986,2.51768397241392e-08
1987,3.17762474111305e-08
1988,2.818380284708155e-08
1989,1.8110803523541108e-08
1990,1.5256222951620657e-08
1991,3.106576507150294e-08
1992,1.7080826975046648e-08
1993,2.1048988330107932e-08
1994,2.5319648155885943e-08
1995,2.277429267394382e-08
1996,1.975094043871195e-08
1997,1.8220599029561413e-08
1998,1.09666975500744e-08
1999,1.5995703650517612e-08
2000,1.1045078407434517e-08
2001,1.7086726256110296e-08
2002,1.6648642020555826e-08
2003,1.0000615002780933e-08
2004,1.761916479381398e-08
2005,1.9816498664226856e-08
2006,2.2648394715218956e-08
2007,1.1983438463758489e-08
2008,2.086145478585877e-08
2009,7.15228898329201e-09
2010,3.77903447423833e-09
2011,1.873746224845263e-08
2012,1.1234033703289015e-08
2013,1.1435412838878278e-08
2014,6.279790909502481e-09
2015,5.763096055932948e-09
2016,6.006886099640951e-09
2017,5.534344982294215e-09
2018,6.45366671214731e-09
2019,1.3775333984611393e-08
