year,affaires_NOUN in_ADJ
1923,1.2739137744688378e-08
1924,5.156649662829693e-09
1925,5.499088961968823e-09
1926,1.2260752413340015e-08
1927,6.689534925996554e-09
1928,1.7139061725401916e-08
1929,5.570203187588163e-09
1930,1.680576589002669e-08
1931,4.5621426636444085e-09
1932,4.493410110661955e-08
1933,2.064719240024715e-08
1934,2.6359476379411717e-08
1935,1.9149253738248717e-08
1936,1.576212849130343e-08
1937,1.2591118148108649e-08
1938,1.1668693011834819e-08
1939,4.5882151411547056e-08
1940,1.7750480196809804e-08
1941,0.0
1942,6.068423541449874e-09
1943,0.0
1944,4.177142010064472e-08
1945,1.089252021913012e-08
1946,1.5313214696277555e-08
1947,5.960435478513659e-09
1948,3.2615663503321457e-09
1949,9.817008317369869e-09
1950,2.1270722960764488e-09
1951,3.198420528427448e-09
1952,5.272402070488624e-09
1953,1.1851210235391818e-08
1954,2.9317608341017376e-09
1955,3.754243138587299e-09
1956,4.36057079333807e-09
1957,3.534015080575159e-09
1958,2.0680608781020737e-08
1959,4.650448581777766e-09
1960,4.152499955001332e-09
1961,4.168895617606694e-09
1962,2.5367825617905737e-09
1963,7.759263898066138e-09
1964,2.433587276140514e-09
1965,3.2832261354087677e-09
1966,4.431259803538978e-09
1967,3.845661722401417e-08
1968,1.616909670043576e-08
1969,3.1792304344691047e-09
1970,4.598724956395017e-09
1971,5.652237122788506e-09
1972,4.10411743478889e-09
1973,4.961883459664307e-09
1974,3.937900228123681e-09
1975,4.569184142155791e-09
1976,4.570821388050206e-09
1977,7.052138428775834e-09
1978,5.940591241149207e-09
1979,9.363157138508882e-09
1980,5.116635670709968e-09
1981,8.22321433169293e-09
1982,4.345251491955082e-09
1983,3.157657912922218e-09
1984,7.538710988796993e-09
1985,5.414002135495366e-09
1986,2.3977941854269602e-09
1987,9.166224945733603e-09
1988,4.1975875553212916e-09
1989,6.585746614717891e-09
1990,2.724325487424295e-09
1991,2.9307326565586322e-09
1992,2.754972139307199e-09
1993,2.2156829704300662e-09
1994,1.0549853213248639e-09
1995,3.2534704930142766e-09
1996,1.067618438099771e-09
1997,2.397447240731765e-09
1998,4.768129113763564e-09
1999,1.8280804647829996e-09
2000,2.2090157481002848e-09
2001,1.0514908055370142e-08
2002,4.38122149670761e-10
2003,8.333845835650777e-10
2004,8.809582507929292e-10
2005,1.3511248786457486e-09
2006,1.2353669198716943e-09
2007,7.988958938831558e-10
2008,1.7029758436759579e-09
2009,4.76819250749827e-10
2010,4.723793023408973e-10
2011,7.64794394481072e-10
2012,1.3617011129785084e-09
2013,2.7891250975464743e-09
2014,1.9489005964601347e-09
2015,1.773260344117844e-09
2016,4.1426800878596737e-10
2017,1.7609279590047322e-09
2018,5.162933414126769e-10
2019,2.5509878653906526e-09
