year,obligations_NOUN in_ADJ
1954,1.9545072227344917e-09
1955,4.6928039232341234e-09
1956,5.232684952005684e-09
1957,5.301022620862739e-09
1958,1.2408365002158916e-08
1959,3.8753740216890264e-09
1960,4.152500121534786e-09
1961,4.16889545107324e-09
1962,1.9025869768540815e-09
1963,2.5864212993553792e-09
1964,3.041984220075733e-09
1965,4.3776345326485e-09
1966,3.3234448526542337e-09
1967,3.9442684118817795e-09
1968,3.143991039733507e-09
1969,4.087581828571274e-09
1970,1.8394900047624674e-09
1971,1.0276794970565106e-09
1972,8.721249500354133e-09
1973,1.3783009511492139e-08
1974,1.1813700240281833e-08
1975,2.341706917263764e-08
1976,7.427584991503977e-09
1977,2.9383909194713453e-09
1978,5.940591352171509e-10
1979,2.925986564150662e-09
1980,2.8425753972882717e-09
1981,0.0
1982,1.6760255405756652e-08
1983,1.89459470334441e-09
1984,2.8995041922996734e-09
1985,4.210890747202711e-09
1986,5.395036861699509e-09
1987,0.0
1988,2.398621523624911e-09
1989,1.6464366536794728e-09
1990,3.269190584909154e-09
1991,5.2753188484189195e-09
1992,1.65298330578878e-09
1993,5.539207426075166e-10
1994,3.6924485691258724e-09
1995,4.880205572987961e-09
1996,8.540947282753564e-09
1997,6.233362714880286e-09
1998,5.244942036242151e-09
1999,5.484241422104574e-09
2000,6.1852442057031e-09
2001,3.943090687297257e-09
2002,7.886198805096e-09
2003,2.500153750695233e-09
2004,3.9643119897903034e-09
2005,1.8014998381943315e-09
2006,6.588623757686207e-09
2007,2.79613560083547e-09
2008,2.9802077194940324e-09
2009,3.814554005998616e-09
2010,4.723793023408973e-09
2011,4.971163480860241e-09
2012,2.7234021704458655e-09
2013,9.204112583205415e-09
2014,8.228691616984918e-09
2015,9.752932017548233e-09
2016,7.456824158147413e-09
2017,1.2829617923593162e-08
2018,9.293279812361277e-09
2019,6.122370832528645e-09
