year,vastes_ADJ eaux_NOUN
1870,4.587239033071455e-09
1871,2.1242354542039266e-09
1872,9.675742873582749e-09
1873,4.190203295451056e-09
1874,2.6288279997288555e-08
1875,1.716458086775674e-09
1876,6.04601479992084e-09
1877,1.2369632429454214e-08
1878,1.5701630218245555e-08
1879,2.2604503158163425e-08
1880,1.7969970400599777e-08
1881,1.5339516323820135e-08
1882,9.983077475794744e-09
1883,9.479008689083912e-09
1884,1.9805090900604227e-09
1885,5.156508553483263e-09
1886,1.097088819790315e-08
1887,1.0446279397058333e-08
1888,8.876860135842435e-09
1889,2.0674951528576457e-08
1890,7.865263995654459e-09
1891,1.9122659011827636e-09
1892,8.775916882086676e-09
1893,1.6011883374744684e-08
1894,1.3863386882917439e-08
1895,4.213029924926559e-09
1896,1.1204354777305525e-08
1897,1.5149455023788505e-08
1898,2.8291773368493978e-09
1899,5.527578395003729e-09
1900,1.0901211489056095e-08
1901,2.235495566438317e-09
1902,1.6203935970793282e-08
1903,5.400220270956879e-09
1904,2.1498500757388683e-09
1905,2.580379465655369e-09
1906,9.259531807970234e-09
1907,3.0857059130084963e-09
1908,1.5716445034286153e-08
1909,1.0451868703853506e-08
1910,5.878565634276356e-09
1911,5.852411444351446e-09
1912,1.7712032729377825e-08
1913,1.4318072061314524e-08
1914,6.027069510139427e-09
1915,2.0027295377644805e-08
1916,2.197492410260793e-09
1917,8.773139548168274e-09
1918,5.743188147278033e-09
1919,7.366278698128781e-09
1920,6.057785384427916e-09
1921,9.844571380313027e-09
1922,1.2542490601674672e-08
1923,9.554353752605493e-09
1924,4.2542360745301266e-08
1925,3.8493624288094e-08
1926,1.3375366592072169e-08
1927,1.1149224654616319e-08
1928,1.4853853258500749e-08
1929,5.570202965543558e-09
1930,4.201441416995522e-09
1931,1.0264820993199919e-08
1932,3.287861094491973e-09
1933,8.02946331646126e-09
1934,5.990790086229936e-09
1935,8.377798899061872e-09
1936,1.2124714565686645e-08
1937,8.813782592653752e-09
1938,1.5558256905023882e-08
1939,1.5294050470515685e-09
1940,5.0715658339584024e-09
1941,5.9030051957620344e-09
1942,0.0
1943,2.0322646676618206e-08
1944,1.6065930807940276e-08
1945,2.178504043826024e-09
1946,1.8097434661967782e-08
1947,2.0265479960812627e-08
1948,3.2615663503321457e-09
1949,2.945102384188658e-09
1950,1.595304155443955e-08
1951,1.0661401761424827e-09
1952,3.1634410646574906e-09
1953,4.3095309543161875e-09
1954,7.818028890937967e-09
1955,8.447047505910632e-09
1956,5.232684952005684e-09
1957,3.534015080575159e-09
1958,6.617794756635931e-09
1959,6.975672928177801e-09
1960,3.460416619915918e-09
1961,1.111705483225478e-08
1962,2.0928455413127267e-08
1963,3.2330267352165265e-09
1964,1.0951143103454797e-08
1965,4.377634699181954e-09
1966,6.092982118843793e-09
1967,8.381570104631919e-09
1968,1.3025106326836067e-08
1969,1.0446043141598693e-08
1970,5.518470125309705e-09
1971,6.679916619845017e-09
1972,8.721249500354133e-09
1973,7.718485406371656e-09
1974,3.3753431161187564e-09
1975,4.569184142155791e-09
1976,3.4281160132820787e-09
1977,2.938390863960194e-09
1978,5.940591130126904e-09
1979,6.437170796402825e-09
1980,3.411090521154847e-09
1981,5.060439622894819e-09
1982,2.483000915987077e-09
1983,9.47297440490047e-09
1984,8.69851302098823e-09
1985,1.0226449020933615e-08
1986,2.3977941854269602e-09
1987,8.555143260480236e-09
1988,6.596209356501959e-09
1989,3.841685636274406e-09
1990,2.724325431913144e-09
1991,3.5168792322792797e-09
1992,4.958949695321735e-09
1993,4.985286850001103e-09
1994,4.2199412852994556e-09
1995,4.880205572987961e-09
1996,5.3380921904988554e-09
1997,2.3974471297094624e-09
1998,9.059445638115449e-09
1999,3.656160929565999e-09
2000,7.95245647111642e-09
2001,4.8193329327261836e-09
2002,1.0953053575235572e-08
2003,6.250384210204629e-09
2004,4.404791198453495e-09
2005,7.205999352777326e-09
2006,5.7650457740976435e-09
2007,7.988958827809256e-09
2008,4.257439734089985e-09
2009,3.814554005998616e-09
2010,5.668551850135373e-09
2011,6.118355155848576e-09
2012,7.489355802192676e-09
2013,1.0040849929282558e-08
2014,9.094869746206768e-09
2015,8.422986752520956e-09
2016,8.699628573083373e-09
2017,1.2326495379966218e-08
2018,1.9360999914397325e-08
2019,1.2499840273960672e-08
