year,leurs_DET eaux_NOUN
2003,3.3460391435369274e-07
2004,2.858709411412974e-07
2005,2.940948569118973e-07
2006,3.471381315733879e-07
2007,3.1236829656222653e-07
2008,3.2995157628334937e-07
2009,3.247139055417847e-07
2010,3.131874706241433e-07
2011,3.5486458749289795e-07
2012,3.8570182425701205e-07
2013,2.783546673157389e-07
2014,3.109579207460911e-07
2015,3.754878585837673e-07
2016,4.2669605626599605e-07
2017,2.8350940928234536e-07
2018,3.198437168450141e-07
2019,3.431078550164557e-07
