year,quelques_DET oeufs_NOUN
1870,2.2936195165357276e-09
1871,2.1242354542039266e-09
1872,3.628403577593531e-09
1873,2.3944017324417644e-09
1874,1.7923826867161097e-09
1875,5.7215269744226305e-09
1876,5.441413541973361e-09
1877,3.710889595609501e-09
1878,6.039088673581716e-10
1879,2.443730107160036e-09
1880,5.134277003548959e-09
1881,2.7890030285249168e-09
1882,4.658769592325029e-09
1883,6.951272890631799e-09
1884,1.3203393933736152e-09
1885,3.86738152613475e-09
1886,1.9360391623202133e-09
1887,1.3057849246322917e-09
1888,4.438430289965822e-09
1889,3.759081934617825e-09
1890,5.898947663673937e-09
1891,1.2748440081367107e-09
1892,3.1342561879199593e-09
1893,0.0
1894,2.520615716150587e-09
1895,9.027921521465032e-09
1896,5.897029087265082e-09
1897,4.661370955894029e-09
1898,5.6583546736987955e-09
1899,4.9748205555033564e-09
1900,4.15284251431558e-09
1901,3.353243460679778e-09
1902,4.419255628107521e-09
1903,3.7801539676252105e-09
1904,3.7622376325430196e-09
1905,2.5803795211665204e-09
1906,2.0576738091193647e-09
1907,8.228549286393161e-09
1908,4.911389073214423e-09
1909,1.2102163438054703e-08
1910,4.809735498767509e-09
1911,1.1172785363555704e-08
1912,6.772247651554153e-09
1913,7.954484682048957e-09
1914,8.705766885164223e-09
1915,4.712304657594757e-09
1916,8.789969641043172e-09
1917,1.096642476827725e-08
1918,5.743188147278033e-09
1919,6.445493971884986e-09
1920,4.543339038320937e-09
1921,4.543648624011354e-09
1922,5.1645547283207804e-09
1923,1.1677542488541803e-08
1924,1.0313299547703991e-08
1925,4.399271169575059e-09
1926,4.458455382660986e-09
1927,8.919379901328739e-09
1928,3.4278122562625413e-09
1929,4.4561625500705304e-09
1930,9.453243188239924e-09
1931,7.983749661377715e-09
1932,5.4797681947604815e-09
1933,1.2617728861741284e-08
1934,1.0783422155213884e-08
1935,5.98414207075848e-09
1936,9.699771652549316e-09
1937,1.1332006444320086e-08
1938,1.426173557028676e-08
1939,2.7529290846928234e-08
1940,2.5357829169792012e-09
1941,2.9515025978810172e-09
1942,3.034211770724937e-09
1943,2.9032352077962287e-09
1944,1.6065930807940276e-08
1945,1.742803190651898e-08
1946,2.7842208538686464e-09
1947,7.152522574216391e-09
1948,1.630783130757152e-08
1949,6.871905600114303e-09
1950,1.0635361258337639e-08
1951,1.2793682557799002e-08
1952,1.581720565635436e-08
1953,1.8315507332999914e-08
1954,8.795282724349818e-09
1955,2.2525459275613002e-08
1956,2.52913103793162e-08
1957,1.6786571077620493e-08
1958,1.0753916701577992e-08
1959,5.425523585955716e-09
1960,1.799416665670961e-08
1961,4.86371165564492e-09
1962,8.878739188311613e-09
1963,8.405869444949587e-09
1964,8.517555549758526e-09
1965,9.302474013317408e-09
1966,6.092982229866095e-09
1967,5.423369309198733e-09
1968,3.5931326802796093e-09
1969,9.083515273289322e-09
1970,3.678980065036086e-09
1971,7.707596449968435e-09
1972,7.182205497002769e-09
1973,5.513203671370093e-09
1974,1.0126029126311664e-08
1975,7.4249242310031605e-09
1976,8.570290255249802e-09
1977,8.22749424145286e-09
1978,2.9702956760857546e-09
1979,1.287434159280565e-08
1980,6.822180764753938e-09
1981,8.223214609248686e-09
1982,6.828252629986764e-09
1983,1.578829045278951e-08
1984,6.378909400694965e-09
1985,7.218669662023558e-09
1986,5.395036972721812e-09
1987,9.77730663098697e-09
1988,7.795519729736355e-09
1989,1.2622681122564927e-08
1990,8.172976628806339e-09
1991,7.6199047072123e-09
1992,1.0468893973936133e-08
1993,1.218625611532076e-08
1994,1.4769794165481187e-08
1995,1.8978577598360857e-08
1996,8.540947282753564e-09
1997,1.3425704992187093e-08
1998,8.10582001520288e-09
1999,6.398281460207045e-09
2000,5.7434409450607404e-09
2001,1.1391150411821371e-08
2002,5.257465574004527e-09
2003,9.58392298855415e-09
2004,3.9643119897903034e-09
2005,2.702249757291497e-09
2006,4.529678854225949e-09
2007,3.1955835755326234e-09
2008,5.960415355721338e-09
2009,9.53638501499654e-09
2010,4.723792912386671e-09
2011,4.206369030868018e-09
2012,1.3617010852229328e-09
2013,2.789125042035323e-10
2014,4.3308902714089825e-09
2015,4.433150790905671e-10
2016,1.4499380585064614e-09
2017,1.509366853724714e-09
2018,2.8396134332808742e-09
2019,5.101975453225549e-09
