year,aurons_VERB été_VERB
1939,1.6823456405745674e-08
1940,4.81798743123818e-08
1941,2.3612020783048138e-08
1942,6.068423630267716e-08
1943,4.935499831049128e-08
1944,6.42637232317611e-08
1945,6.535512397931598e-08
1946,5.568441707737293e-08
1947,8.702235732016561e-08
1948,4.67491183542279e-08
1949,5.890204946013e-08
1950,6.168509969484148e-08
1951,5.970385075215745e-08
1952,4.5342655852209646e-08
1953,3.3398865895151175e-08
1954,4.9839933069506515e-08
1955,4.035811329572425e-08
1956,4.7094165012140365e-08
1957,5.8311247386200193e-08
1958,4.7979010986409776e-08
1959,3.720359131875739e-08
1960,3.737250153790228e-08
1961,5.83645380913822e-08
1962,3.55149545328004e-08
1963,3.879631904624148e-08
1964,5.2322128851756133e-08
1965,5.034279837445865e-08
1966,4.985167123550127e-08
1967,6.113616279890266e-08
1968,4.087188543167031e-08
1969,4.3146698658347304e-08
1970,3.862929176534635e-08
1971,4.984245549621846e-08
1972,3.283293992240033e-08
1973,3.087394162548662e-08
1974,4.894247496167736e-08
1975,2.341706917263764e-08
1976,3.370981005446083e-08
1977,4.0549796409550254e-08
1978,3.5049488644745e-08
1979,2.691907674545746e-08
1980,4.43441763309238e-08
1981,3.479052068655619e-08
1982,2.7313010519947056e-08
1983,3.6628833299801045e-08
1984,3.073474630355122e-08
1985,5.7147801157952927e-08
1986,3.416856841909066e-08
1987,3.116516467116526e-08
1988,3.597932263232906e-08
1989,3.951447880012893e-08
1990,3.923028657482064e-08
1991,3.751337729340776e-08
1992,3.4712648755430564e-08
1993,4.5421501226883265e-08
1994,3.2177052133874895e-08
1995,4.0126135303353294e-08
1996,2.989331449043675e-08
1997,3.931813452595634e-08
1998,4.482041404685333e-08
1999,3.3362468343511864e-08
2000,4.0204085394179856e-08
2001,3.986902896713218e-08
2002,3.373540380380291e-08
2003,4.041915246943972e-08
2004,3.920264290968589e-08
2005,3.918261981539217e-08
2006,3.8296377624646993e-08
2007,3.595031472514165e-08
2008,3.320802832718073e-08
2009,4.1483275481368764e-08
2010,3.212179322531483e-08
2011,3.4415748473293206e-08
2012,4.22127328647548e-08
2013,4.295252509223246e-08
2014,5.088796228847059e-08
2015,4.4109849994811157e-08
2016,4.142680154473055e-08
2017,4.226227190429199e-08
2018,4.646640050509632e-08
2019,4.897896488387232e-08
