year,quelques_DET eaux_NOUN
1982,1.8001756529884005e-08
1983,1.7682884490000106e-08
1984,1.5657322549600394e-08
1985,2.5265344372193965e-08
1986,2.098069995515317e-08
1987,2.1998940669121225e-08
1988,2.5185526497661925e-08
1989,1.6464365870660913e-08
1990,2.451892872068484e-08
1991,1.6412102177287835e-08
1992,1.8733810946969243e-08
1993,2.271075000281897e-08
1994,1.7407257413282196e-08
1995,1.1929391419140956e-08
1996,1.6548085124412637e-08
1997,1.054876763717516e-08
1998,1.4781201040925396e-08
1999,1.7366764026860437e-08
2000,9.71966962470816e-09
2001,1.5772362249588667e-08
2002,2.1029863794819192e-08
2003,7.500461418619153e-09
2004,1.2773894830786503e-08
2005,1.7564622756260917e-08
2006,1.1530091881262194e-08
2007,1.2782334662952977e-08
2008,9.366367237362283e-09
2009,8.105927484791664e-09
2010,5.196172492283324e-09
2011,1.0707121411712706e-08
2012,1.3957436095779485e-08
2013,7.2517249982695375e-09
2014,6.712880029624557e-09
2015,9.087958829923082e-09
2016,1.4913648649361733e-08
2017,1.0565567670761666e-08
2018,8.776986804015507e-09
2019,1.0203950906451098e-08
