year,nations_NOUN in_ADJ
1956,1.1337483840634377e-08
1957,7.951533875782957e-09
1958,9.926692356998501e-09
1959,1.5501496086756106e-08
1960,1.1073332972788563e-08
1961,3.4740795795684676e-09
1962,3.8051738426858606e-09
1963,8.405868889838075e-09
1964,4.258777719368112e-09
1965,1.094408652591028e-08
1966,1.38476865529924e-08
1967,1.0846738174308257e-08
1968,1.886394707106831e-08
1969,4.087581939593576e-09
1970,1.195668508646719e-08
1971,7.707595894856922e-09
1972,8.208234758555477e-09
1973,9.37244637455592e-09
1974,2.025205780853412e-08
1975,1.1994107929069742e-08
1976,9.712995518995626e-09
1977,4.113747398282186e-09
1978,8.910887250301869e-09
1979,4.681578680276743e-09
1980,1.8760997200217844e-08
1981,1.0120879467834243e-08
1982,1.4277255377947995e-08
1983,1.5788290674834116e-08
1984,1.2177917341205102e-08
1985,5.414002135495366e-09
1986,8.991728250862252e-09
1987,1.6499205779396675e-08
1988,5.996553809062277e-09
1989,9.878619922076837e-09
1990,5.44865097484859e-09
1991,8.206051227421796e-09
1992,6.611932834577061e-09
1993,4.985286850001103e-09
1994,1.3714808844156323e-08
1995,1.3013882416146316e-08
1996,1.3345230476247139e-08
1997,7.192341611172992e-09
1998,1.2873948684877234e-08
1999,1.8737824403203263e-08
2000,1.4579503826439577e-08
2001,5.695575455710866e-09
2002,1.5334274738876275e-08
2003,1.1667384058888786e-08
2004,1.0571499065026302e-08
2005,1.1259374210759177e-08
2006,1.976587160612553e-08
2007,1.8374606391979853e-08
2008,9.36636757042919e-09
2009,5.721831231042529e-09
2010,5.196172381261022e-09
2011,9.942327183765087e-09
2012,7.489356051992857e-09
2013,8.088462566391286e-09
2014,1.0177591935889296e-08
2015,7.979671590163662e-09
2016,3.935546111222266e-09
2017,1.1823373391450787e-08
2018,1.2649186531543677e-08
2019,6.887667103327999e-09
