year,vieux_ADJ fils_NOUN
1907,5.65712765521198e-09
1908,2.9468334439286537e-09
1909,3.850688656825696e-09
1910,5.34415089958884e-09
1911,1.0640748282497725e-08
1912,5.209421227725386e-10
1913,2.6514948570088848e-09
1914,1.6741859454327823e-08
1915,0.0
1916,1.0987461607214755e-08
1917,8.773139548168274e-09
1918,8.040463406189247e-09
1919,7.366278698128781e-09
1920,8.329454903588385e-09
1921,6.815472630705699e-09
1922,2.2871599725249325e-08
1923,1.4862327368803108e-08
1924,1.675911143195208e-08
1925,1.3197813508725176e-08
1926,2.1177662290483568e-08
1927,7.804457524684949e-09
1928,1.1426041224282812e-09
1929,2.2280812750352652e-09
1930,5.2518016602221e-09
1931,9.124285327288817e-09
1932,7.6716757391182e-09
1933,1.1470662641954732e-08
1934,4.7926320689839486e-09
1935,5.98414207075848e-09
1936,7.274828739411987e-09
1937,1.1332006444320086e-08
1938,1.6854778905894818e-08
1939,4.588215141154706e-09
1940,7.607348528892999e-09
1941,8.854508237732261e-09
1942,2.4273694165799498e-08
1943,8.709705845433291e-09
1944,1.6065930807940276e-08
1945,1.089252066321933e-08
1946,6.960552134671616e-09
1947,1.0728784083369192e-08
1948,1.522064252412747e-08
1949,5.890204768377316e-09
1950,5.317680518146517e-09
1951,1.2793682557799002e-08
1952,1.5817205323287453e-08
1953,1.0773827385790469e-09
1954,4.788542651290584e-08
1955,8.447047505910632e-09
1956,1.4825940697349438e-08
1957,1.1485549400447326e-08
1958,1.6544486503011768e-08
1959,1.5501495642666896e-09
1960,3.460416619915918e-09
1961,1.250668635321972e-08
1962,1.0781325721076485e-08
1963,9.69907976156037e-09
1964,1.6426714155581834e-08
1965,1.3680108601477059e-08
1966,4.985167390003653e-09
1967,1.5777073425482513e-08
1968,8.533690198930799e-09
1969,5.904285005353671e-09
1970,7.357960074561021e-09
1971,2.003974941544584e-08
1972,6.156176013405457e-09
1973,1.9847533394568018e-08
1974,8.438357623763437e-09
1975,1.77055889949429e-08
1976,1.1427053914214724e-08
1977,1.4104276691018214e-08
1978,2.970295565063452e-09
1979,1.7555920051037788e-09
1980,7.390696055153967e-09
1981,8.855769062510177e-09
1982,1.0552754226011984e-08
1983,6.946847541655643e-09
1984,8.118611560803402e-09
1985,9.62489254963117e-09
1986,4.7955883708539204e-09
1987,4.277571630240118e-09
1988,6.596209300990807e-09
1989,7.134558721588746e-09
1990,1.0352437129768077e-08
1991,4.689171995142516e-09
1992,6.61193322315512e-09
1993,1.274017746855094e-08
1994,6.329912094482637e-09
1995,9.21816667442954e-09
1996,9.60856638698715e-09
1997,7.192341833217597e-09
1998,6.198567881199324e-09
1999,1.0054442611817649e-08
2000,1.5463110236701993e-08
2001,6.571817562361915e-09
2002,6.1337101509018055e-09
2003,6.250384210204629e-09
2004,3.0833538500196767e-09
2005,1.4862373665103235e-08
2006,7.823990955113658e-09
2007,4.393927444112933e-09
2008,1.2346574762567286e-08
2009,8.105927262747059e-09
2010,1.5116137341841807e-08
2011,1.1854312864656436e-08
2012,1.6340413466764403e-08
2013,1.1156499724052082e-08
2014,1.8189739825480444e-08
2015,1.529437057556926e-08
2016,1.9056328626199104e-08
2017,1.5848351964109497e-08
2018,2.0393587207845343e-08
2019,1.7601816060253128e-08
