year,certaines_DET eaux_NOUN
1906,2.428055161374232e-07
1907,1.8257093969964444e-07
1908,3.0745294665734946e-07
1909,2.7174858097112065e-07
1910,3.5217952287780463e-07
1911,2.57506110656891e-07
1912,2.458846850572627e-07
1913,2.8689175124441135e-07
1914,2.0559003388598285e-07
1915,1.9084833979832183e-07
1916,1.7250316020067658e-07
1917,1.447568021006873e-07
1918,2.572948254453422e-07
1919,1.2522674097681374e-07
1920,1.9233468151469424e-07
1921,1.575131491904358e-07
1922,2.0731999050838112e-07
1923,1.7091676163261127e-07
1924,1.6243447031882852e-07
1925,1.7597085033571602e-07
1926,1.69421309870188e-07
1927,1.7281298703153425e-07
1928,1.19973431189635e-07
1929,1.893869105984436e-07
1930,1.9326630429361558e-07
1931,2.0757749474853426e-07
1932,2.4878148430218516e-07
1933,2.2138377353542182e-07
1934,1.6414764303362972e-07
1935,1.6037501104904095e-07
1936,1.9763285052931678e-07
1937,1.8005299207146663e-07
1938,2.1651907644582025e-07
1939,2.599988597751235e-07
1940,2.1807733396883577e-07
1941,2.1841118957866001e-07
1942,1.7295007204154444e-07
1943,1.4806499937236595e-07
1944,8.675602458652065e-08
1945,5.010559434026618e-08
1946,1.336425956566245e-07
1947,1.0728784172187034e-07
1948,1.261139015440449e-07
1949,1.502002318076734e-07
1950,1.478315301284283e-07
1951,1.8230996623458395e-07
1952,1.7504375193766464e-07
1953,1.4652405688764247e-07
1954,1.4951980276123322e-07
1955,2.4778004004133436e-07
1956,1.578526607204367e-07
1957,1.9083681301879096e-07
1958,1.894343713004787e-07
1959,1.4416390570204385e-07
1960,1.4049291152673504e-07
1961,1.6258693058546214e-07
1962,1.1352101747519328e-07
1963,1.3643372476224158e-07
1964,1.1924577680844095e-07
1965,1.2695140938490113e-07
1966,1.1521275400383502e-07
1967,9.219727470366479e-08
1968,9.566715997166853e-08
1969,1.1127306631664169e-07
1970,1.1772736119297633e-07
1971,9.351883356600865e-08
1972,9.593374983296599e-08
1973,1.025455880210302e-07
1974,1.0857352972237777e-07
1975,6.111283967769054e-08
1976,7.541855229220573e-08
1977,8.932708350783969e-08
1978,7.6633630108347e-08
1979,9.246117693706424e-08
1980,1.0631231894819848e-07
1981,9.994368177501656e-08
1982,1.1608029559795341e-07
1983,6.252162920716842e-08
1984,1.3105759233411618e-07
1985,8.782714644439693e-08
1986,1.1629301566173922e-07
1987,7.882953623195021e-08
1988,8.275244267608173e-08
1989,6.750390468823753e-08
1990,9.535139522398595e-08
1991,9.847261495110615e-08
1992,6.060938728680298e-08
1993,5.096070943011455e-08
1994,6.066165436635629e-08
1995,4.609083248396928e-08
1996,4.2704735747634004e-08
1997,4.5551499017193464e-08
1998,4.625085425757902e-08
1999,5.072923414672914e-08
2000,6.229424398540573e-08
2001,4.775520734412453e-08
2002,5.082216913976367e-08
2003,4.583615087483395e-08
2004,3.832168493644872e-08
2005,5.134274694285068e-08
2006,4.6943946507838064e-08
2007,4.633596084602232e-08
2008,6.55645715497144e-08
2009,6.150968534512913e-08
2010,5.99921712307605e-08
2011,5.621238674535789e-08
2012,5.719144535731857e-08
2013,4.797295183323058e-08
2014,6.496335558381361e-08
2015,5.652267276445855e-08
2016,7.2082632307513e-08
2017,5.484032605806988e-08
2018,5.008045445009657e-08
2019,5.050955920182787e-08
