year,quels_DET feux_NOUN
1996,3.736664533349199e-09
1997,4.79489448146353e-09
1998,3.3376904573501065e-09
1999,7.312321637087393e-09
2000,5.301637906462986e-09
2001,6.133696661692056e-09
2002,6.133709873346049e-09
2003,4.583615376141381e-09
2004,4.404791253964646e-09
2005,1.0808998807121384e-08
2006,7.823991010624809e-09
2007,3.5950315224742013e-09
2008,8.514879246135365e-09
2009,9.059565986291318e-09
2010,4.2514138876015295e-09
2011,4.971163369837939e-09
2012,7.829781489832044e-09
2013,9.204112583205415e-09
2014,7.795602607885144e-09
2015,1.1747849804066846e-08
2016,8.492494263379058e-09
2017,5.534344982294215e-09
2018,4.388493513030056e-09
2019,6.632568383402315e-09
