year,deux_DET autos_NOUN,deux_DET photos_NOUN
1909,2.7504918342913243e-09,3.300590023513905e-09
1910,5.878565634276356e-09,4.2753204310130855e-09
1911,6.384448969498635e-09,4.788336727123976e-09
1912,7.2931897743266916e-09,3.125652625612929e-09
1913,1.5908969031031006e-08,2.6514948570088848e-09
1914,2.343860305842327e-08,0.0
1915,5.77257344147597e-08,4.712304768617059e-09
1916,6.372727856529536e-08,9.888715624128963e-09
1917,4.934890895924582e-08,1.2063066989753679e-08
1918,7.466144680279285e-08,5.743188147278033e-09
1919,4.788081131579247e-08,3.6831393490643904e-09
1920,3.331781961435354e-08,1.665890891899835e-08
1921,2.0446418558250912e-08,8.330022116531666e-09
1922,1.9920426197472807e-08,2.1396012517271856e-08
1923,3.8217415010421973e-08,1.3800732112656533e-08
1924,2.191576153887098e-08,1.0313299547703991e-08
1925,4.06932585406139e-08,5.499088961968823e-09
1926,6.464760193836128e-08,8.916910765321973e-09
1927,5.90908921793698e-08,1.8953681513167453e-08
1928,4.798937203176479e-08,1.3711249025050165e-08
1929,4.567566724844596e-08,1.893869061575515e-08
1930,4.096405348263943e-08,1.680576589002669e-08
1931,6.729160428875502e-08,1.9389106320488736e-08
1932,4.055028712812714e-08,4.383814578012846e-08
1933,5.850037787524798e-08,1.9500125514326783e-08
1934,6.82950087593781e-08,2.3963160344919743e-08
1935,4.308582113310422e-08,3.11175387679441e-08
1936,3.6374143252970725e-08,3.8799086610197264e-08
1937,3.777335555454897e-08,4.784624740850063e-08
1938,4.2785209153350934e-08,3.5006078036303734e-08
1939,3.976453033516236e-08,5.047036744088018e-08
1940,5.8323005980298603e-08,7.353770370421842e-08
1941,6.78845601953526e-08,4.7224043342453115e-08
1942,8.799214157306778e-08,6.068423630267716e-08
1943,4.064529246505799e-08,5.806470504410299e-08
1944,5.7837349132228155e-08,3.8558232162699824e-08
1945,1.2199622645425734e-07,2.178504088234945e-08
1946,7.378185262751913e-08,8.770295778504078e-08
1947,7.629357767768852e-08,3.2186352250107575e-08
1948,5.97953846437349e-08,5.544662950995871e-08
1949,5.3011844691752685e-08,4.024973498939488e-08
1950,5.7430951994064117e-08,5.104973599401319e-08
1951,5.117473023119601e-08,6.396841012445975e-08
1952,4.956057697569349e-08,9.912115572774383e-08
1953,4.955960530850234e-08,7.972632598551854e-08
1954,4.397641362174909e-08,9.381634580307718e-08
1955,2.1586897602787758e-08,9.010183710245201e-08
1956,2.7907653077363648e-08,1.002931275806418e-07
1957,3.092263267667761e-08,8.569986542639185e-08
1958,2.2335057359157418e-08,6.948684294627583e-08
1959,3.4878365084978213e-08,9.688434943200264e-08
1960,4.498541628095154e-08,6.021124931976374e-08
1961,4.863711344782473e-08,9.241051923680743e-08
1962,4.50278889729816e-08,8.625061020950398e-08
1963,2.7804029745226444e-08,7.694603354480023e-08
1964,4.076258708352043e-08,6.814044617442505e-08
1965,3.1190646510026454e-08,6.292849796807332e-08
1966,2.9911003673888104e-08,7.810095326021838e-08
1967,3.3526282194884516e-08,7.93783994090802e-08
1968,2.5151928428890358e-08,7.770149057506615e-08
1969,1.7712855182594467e-08,7.175977234652464e-08
1970,1.8854772632082017e-08,6.392227636098369e-08
1971,2.0039750081579655e-08,7.707596516581816e-08
1972,2.924183650776513e-08,9.182962923404148e-08
1973,2.3706775653664636e-08,1.0199427080692658e-07
1974,2.4752515148662724e-08,8.832147457837891e-08
1975,2.1132476657470534e-08,1.1137386479731504e-07
1976,2.7424929660568864e-08,1.0912836145848814e-07
1977,1.8218024422367307e-08,1.0989581689102579e-07
1978,1.0693064544931019e-08,1.699009146705066e-07
1979,2.2237499397448346e-08,1.2932860826708747e-07
1980,2.899426765345936e-08,1.2507331881295158e-07
1981,2.593475367795861e-08,1.2777609903480425e-07
1982,1.3035754364842944e-08,1.2477079458506068e-07
1983,1.3893695416378193e-08,1.4020001337655685e-07
1984,2.8995041922996734e-08,1.1829977353272625e-07
1985,1.8046674266081197e-08,1.0166293229474377e-07
1986,1.4986213270340443e-08,1.0909963776839504e-07
1987,2.138785992755743e-08,1.5215934467960324e-07
1988,1.6790350221285166e-08,1.1153590229184829e-07
1989,2.3050112929468014e-08,1.322637448453179e-07
1990,1.79805483835338e-08,1.4493412159310992e-07
1991,1.817054195996093e-08,1.3188297032229457e-07
1992,2.6447731782397454e-08,1.305856756061985e-07
1993,2.4926432917737884e-08,1.4568115602742182e-07
1994,2.479215543971236e-08,1.1288343326754102e-07
1995,1.3556126887692699e-08,1.4423719552070224e-07
1996,1.7081894565507127e-08,1.2971563911889916e-07
1997,1.870008781157395e-08,1.5439560741015157e-07
1998,1.9072516788121163e-08,1.7165264409868541e-07
1999,1.2339542720951613e-08,1.5218770244018742e-07
2000,2.209015759202515e-08,2.111819092931455e-07
2001,1.883921130207966e-08,1.730578684799866e-07
2002,1.6648642020555826e-08,1.463327947703874e-07
2003,2.375146035404896e-08,1.625100001234614e-07
2004,1.4095332012686868e-08,1.6826303195216497e-07
2005,9.90824944313573e-09,1.7024172827007078e-07
2006,1.6471559227682064e-08,1.807753680083124e-07
2007,9.187302835167444e-09,2.1170740893694528e-07
2008,1.1920830988998432e-08,2.2096111607083913e-07
2009,1.1443662240040453e-08,3.0754840452118515e-07
2010,1.2281862193930237e-08,3.8073772756774815e-07
2011,9.177532456217108e-09,4.3325603726884765e-07
2012,2.519146935497929e-08,5.099570721256441e-07
2013,2.147626343429465e-08,3.369263001928857e-07
2014,2.403644128179394e-08,4.0039081383724806e-07
2015,2.1944095873749347e-08,3.7681782849574574e-07
2016,1.2428040152556719e-08,3.262360586120394e-07
2017,1.1320251402935355e-08,3.916806896597791e-07
2018,2.297505452553139e-08,3.6708457429313057e-07
2019,2.0407902256991406e-08,3.2142446393379487e-07
