year,meilleures_ADJ eaux_NOUN
1897,2.7385553380554484e-08
1898,3.564763439989349e-08
1899,2.4874102777516782e-08
1900,2.6474371139784125e-08
1901,2.0678333711998675e-08
1902,1.5712908307818907e-08
1903,3.834156458992766e-08
1904,3.171028950532673e-08
1905,3.148063143498803e-08
1906,1.7490227932626112e-08
1907,1.491424583832668e-08
1908,1.8663278922304016e-08
1909,1.925344328412848e-08
1910,9.619471441624228e-09
1911,1.649316061502759e-08
1912,2.135862686714063e-08
1913,1.484837142129436e-08
1914,1.2723813391790628e-08
1915,9.424609426211816e-09
1916,1.2086208478478966e-08
1917,3.5092559080851515e-08
1918,1.033773866510046e-08
1919,1.3811772170413406e-08
1920,7.572231730534895e-09
1921,9.087297137000405e-09
1922,5.164555005876537e-09
1923,9.554353752605493e-09
1924,6.445812328337297e-09
1925,1.4297631523163545e-08
1926,1.0031524944054127e-08
1927,4.4596899506643695e-09
1928,1.4853853258500749e-08
1929,8.912325100141061e-09
1930,1.2604324695075775e-08
1931,1.0264820993199919e-08
1932,6.575722188983946e-09
1933,1.1470662641954732e-08
1934,9.585264137967897e-09
1935,9.574627313213568e-09
1936,6.0623572828433225e-09
1937,2.2664012888640173e-08
1938,5.186085783037697e-09
1939,2.2941076593951948e-08
1940,1.7750480196809804e-08
1941,8.854508237732261e-09
1942,6.068423541449874e-09
1943,2.9032352077962287e-09
1944,3.2131861615880553e-09
1945,1.089252066321933e-08
1946,4.1763312808029696e-09
1947,5.960435700558264e-09
1948,7.610321262063735e-09
1949,5.890204768377316e-09
1950,4.2541445921528975e-09
1951,8.529121409139861e-09
1952,1.370824520563474e-08
1953,8.619061908632375e-09
1954,7.818028890937967e-09
1955,9.385607846468247e-10
1956,7.849027205963921e-09
1957,7.951533653738352e-09
1958,6.617794756635931e-09
1959,6.975673039200103e-09
1960,2.076250060767393e-09
1961,6.94815938118154e-09
1962,1.331810839388936e-08
1963,1.939815863494232e-09
1964,6.6923653285755336e-09
1965,5.47204326295514e-09
1966,6.092982118843793e-09
1967,7.888536934785861e-09
1968,7.635406973349745e-09
1969,8.629339909305145e-09
1970,1.0577067222072856e-08
1971,5.138397263237948e-09
1972,4.6171320100540925e-09
1973,6.615844760915479e-09
1974,2.812785782069227e-09
1975,5.711480177694739e-09
1976,5.142174241967723e-09
1977,5.289103821581875e-09
1978,3.5643548113029055e-09
1979,6.437170796402825e-09
1980,7.390696055153967e-09
1981,5.69299452024552e-09
1982,4.966001831974154e-09
1983,3.78918940668882e-09
1984,3.479405208395292e-09
1985,9.624892882698077e-09
1986,5.994485352545098e-09
1987,3.6664902225425067e-09
1988,1.798966087207532e-09
1989,4.390497743145261e-09
1990,5.448650863826288e-09
1991,3.5168792322792797e-09
1992,4.958949695321735e-09
1993,2.2156829704300662e-09
1994,2.1099706426497278e-09
1995,2.7112254663563817e-09
1996,7.473328622609188e-09
1997,1.917957792585412e-09
1998,2.3840645013706308e-09
1999,4.113180906983871e-09
2000,3.092622158362701e-09
2001,3.066848330846028e-09
2002,3.066854992184176e-09
2003,5.8336921959778465e-09
2004,7.488145215006625e-09
2005,2.702249757291497e-09
2006,4.117890028965121e-09
2007,7.190063211481856e-09
2008,5.108927503272298e-09
2009,1.0013204487790972e-08
2010,7.558068837454357e-09
2011,8.030340836739924e-09
2012,9.19148224198807e-09
2013,5.578249862026041e-09
2014,4.980523993225461e-09
2015,5.984753581600444e-09
2016,9.942432654952427e-09
2017,1.3584300795344006e-08
2018,6.453666934191915e-09
2019,6.632568272380013e-09
