year,conditions_NOUN in_ADJ
1970,1.8854773076171227e-08
1971,2.569198720436816e-08
1972,2.3085660494359672e-08
1973,3.528450465140054e-08
1974,3.431598649683565e-08
1975,2.513051322594606e-08
1976,3.5423867394968056e-08
1977,2.703319701424789e-08
1978,3.1485134499575906e-08
1979,3.6867432662290867e-08
1980,3.2973873409503085e-08
1981,2.5302198114474095e-08
1982,2.669225995788338e-08
1983,3.915496105122429e-08
1984,2.8995042367085944e-08
1985,3.0679345730533214e-08
1986,3.596691211527059e-08
1987,2.3832186446526293e-08
1988,3.058242503684028e-08
1989,3.786804381178399e-08
1990,4.576866796668355e-08
1991,2.5204299980430278e-08
1992,3.03046938654461e-08
1993,4.874502490537225e-08
1994,2.162719869858165e-08
1995,1.735184329554329e-08
1996,2.6690461396583487e-08
1997,2.6851408208017347e-08
1998,1.2397135540354043e-08
1999,2.1479945377933518e-08
2000,2.1648355108538908e-08
2001,1.0514908055370142e-08
2002,1.2267420412825913e-08
2003,1.2917461100769856e-08
2004,1.1892936635504725e-08
2005,1.4411998261465442e-08
2006,1.194188103958993e-08
2007,1.0385646564969875e-08
2008,1.3198063086861112e-08
2009,1.5258216023994464e-08
2010,6.613310343794865e-09
2011,7.64794394481072e-09
2012,3.744678012118641e-09
2013,1.6734750474256543e-08
2014,5.197068442264197e-09
2015,6.871383684270427e-09
2016,7.2496899594654e-09
2017,8.301517473441322e-09
2018,1.161660012627408e-08
2019,5.612172948588068e-09
