year,poussières_NOUN fines_ADJ
1914,3.683209115479258e-08
1915,4.712304768617059e-09
1916,9.888715624128963e-09
1917,2.9609346086090227e-08
1918,2.1824114071478107e-08
1919,4.6960025201769895e-08
1920,4.0132828615924154e-08
1921,1.7493046300387505e-07
1922,2.8036154731125862e-08
1923,1.1677542488541803e-08
1924,2.1915761649893284e-08
1925,1.5397448649423495e-08
1926,1.3375366592072169e-08
1927,8.919379901328739e-09
1928,2.0566874425753667e-08
1929,1.0026365515614089e-08
1930,2.6259009189288918e-08
1931,2.167017854048936e-08
1932,6.575722188983946e-09
1933,3.0970788600370724e-08
1934,1.0783422155213884e-08
1935,2.393656917121234e-08
1936,2.3036957230715416e-08
1937,1.0072894518486919e-08
1938,4.019216603978748e-08
1939,3.5176316970364496e-08
1940,2.5357829613881222e-08
1941,4.132103725851266e-08
1942,6.068423541449874e-09
1943,2.0322646676618206e-08
1944,3.534504600111177e-08
1945,4.574858536443571e-08
1946,8.352662561605939e-09
1947,4.52993091926146e-08
1948,2.9354097819123126e-08
1949,2.2579119018928395e-08
1950,1.2762433998503298e-08
1951,2.7719644468682247e-08
1952,1.687168627029223e-08
1953,2.3702419582605216e-08
1954,3.2249369175119114e-08
1955,4.223523575319632e-08
1956,3.662879421995058e-08
1957,5.3893728590992396e-08
1958,4.880623549752272e-08
1959,5.735553543217975e-08
1960,3.0451666577224756e-08
1961,2.2234108942864594e-08
1962,2.6002021868976044e-08
1963,3.103705381590771e-08
1964,2.7377858202726202e-08
1965,1.6963333848707407e-08
1966,2.2710207048248776e-08
1967,1.9228309611207806e-08
1968,1.4372530721118437e-08
1969,2.2708788571801364e-08
1970,2.483311511980446e-08
1971,3.802414028086787e-08
1972,1.898154344814884e-08
1973,4.190034985640523e-08
1974,4.7817360848689816e-08
1975,3.198428899509054e-08
1976,3.313845553520878e-08
1977,1.4104276857551667e-08
1978,1.544553740462362e-08
1979,4.09638133413992e-08
1980,2.785723873799384e-08
1981,5.9460166568214845e-08
1982,2.669225906970496e-08
1983,1.9577479193344516e-08
1984,5.103127520555972e-08
1985,1.8648229627160617e-08
1986,2.2779044428489215e-08
1987,6.110816741511371e-09
1988,4.077656606815694e-08
1989,1.4269117443177493e-08
1990,3.814055737905164e-09
1991,2.8721180100887977e-08
1992,1.8182815253453555e-08
1993,4.043621260052532e-08
1994,8.967375286772494e-09
1995,2.7112254663563817e-09
1996,9.60856638698715e-09
1997,8.630809844589749e-09
1998,6.675381136744818e-09
1999,1.0511462811280126e-08
2000,7.95245647111642e-09
2001,8.762423675534592e-09
2002,6.5718323005725665e-09
2003,1.0000615002780933e-08
2004,2.202395626982323e-09
2005,1.2160123685767132e-08
2006,1.4412614657288714e-08
2007,1.5179022150313415e-08
2008,8.089135139499604e-09
2009,7.629108011997232e-09
2010,9.447585658239888e-09
2011,1.6825476123472072e-08
2012,4.425528388196653e-09
2013,4.462600122767668e-09
2014,6.063246307808079e-09
2015,5.319781060109108e-09
2016,4.764082156549776e-09
2017,5.282783682725167e-09
2018,3.872199894061623e-09
2019,3.3162841361900064e-09
