year,très_ADV été_VERB,très_ADV fêté_VERB
2004,8.809582507929292e-10,6.607186797680242e-09
2005,1.3511248786457486e-09,6.305249655724765e-09
2006,1.6471559671771274e-09,7.000412693969338e-09
2007,3.595031605740928e-09,4.393927360846206e-09
2008,1.7029758714315335e-09,1.7029758436759579e-09
2009,0.0,2.860915504498962e-09
2010,3.3066551718974324e-09,1.4171379625338432e-09
2011,3.82397197240536e-10,5.7359579308524644e-09
2012,1.7021263287730903e-09,4.425528637996834e-09
2013,1.3945624655065103e-09,5.578249862026041e-09
2014,1.0827225782605865e-09,5.197068553286499e-09
2015,1.10828768384863e-09,6.206411121145727e-09
2016,2.4856081637381067e-09,4.764082156549776e-09
2017,2.5156112748447867e-09,3.5218559180094644e-09
2018,1.8070267504555204e-09,1.8070266949443692e-09
2019,2.04079020349468e-09,1.53059265262101e-09
