year,un_DET matin_NOUN
1878,2.8456186100811465e-06
1879,3.504309006530093e-06
1880,2.931672156591958e-06
1881,3.095096076322079e-06
1882,3.3130506835732376e-06
1883,2.974512881337432e-06
1884,3.323294322399306e-06
1885,3.2660036595189013e-06
1886,3.1221858307617367e-06
1887,3.2083136147775804e-06
1888,3.511432396408054e-06
1889,3.0492420819427934e-06
1890,3.0569658520107623e-06
1891,3.067912189180788e-06
1892,2.837755459950131e-06
1893,2.952960699076357e-06
1894,3.1268237989934278e-06
1895,3.1970880627341103e-06
1896,2.821728458002326e-06
1897,2.9285062055350863e-06
1898,2.9315935989870923e-06
1899,2.948410383396549e-06
1900,2.751258193711692e-06
1901,2.893849000429327e-06
1902,2.405056989118748e-06
1903,2.5575442919034685e-06
1904,2.6308790666007553e-06
1905,2.5700579726617434e-06
1906,2.9332138637983007e-06
1907,2.8439924335543765e-06
1908,3.2488838996869163e-06
1909,3.268684395152377e-06
1910,3.4838518558899523e-06
1911,3.099650029980694e-06
1912,3.052720785490237e-06
1913,3.052931106140022e-06
1914,2.99076577903179e-06
1915,3.255024466852774e-06
1916,3.5258766502010985e-06
1917,3.5860207390214782e-06
1918,3.6561135630108765e-06
1919,3.6371001215229626e-06
1920,3.2901348276936915e-06
1921,3.775771915570658e-06
1922,3.867513783006871e-06
1923,3.90242246339767e-06
1924,3.746305992535781e-06
1925,4.146313017372449e-06
1926,3.6659648685599677e-06
1927,5.264663968773675e-06
1928,4.096235898032319e-06
1929,4.074046728419489e-06
1930,3.522908741615538e-06
1931,3.2220132197835483e-06
1932,3.2648458727635443e-06
1933,3.0764316534259706e-06
1934,2.8899570452267653e-06
1935,3.3954021319004823e-06
1936,3.0323910777951824e-06
1937,3.0054999342610245e-06
1938,3.1557332249576575e-06
1939,3.152103772663395e-06
1940,2.6017132199740445e-06
1941,3.6628146062867017e-06
1942,3.4802409345502383e-06
1943,4.212594376440393e-06
1944,3.849397103294905e-06
1945,4.618428647518158e-06
1946,4.1888602027029265e-06
1947,3.9458083165300195e-06
1948,3.845386800094275e-06
1949,3.2582651101620286e-06
1950,3.5064786061411723e-06
1951,3.6493978541329852e-06
1952,3.3943723565244e-06
1953,3.4950296594615793e-06
1954,3.502477056827047e-06
1955,3.450149506534217e-06
1956,3.366360715517658e-06
1957,3.1223023597704014e-06
1958,3.467724582151277e-06
1959,3.2343870088880067e-06
1960,3.446574964982574e-06
1961,3.5150737858202774e-06
1962,3.5299329965710058e-06
1963,3.619049948611064e-06
1964,3.110124566774175e-06
1965,3.122895122942282e-06
1966,3.979271355092351e-06
1967,3.4246111226821085e-06
1968,3.594929239625344e-06
1969,3.125637704215478e-06
1970,2.8208579578858917e-06
1971,3.2459257681694e-06
1972,3.0272997264546575e-06
1973,2.9004964972045855e-06
1974,2.60407711039079e-06
1975,2.628423260375712e-06
1976,2.584228241175879e-06
1977,2.8173292321298504e-06
1978,2.9518798783101374e-06
1979,2.804265704980935e-06
1980,3.1222847383105545e-06
1981,3.1305145284932223e-06
1982,2.9510466674764757e-06
1983,3.2006021228880854e-06
1984,3.0670955766254338e-06
1985,3.1070356953932787e-06
1986,3.256204649915162e-06
1987,3.084740342274017e-06
1988,3.26272493111901e-06
1989,3.2648837304805056e-06
1990,3.0714045351487584e-06
1991,3.0520648124365835e-06
1992,3.2084404892884777e-06
1993,3.2869656934053637e-06
1994,3.231947630411014e-06
1995,3.352159183123149e-06
1996,3.135595306957839e-06
1997,2.995370664393704e-06
1998,3.237082978557737e-06
1999,3.1717196407043957e-06
2000,3.047116251764237e-06
2001,3.0177786811691476e-06
2002,3.3783599064918235e-06
2003,3.581470309654833e-06
2004,3.4489514746383065e-06
2005,3.4872532523877453e-06
2006,3.8065772969275713e-06
2007,3.825912472166237e-06
2008,4.219974243824254e-06
2009,4.396273538986861e-06
2010,5.313794645189773e-06
2011,5.764637535321526e-06
2012,6.795569106543553e-06
2013,7.391739018203225e-06
2014,8.428562523477012e-06
2015,7.847785127523821e-06
2016,7.831736866137362e-06
2017,6.641465461143525e-06
2018,7.599321634188527e-06
2019,7.804746928741224e-06
