year,aucun_DET arc_NOUN
1912,1.771203156364365e-08
1913,2.4924051711394668e-08
1914,4.3528833870709605e-08
1915,1.2958838002674611e-08
1916,1.7579939282086343e-08
1917,1.0966424213165737e-08
1918,1.2635013924011673e-08
1919,8.287063479883727e-09
1920,1.590168707821249e-08
1921,1.5902770267306465e-08
1922,1.9920426197472807e-08
1923,1.6985516548828627e-08
1924,2.3204924204378585e-08
1925,1.2097996160420621e-08
1926,1.783382086451013e-08
1927,2.2298449753321847e-08
1928,2.0566874425753667e-08
1929,1.8938690837799754e-08
1930,2.835972989778668e-08
1931,3.5356606531422585e-08
1932,4.9317913419777426e-08
1933,2.8676655494663805e-08
1934,1.4377896206951846e-08
1935,3.4708023122220766e-08
1936,1.091224355320719e-08
1937,1.5109342110797286e-08
1938,2.333738657878115e-08
1939,9.176430282309411e-09
1940,5.0715658339584024e-09
1941,2.3612021671226557e-08
1942,3.337632992206352e-08
1943,4.0645293575281016e-08
1944,3.8558232162699824e-08
1945,3.921307367704685e-08
1946,9.744772988540262e-09
1947,5.960435700558264e-09
1948,1.6307831973705333e-08
1949,1.9634017078828947e-08
1950,1.9143649998554224e-08
1951,1.3859822622919182e-08
1952,2.4253048902522778e-08
1953,1.4005975934594517e-08
1954,5.863521668203475e-09
1955,1.595553333899602e-08
1956,1.308171282410342e-08
1957,1.236905244894615e-08
1958,1.6544486891589827e-08
1959,1.5501495198577686e-08
1960,2.5607083176115708e-08
1961,1.1811870759270704e-08
1962,1.9660065575521912e-08
1963,1.4225316924409981e-08
1964,2.433587353856126e-08
1965,2.243537855495248e-08
1966,1.60633170098734e-08
1967,1.429797347185513e-08
1968,1.4821672306153388e-08
1969,2.588801994996004e-08
1970,2.575286084383066e-08
1971,1.8498230724972586e-08
1972,3.334595444215438e-08
1973,1.3783009400469837e-08
1974,2.5315072038623043e-08
1975,2.22747735811879e-08
1976,1.6569227545559784e-08
1977,1.1165885660524566e-08
1978,1.7821774722648343e-08
1979,1.8141117053005473e-08
1980,1.5918422247018782e-08
1981,1.518131853561755e-08
1982,1.1173504455008754e-08
1983,1.5788290674834116e-08
1984,1.3917620833581168e-08
1985,1.0828004715079942e-08
1986,1.3187867797803676e-08
1987,6.110816741511371e-09
1988,1.0194141475405871e-08
1989,1.6464366314750123e-08
1990,2.1794604454505873e-08
1991,5.8614650910726596e-09
1992,3.8569610283367695e-09
1993,1.052449438709857e-08
1994,4.7474339459618875e-09
1995,4.3379608238858225e-09
1996,5.871901409548741e-09
1997,5.753873155711631e-09
1998,2.3840645013706308e-09
1999,6.398281821029528e-09
2000,6.185244316725402e-09
2001,3.5049695090716426e-09
2002,4.819343757400674e-09
2003,7.917153710401692e-09
2004,5.726228602398464e-09
2005,8.106749160852189e-09
2006,5.353256671281059e-09
2007,5.192823337996089e-09
2008,2.1287198115338413e-09
2009,7.1522885392028e-09
2010,7.55806894847666e-09
2011,1.1854313058945465e-08
2012,6.127654716969744e-09
2013,4.183687563052985e-09
2014,5.84670206693616e-09
2015,6.428068632935435e-09
2016,5.799752234025846e-09
2017,8.301517695485927e-09
2018,3.3559066636712487e-09
2019,6.632568272380013e-09
