year,son_DET auteur_NOUN
2000,8.574515113934922e-06
2001,8.762862137245975e-06
2002,8.536809957604419e-06
2003,8.318428289300073e-06
2004,8.025529485422567e-06
2005,8.5958563751376e-06
2006,8.44167478319946e-06
2007,8.125170715800323e-06
2008,7.2342416927995146e-06
2009,6.748899775033124e-06
2010,6.191475513617206e-06
2011,4.8579741189769265e-06
2012,4.316932933789985e-06
2013,4.952091710919149e-06
2014,5.3904428014561745e-06
2015,4.893311715825632e-06
2016,5.078304564420932e-06
2017,4.885065767012975e-06
2018,4.5397675663139125e-06
2019,4.876723245672565e-06
