year,en_ADP as_NOUN,en_ADP masse_NOUN
1999,4.935817319307034e-07,3.4866063742811093e-06
2000,3.8348513342612023e-07,3.5565153666539118e-06
2001,4.0920518795672933e-07,3.649549398687668e-06
2002,4.937636735036222e-07,3.5435318750387523e-06
2003,4.891967542164366e-07,3.6785595511901192e-06
2004,4.695507432317392e-07,4.026860096928431e-06
2005,4.6793958929924884e-07,3.8146758924995083e-06
2006,4.7891058541083e-07,3.836226369458018e-06
2007,7.661411516313166e-07,3.4488334677007515e-06
2008,8.872504198009779e-07,3.935151653422508e-06
2009,9.007115471248994e-07,3.7606735077133635e-06
2010,1.3127420475100848e-06,3.4800182220351417e-06
2011,1.4397254788356406e-06,3.444251660766895e-06
2012,1.8437432953710697e-06,3.5982950521429302e-06
2013,1.957129092566845e-06,3.524059593473794e-06
2014,2.121486572193021e-06,3.7386409985629143e-06
2015,2.1358920470060383e-06,3.5613716136140283e-06
2016,2.1204307736333305e-06,3.976765583502129e-06
2017,2.478631914076823e-06,3.1211188797897194e-06
2018,2.6754321372779444e-06,3.3858516417240025e-06
2019,2.4678255622356815e-06,3.2565910714765778e-06
