year,prochain_ADJ marché_NOUN
1982,5.586751949948621e-09
1983,1.0104505676622466e-08
1984,1.0438215625185876e-08
1985,1.6843562988810845e-08
1986,7.792831269171074e-09
1987,1.2832715334809564e-08
1988,1.4991384078566483e-08
1989,1.8659615408367358e-08
1990,1.3076762561681221e-08
1991,1.0550637696837839e-08
1992,6.61193322315512e-09
1993,9.416652346772025e-09
1994,7.38489736029635e-09
1995,9.760411756598586e-09
1996,5.871901409548741e-09
1997,8.151320507465698e-09
1998,1.0013071483072622e-08
1999,1.2796563475525602e-08
2000,1.590491294223284e-08
2001,9.20054432640427e-09
2002,1.0953053297679816e-08
2003,7.083768960303161e-09
2004,8.80958239690699e-09
2005,1.6663873836364473e-08
2006,7.823990955113658e-09
2007,1.3181781888249589e-08
2008,4.6831836186811415e-09
2009,1.2397300519495502e-08
2010,9.919965293647692e-09
2011,7.647943611743813e-09
2012,8.510632198976964e-09
2013,7.80955033974351e-09
2014,1.6024294294259e-08
2015,1.4851055496478693e-08
2016,1.2842308549920745e-08
2017,1.0817128526241504e-08
2018,6.9699601645822895e-09
2019,1.0714148679369373e-08
