year,mon_DET or_NOUN
1879,9.713827386903517e-08
1880,6.417846365458502e-08
1881,8.227558789819511e-08
1882,8.119569905318258e-08
1883,7.835980098125361e-08
1884,7.790002776175697e-08
1885,5.47879024370701e-08
1886,7.227879655902214e-08
1887,7.051238926081282e-08
1888,4.818867194167353e-08
1889,7.392861539612383e-08
1890,6.554386544621593e-08
1891,4.84440720871504e-08
1892,6.080456849133498e-08
1893,5.419406545748018e-08
1894,5.6713854723611234e-08
1895,6.680662156810513e-08
1896,5.66114787270422e-08
1897,6.059781965106481e-08
1898,4.470100434250668e-08
1899,6.356714976618605e-08
1900,6.281174180777782e-08
1901,3.409130805431815e-08
1902,2.700656170917526e-08
1903,3.6181477369723325e-08
1904,2.6335664315979557e-08
1905,3.6641388589941926e-08
1906,3.755254707193956e-08
1907,3.291419647943883e-08
1908,4.7149335324903063e-08
1909,5.500983568662576e-08
1910,7.214603336969105e-08
1911,2.7133907565257687e-08
1912,5.730363239475622e-08
1913,3.234823792164221e-08
1914,3.482306887292452e-08
1915,3.416420912838447e-08
1916,3.955486338469427e-08
1917,3.289927352767563e-08
1918,3.44591288836682e-08
1919,3.775217927159957e-08
1920,4.24044972469062e-08
1921,6.891199966219119e-08
1922,4.5743199228454046e-08
1923,4.0340602414090654e-08
1924,4.125319807979366e-08
1925,6.1589795707917e-08
1926,4.792839447542718e-08
1927,3.4562597228671166e-08
1928,6.17006229441941e-08
1929,6.68424400274148e-08
1930,5.7769819150621515e-08
1931,3.421607086551148e-08
1932,6.794912910113027e-08
1933,2.867665616079762e-08
1934,3.5944742293736454e-08
1935,6.462873614054843e-08
1936,5.577368789033699e-08
1937,3.7773354000236736e-08
1938,4.019216381934143e-08
1939,2.5999885799876665e-08
1940,2.02862628917444e-08
1941,3.246652724442356e-08
1942,4.551317678291866e-08
1943,2.9032351855917682e-08
1944,8.996921074810871e-08
1945,6.099811189486104e-08
1946,7.378185351569755e-08
1947,5.602809283189458e-08
1948,6.196976110039998e-08
1949,4.810333908977782e-08
1950,8.61464248824717e-08
1951,5.970385164033587e-08
1952,8.857635369619032e-08
1953,3.87857791439572e-08
1954,5.179444317882087e-08
1955,3.848099261460902e-08
1956,1.0552581453104892e-07
1957,4.329168429295649e-08
1958,6.617794856556003e-08
1959,4.417926346977907e-08
1960,5.6750832033714005e-08
1961,5.141637993144599e-08
1962,5.327243290942363e-08
1963,5.1728425987107585e-08
1964,5.962289084671113e-08
1965,4.4870755666615025e-08
1966,9.693380720321443e-08
1967,7.395503398566206e-08
1968,8.758261038632753e-08
1969,7.130559692702931e-08
1970,4.4607632171400624e-08
1971,6.011925224314041e-08
1972,3.950213234293898e-08
1973,4.5759593003680266e-08
1974,3.431598788461443e-08
1975,4.283610000044291e-08
1976,3.942333526296693e-08
1977,3.819908062085986e-08
1978,5.7029677313913396e-08
1979,3.9793420336664553e-08
1980,3.8090508192034633e-08
1981,3.479052185229037e-08
1982,5.46260205958049e-08
1983,4.8627932125455686e-08
1984,4.2912663311689414e-08
1985,3.2484012701949894e-08
1986,5.155257531974655e-08
1987,5.133086067310444e-08
1988,2.9383114108494368e-08
1989,3.4026357731420376e-08
1990,4.19546128949122e-08
1991,3.868566977871524e-08
1992,4.0222590869110064e-08
1993,4.6529340824719156e-08
1994,5.116678947203468e-08
1995,3.958388994362849e-08
1996,3.8968072990641645e-08
1997,4.3154051110327885e-08
1998,4.29131632451174e-08
1999,3.976074980371891e-08
2000,3.71114652342186e-08
2001,3.811654292196209e-08
2002,3.417352778534166e-08
2003,3.791899783056607e-08
2004,5.638132671847984e-08
2005,3.602999687490893e-08
2006,4.3649631242814735e-08
2007,3.7548105791263e-08
2008,5.15150195279368e-08
2009,4.243691442695763e-08
2010,6.613310210568102e-08
2011,7.30378623692296e-08
2012,8.102121512587601e-08
2013,1.1240173802828934e-07
2014,1.0459100341364547e-07
2015,1.2634479436279822e-07
2016,1.3173722290815704e-07
2017,1.343336428760722e-07
2018,1.1306824038159746e-07
2019,9.642733844739126e-08
