year,aucun_DET auteur_NOUN
1975,2.387398772007998e-07
1976,2.4625301398017996e-07
1977,2.0568736652792907e-07
1978,2.0554446245046876e-07
1979,2.2061939553008614e-07
1980,2.2115236797404236e-07
1981,2.6251031215451803e-07
1982,2.216078259786869e-07
1983,2.222991319911216e-07
1984,2.2732112991974418e-07
1985,2.3280209726639356e-07
1986,2.1580148157340773e-07
1987,2.0532345113011274e-07
1988,2.1227800295342547e-07
1989,2.0415814716567837e-07
1990,2.0977306569580634e-07
1991,2.0397899397339714e-07
1992,2.0717389503932537e-07
1993,2.282153408472709e-07
1994,2.3051429520748457e-07
1995,2.1472904671027138e-07
1996,2.3434224738494436e-07
1997,2.469370657953718e-07
1998,2.2171801328241258e-07
1999,2.2485389356008412e-07
2000,2.284122262441457e-07
2001,2.5411027770871897e-07
2002,2.0109806619927895e-07
2003,1.9376191096043272e-07
2004,2.0526327237924136e-07
2005,2.386987323355072e-07
2006,2.4789696828619867e-07
2007,2.009223145638117e-07
2008,1.7881246189288547e-07
2009,1.7117810480193896e-07
2010,1.5730230873423068e-07
2011,1.1586635112470489e-07
2012,1.0144672796252863e-07
2013,1.009663246898107e-07
2014,1.4508482544528523e-07
2015,1.114937440149788e-07
2016,1.1433797020288239e-07
2017,9.911508946913727e-08
2018,9.861203109640115e-08
2019,1.4515120660973935e-07
