year,son_DET argot_NOUN
1927,2.7873062080630007e-08
1928,2.2852082892654835e-08
1929,1.893869061575515e-08
1930,2.8359728787563654e-08
1931,1.0264820993199919e-08
1932,8.767629289252454e-09
1933,3.0970788600370724e-08
1934,1.4377896206951846e-08
1935,2.6330225111337313e-08
1936,1.333718602225531e-08
1937,1.888667711114067e-08
1938,1.6854778905894818e-08
1939,2.7529290846928234e-08
1940,1.7750480196809804e-08
1941,2.9515025090631752e-08
1942,2.4273694165799498e-08
1943,8.709705845433291e-09
1944,4.4984606262232774e-08
1945,2.6142048525912287e-08
1946,2.3665877257883494e-08
1947,4.887556936949977e-08
1948,1.9569398101992874e-08
1949,3.141442705967279e-08
1950,2.1270722516675278e-08
1951,3.1984205950408295e-08
1952,2.9525450528922192e-08
1953,1.723812381726475e-08
1954,3.22493685089853e-08
1955,3.9419553843345057e-08
1956,2.3547082506070183e-08
1957,2.297109741311587e-08
1958,2.481673117005201e-08
1959,1.4726421193600459e-08
1960,2.5607082676515347e-08
1961,1.528595028332802e-08
1962,2.2196848192823637e-08
1963,2.9097239950814924e-08
1964,2.433587364958356e-08
1965,3.1190646510026454e-08
1966,3.8219616582679805e-08
1967,2.4158644973404364e-08
1968,1.6169097116769393e-08
1969,1.9529558414888015e-08
1970,2.7132477292690638e-08
1971,2.3122789016838396e-08
1972,1.6416469239555198e-08
1973,1.9847533672123774e-08
1974,2.1939729366593497e-08
1975,7.996072248772634e-09
1976,2.3996813258708727e-08
1977,1.5279633058806752e-08
1978,1.900989277103804e-08
1979,2.399309073641831e-08
1980,1.1370301145063877e-08
1981,1.7711538680131866e-08
1982,1.3035754364842944e-08
1983,1.5788289786655696e-08
1984,2.145633182237816e-08
1985,1.3835783185811579e-08
1986,1.6185110474076225e-08
1987,1.2221633927111952e-08
1988,2.1587593934668803e-08
1989,1.5366742545097622e-08
1990,1.7435683341560093e-08
1991,1.0550637696837839e-08
1992,1.4325855279828659e-08
1993,1.827938506115956e-08
1994,1.846224323420742e-08
1995,2.223204798035283e-08
1996,1.975094177097958e-08
1997,2.5892430532969968e-08
1998,2.4317459712541734e-08
1999,2.285100608734325e-08
2000,1.2370488189361595e-08
2001,2.5411027726462976e-08
2002,1.4019908567419748e-08
2003,2.6668306507549033e-08
2004,1.8940602364292403e-08
2005,1.3511249230546696e-08
2006,1.6471559782793577e-08
2007,2.4366324874458556e-08
2008,2.3415917621560922e-08
2009,1.2397300963584712e-08
2010,1.7478034519680108e-08
2011,1.5295888028399318e-08
2012,1.838296403988693e-08
2013,2.4544299481732423e-08
2014,2.8583877043075745e-08
2015,3.147537031011893e-08
2016,2.2163338830871737e-08
2017,1.6099912125699944e-08
2018,2.6330960967158035e-08
2019,2.8571062626880916e-08
