year,aucun_DET hôtel_NOUN
1937,5.0364472592434595e-09
1938,7.779128674556546e-09
1939,7.647025235257843e-09
1940,1.5214697057785997e-08
1941,8.854508237732261e-09
1942,2.4273694831933312e-08
1943,1.4516176038981143e-08
1944,1.2852744646352221e-08
1945,8.714016175304096e-09
1946,1.5313214696277555e-08
1947,1.549713202209091e-08
1948,6.523132922708896e-09
1949,1.472551280912171e-08
1950,1.7016577702477775e-08
1951,1.7058242818279723e-08
1952,1.0544803918932644e-08
1953,8.619061908632375e-09
1954,3.0294862618518437e-08
1955,1.5016972998438405e-08
1956,1.7442283395396885e-08
1957,9.718541360559385e-09
1958,1.902615986981715e-08
1959,9.300897163555533e-09
1960,1.3149582978044805e-08
1961,1.459113452284555e-08
1962,2.219684791526788e-08
1963,1.0345685086399214e-08
1964,2.007709509754818e-08
1965,1.2585699593614663e-08
1966,1.6617224041226564e-08
1967,1.4297972805721315e-08
1968,1.1228539653629355e-08
1969,1.1354394202633955e-08
1970,1.1956684753400282e-08
1971,9.249115584530898e-09
1972,5.130146973897354e-09
1973,1.047508757512361e-08
1974,2.025205825262333e-08
1975,1.0851811893530794e-08
1976,7.998937512354587e-09
1977,9.402850942308305e-09
1978,8.316827893040113e-09
1979,6.43717057435822e-09
1980,4.548120546843393e-09
1981,1.1385989151513343e-08
1982,8.069752865935698e-09
1983,8.209910418166544e-09
1984,1.0438215014563212e-08
1985,1.5640450934384376e-08
1986,1.0190625454598035e-08
1987,7.332980445085013e-09
1988,7.795520007292112e-09
1989,8.232183157375061e-09
1990,1.253189690908485e-08
1991,1.2895223555631219e-08
1992,1.4876849530054415e-08
1993,6.647049133334804e-09
1994,5.802419433820205e-09
1995,7.049185846152994e-09
1996,1.0142374717858615e-08
1997,8.630810288678958e-09
1998,1.0013071705117227e-08
1999,1.0968482788697997e-08
2000,8.39425973175878e-09
2001,1.6648604939106804e-08
2002,1.0076809386916352e-08
2003,1.4167537809584019e-08
2004,1.1452457315819231e-08
2005,1.2160123685767132e-08
2006,1.1118302722934459e-08
2007,1.7575709998496336e-08
2008,2.4693149747179177e-08
2009,2.7178697514784744e-08
2010,3.542844773107845e-08
2011,4.512287077318433e-08
2012,4.765953942609258e-08
2013,3.207493781687276e-08
2014,3.1182410431540575e-08
2015,3.1697028557431395e-08
2016,3.231290524041697e-08
2017,2.792328546163958e-08
2018,3.743126786304174e-08
2019,3.3417939526714235e-08
