year,mon_DET matin_NOUN
1927,4.4596899506643695e-09
1928,4.570416489713125e-09
1929,1.893869061575515e-08
1930,1.155396367469308e-08
1931,1.3686427990933225e-08
1932,9.863583061431314e-09
1933,4.588264879146209e-09
1934,1.1981580172459871e-09
1935,3.590485242455088e-09
1936,8.487300195980652e-09
1937,2.5182236296217297e-09
1938,1.5558256905023882e-08
1939,7.647025235257843e-09
1940,7.607348528892999e-09
1941,2.3612020783048138e-08
1942,9.102635312174812e-09
1943,5.806470415592457e-09
1944,6.4263723231761105e-09
1945,2.6142048525912287e-08
1946,6.960552134671616e-09
1947,1.1920870957027319e-09
1948,3.2615663503321457e-09
1949,2.9451024952109606e-09
1950,8.5082894063504e-09
1951,7.462981121975076e-09
1952,3.1634410646574906e-09
1953,5.386913581872932e-09
1954,7.818028890937967e-09
1955,8.447047061821422e-09
1956,1.2209597999301991e-08
1957,7.068030105639167e-09
1958,1.1581140768601728e-08
1959,1.5501495642666896e-09
1960,8.305000021024966e-09
1961,3.474079635079619e-09
1962,3.805173787174709e-09
1963,9.69907976156037e-09
1964,1.0951142992432494e-08
1965,8.755269398363907e-09
1966,3.877352328096606e-09
1967,4.930335639752315e-09
1968,8.533690143419648e-09
1969,5.904285005353671e-09
1970,5.978342487722443e-09
1971,1.3873672988218289e-08
1972,5.130146862875051e-09
1973,4.9618833486420044e-09
1974,5.625571564138454e-09
1975,5.140332159925265e-09
1976,9.141642998145016e-09
1977,3.526069214387917e-09
1978,7.128709511583509e-09
1979,3.511183899185255e-09
1980,2.2740603289328476e-09
1981,1.1385989151513343e-08
1982,5.586752060970923e-09
1983,8.209910973278056e-09
1984,5.219107590548333e-09
1985,6.015557940663996e-09
1986,5.994485352545098e-09
1987,5.499735000746853e-09
1988,4.797242936227519e-09
1989,5.488122178931576e-09
1990,3.8140557934163155e-09
1991,5.8614650910726596e-09
1992,4.958949806344037e-09
1993,2.2156830259412175e-09
1994,4.747434001473039e-09
1995,4.880205572987961e-09
1996,4.804283193493575e-09
1997,6.7128524960935465e-09
1998,4.291316413329582e-09
1999,5.027221222642098e-09
2000,5.743440834038438e-09
2001,8.324302136486494e-09
2002,4.381221385685308e-09
2003,5.8336921959778465e-09
2004,2.2023955992267474e-09
2005,5.854874363109275e-09
2006,9.059357930496503e-09
2007,2.7961355453243186e-09
2008,1.3623806527363058e-08
2009,7.15228898329201e-09
2010,4.251413776579227e-09
2011,4.97116342534909e-09
2012,6.127654716969744e-09
2013,8.367374959572516e-09
2014,7.57905802006853e-09
2015,5.7630960281773724e-09
2016,1.0356700164138033e-08
2017,6.792150675227759e-09
2018,1.2907333646339225e-08
2019,7.90806181649728e-09
