year,son_DET or_NOUN
1954,3.3617524453077863e-07
1955,3.2286490858624006e-07
1956,3.505898824585074e-07
1957,2.9155624492460674e-07
1958,3.069002305622348e-07
1959,2.666257157279972e-07
1960,3.4604165533025366e-07
1961,3.119723412936537e-07
1962,3.7227282811969076e-07
1963,3.4464063247696686e-07
1964,3.473945788812216e-07
1965,3.5130519604464894e-07
1966,4.1266106931558966e-07
1967,3.860452744142151e-07
1968,4.275827796274001e-07
1969,3.9422457165372293e-07
1970,3.453642425377268e-07
1971,3.653400506564708e-07
1972,3.4474587895516606e-07
1973,3.5946089393945613e-07
1974,2.700274317479767e-07
1975,2.7357990672882693e-07
1976,3.4452568264953243e-07
1977,3.2145996753385475e-07
1978,3.3326716497583675e-07
1979,3.721855139637853e-07
1980,2.9505933341056334e-07
1981,3.479052332888699e-07
1982,3.1223736085550513e-07
1983,3.2334418254009734e-07
1984,2.992288292702483e-07
1985,2.863405677011599e-07
1986,2.967270318343651e-07
1987,3.4220575306775913e-07
1988,2.770407956376175e-07
1989,2.936145406806645e-07
1990,2.8278498986900047e-07
1991,2.707997031059506e-07
1992,2.8486410208472535e-07
1993,3.2902893165598357e-07
1994,3.054182382555837e-07
1995,2.835941703693834e-07
1996,2.6690460774858593e-07
1997,2.5556786820146726e-07
1998,2.8561095177792595e-07
1999,2.82438437526622e-07
2000,2.7391793988584823e-07
2001,2.435953778689992e-07
2002,2.523583599867152e-07
2003,2.7001660463099597e-07
2004,2.669303444946536e-07
2005,2.751790941779575e-07
2006,2.8536977936255425e-07
2007,2.684290274501677e-07
2008,3.167535098658192e-07
2009,3.0230341163672847e-07
2010,2.909856564592417e-07
2011,2.829739247367513e-07
2012,3.686805802871618e-07
2013,3.784842546039613e-07
2014,4.6795270147725887e-07
2015,4.659241614746179e-07
2016,5.132780407368642e-07
2017,3.03382727495638e-07
2018,3.7689413545649586e-07
2019,3.974438851361839e-07
