year,aucun_DET manuel_NOUN
1914,3.14746946838973e-08
1915,2.3561523621040692e-08
1916,2.4172415624690302e-08
1917,2.302949175803093e-08
1918,2.6418664589300533e-08
1919,2.0257266308831845e-08
1920,3.256059644130005e-08
1921,2.5747342258242156e-08
1922,4.5005405346909555e-08
1923,3.290943917377831e-08
1924,1.1602462102189293e-08
1925,2.969508106076546e-08
1926,2.6750732295965918e-08
1927,2.1183527376678057e-08
1928,1.4853853924634564e-08
1929,3.453526020713582e-08
1930,2.4158287814657342e-08
1931,1.9389107208667156e-08
1932,2.8494794523936662e-08
1933,4.014731880275235e-08
1934,2.516131836216573e-08
1935,2.99207103537924e-08
1936,2.3036957230715416e-08
1937,3.6514242740537384e-08
1938,4.019216504058676e-08
1939,3.6705722017416065e-08
1940,4.564409250562562e-08
1941,3.5418031174572207e-08
1942,3.6410540360520827e-08
1943,4.0645293575281016e-08
1944,5.1410978585408884e-08
1945,2.832055256973831e-08
1946,4.1763312808029696e-08
1947,4.768348360606467e-08
1948,1.6307831529616124e-08
1949,2.846932367628341e-08
1950,2.9779011256891863e-08
1951,3.838104589704017e-08
1952,4.42881762374725e-08
1953,4.740484160770109e-08
1954,4.495366656698252e-08
1955,3.472674947602172e-08
1956,3.8373022537285806e-08
1957,4.4175190172524026e-08
1958,2.3989505715249493e-08
1959,4.107896289795576e-08
1960,3.9448748934134414e-08
1961,2.640300600376122e-08
1962,4.439369610809152e-08
1963,4.008953158329831e-08
1964,3.28534297544536e-08
1965,4.4870754223325093e-08
1966,4.375868911665748e-08
1967,3.401931486513021e-08
1968,3.323647757014214e-08
1969,4.269252151800629e-08
1970,3.7709546152342455e-08
1971,3.442726415059383e-08
1972,3.7963086174652716e-08
1973,3.252790214958168e-08
1974,5.119270163334022e-08
1975,4.112265727940212e-08
1976,3.599521924968485e-08
1977,3.173462115313441e-08
1978,3.267325321409942e-08
1979,3.745263033039237e-08
1980,4.2070115613412895e-08
1981,2.4037088985906507e-08
1982,3.910726376066265e-08
1983,3.410270710269003e-08
1984,3.943325888045024e-08
1985,3.609334786602858e-08
1986,4.495864125431126e-08
1987,3.0554084151646066e-08
1988,5.4568640273089386e-08
1989,4.006329223926741e-08
1990,6.048002632041971e-08
1991,5.5683919697457895e-08
1992,4.352856031175634e-08
1993,6.591656909193944e-08
1994,6.224413512390115e-08
1995,4.8802058116859115e-08
1996,4.964425848186238e-08
1997,4.075660253732849e-08
1998,4.052909874374677e-08
1999,4.570201017628506e-08
2000,4.727293578810077e-08
2001,5.476514708391278e-08
2002,4.6002823772539614e-08
2003,4.625284422132836e-08
2004,4.14050379815567e-08
2005,4.864049696351458e-08
2006,5.641509215337237e-08
2007,3.8746452712956625e-08
2008,4.72575801546693e-08
2009,5.197330010808798e-08
2010,4.771030992500869e-08
2011,5.5065197734904814e-08
2012,4.4255285658323373e-08
2013,4.127904995598897e-08
2014,4.439162637481786e-08
2015,4.1228301134177414e-08
2016,4.142680004592947e-08
2017,3.823729155527644e-08
2018,3.2268333338691946e-08
2019,4.336679254590692e-08
