year,aucun_DET axe_NOUN
1915,1.1780762143587253e-08
1916,1.3184954461564757e-08
1917,1.5352993543160665e-08
1918,9.189101035644853e-09
1919,4.6960025201769895e-08
1920,9.843901693784574e-09
1921,2.120369302360814e-08
1922,1.3280283539529592e-08
1923,9.554353752605493e-09
1924,3.867487219366694e-09
1925,4.399271169575059e-09
1926,1.894843482119768e-08
1927,5.574612438330462e-09
1928,2.2852082448565625e-09
1929,1.0026365515614089e-08
1930,6.30216201447098e-09
1931,5.7026783295555106e-09
1932,3.287861094491973e-09
1933,1.3764794637438627e-08
1934,1.0783422155213884e-08
1935,9.574627313213568e-09
1936,3.6374143697059935e-09
1937,8.813782814698357e-09
1938,5.186085783037697e-09
1939,1.988226472349197e-08
1940,1.5214697057785997e-08
1941,0.0
1942,3.034211770724937e-09
1943,1.4516175816936538e-08
1944,2.5705489292704442e-08
1945,6.535512131478072e-09
1946,5.568441707737293e-09
1947,9.536696765621855e-09
1948,1.0871888278529696e-08
1949,1.0798709482173763e-08
1950,9.571825110299415e-09
1951,2.1322803522849654e-09
1952,1.5817205323287453e-08
1953,1.2928592640903958e-08
1954,5.863521668203475e-09
1955,1.595553333899602e-08
1956,5.232684952005684e-09
1957,1.236905289303536e-08
1958,6.617794756635931e-09
1959,8.525822381422188e-09
1960,1.176541686298549e-08
1961,9.03260666262895e-09
1962,1.8391673961559718e-08
1963,8.405868889838075e-09
1964,1.3384730435106462e-08
1965,1.2038495200705768e-08
1966,6.092982118843793e-09
1967,7.888536934785861e-09
1968,1.2126822546143501e-08
1969,2.725054598640142e-09
1970,1.79350284068569e-08
1971,1.1818314327172175e-08
1972,1.3338381732452831e-08
1973,1.3783009511492139e-08
1974,9.563471847773286e-09
1975,6.282628195464213e-09
1976,1.6569227545559784e-08
1977,1.1753563455840776e-08
1978,9.50494638551902e-09
1979,1.345953881681794e-08
1980,1.4212876431329846e-08
1981,1.0120879245789638e-08
1982,1.0552754114989682e-08
1983,1.2630632539867293e-08
1984,1.275781880138993e-08
1985,1.564045115642898e-08
1986,7.79283104712647e-09
1987,1.2832715001742656e-08
1988,1.3192418601981615e-08
1989,1.0976244357863152e-08
1990,8.717841171179685e-09
1991,2.285971467674841e-08
1992,1.3774860863069449e-08
1993,9.970573366935298e-09
1994,1.9517228500021133e-08
1995,1.7351843073498685e-08
1996,1.4412848692302305e-08
1997,1.5343662784772505e-08
1998,1.716526520922912e-08
1999,6.855301770691824e-09
2000,1.1928684928719235e-08
2001,1.4019877869753117e-08
2002,1.358178702837165e-08
2003,1.4584230045855406e-08
2004,9.250061605570181e-09
2005,1.4411998483510047e-08
2006,8.64756888319107e-09
2007,1.1583990128238852e-08
2008,1.1920830711442676e-08
2009,9.059565764246713e-09
2010,6.140930874920514e-09
2011,1.1471915750682626e-08
2012,9.191482353010372e-09
2013,8.646287463776048e-09
2014,6.06324668250835e-09
2015,1.0196246735816317e-08
2016,8.078226310104242e-09
2017,8.553078800765945e-09
2018,6.195520207974425e-09
2019,9.183555582659153e-09
