year,devait_VERB hériter_VERB,devait_VERB mériter_VERB
1928,2.9707706517001498e-08,1.1426041446327417e-08
1929,4.3447585085232276e-08,3.230717737778832e-08
1930,2.7309368988426286e-08,1.1553964007759987e-08
1931,3.079446386777818e-08,1.3686427990933225e-08
1932,2.7398842306070037e-08,2.082311922890767e-08
1933,3.555905436769535e-08,1.261772819560747e-08
1934,3.714289675826876e-08,1.1981580172459871e-08
1935,2.992070946561398e-08,7.180970484910176e-09
1936,4.4861444337129797e-08,3.6374143697059935e-09
1937,5.162358363008934e-08,1.0072894518486919e-08
1938,4.019216603978748e-08,1.0372171566075394e-08
1939,2.5999884911698246e-08,1.2235240376412548e-08
1940,3.296517903095264e-08,1.7750480196809804e-08
1941,4.7224041566096275e-08,8.854508237732261e-09
1942,3.3376331032286544e-08,6.068423541449874e-09
1943,2.6129116648121453e-08,1.1612940831184915e-08
1944,5.1410978585408884e-08,3.2131861615880553e-09
1945,3.703456741277478e-08,2.178504132643866e-08
1946,1.9489545977080525e-08,1.5313215584455975e-08
1947,3.695469885656166e-08,1.907339353124371e-08
1948,3.044128504825494e-08,7.610321262063735e-09
1949,3.141442661558358e-08,5.890204768377316e-09
1950,2.8715476219076663e-08,1.914365022059883e-08
1951,2.0256663901818683e-08,1.0661401539380222e-08
1952,2.319856839960721e-08,7.381362632230548e-09
1953,2.3702419582605216e-08,1.1851209791302608e-08
1954,2.9317607896928166e-08,9.772536557761669e-09
1955,2.1586897602787758e-08,1.5016972554349195e-08
1956,4.447782231409292e-08,9.593255967388359e-09
1957,3.0922631566454584e-08,4.417518795207798e-09
1958,2.3989505493204888e-08,1.3235589513271862e-08
1959,3.1778064624177205e-08,7.750747599288843e-09
1960,4.221708493901133e-08,1.6610000486139143e-08
1961,2.779263752472616e-08,4.86371165564492e-09
1962,2.917300001570311e-08,1.0781326054143392e-08
1963,2.5864213881732212e-08,1.4871922360271128e-08
1964,2.6769461314302134e-08,1.2776333768727e-08
1965,3.009623839034248e-08,7.660860390501512e-09
1966,3.932743197765376e-08,3.3234448526542337e-09
1967,2.8102911997507363e-08,4.930335695263466e-09
1968,3.638046663922978e-08,9.88111459321317e-09
1969,3.6788236457141466e-08,8.175163657142548e-09
1970,2.6212733317265702e-08,1.1496812390987543e-08
1971,2.003974941544584e-08,6.166076982339064e-09
1972,2.4624704053621826e-08,3.5911027485013847e-09
1973,2.536073751002732e-08,7.718485406371656e-09
1974,2.025205780853412e-08,9.563471792262135e-09
1975,2.227477224892027e-08,6.8537762132336866e-09
1976,3.199575004941835e-08,5.142174241967723e-09
1977,2.291944944943225e-08,1.23412418062685e-08
1978,2.8514838490423244e-08,1.2475242172627077e-08
1979,2.5163485517509798e-08,6.437170796402825e-09
1980,2.8994268319593175e-08,5.116635559687666e-09
1981,1.9609203150139365e-08,5.060439622894819e-09
1982,2.110550845202397e-08,7.449002747961231e-09
1983,1.515675762675528e-08,6.315316269933646e-09
1984,2.0296528902008504e-08,6.378909400694965e-09
1985,1.3835783185811579e-08,3.0077789148208467e-09
1986,1.6784559520033326e-08,3.5966913891627428e-09
1987,2.261002229886344e-08,7.332980445085013e-09
1988,2.0987938498251424e-08,5.396898483667201e-09
1989,1.7013178421620978e-08,7.134558721588746e-09
1990,1.961514328741032e-08,4.358920779878872e-09
1991,2.1101275393675678e-08,3.5168792322792797e-09
1992,2.4243753671271406e-08,5.509944056569793e-09
1993,2.6034275180109034e-08,9.416652346772025e-09
1994,2.162719958676007e-08,5.802419433820205e-09
1995,1.5182862966867106e-08,2.1689803286761844e-09
1996,1.92171327739743e-08,5.3380921904988554e-09
1997,2.2536003285722472e-08,3.835915585170824e-09
1998,2.288702027897216e-08,6.675381136744818e-09
1999,2.696418732739403e-08,1.416762351880152e-08
2000,1.899753598877396e-08,5.743440834038438e-09
2001,2.1467938537966802e-08,6.133696661692056e-09
2002,2.4534839937473407e-08,4.81934359086722e-09
2003,2.25013838672794e-08,3.333538334260311e-09
2004,1.6738207264666016e-08,7.488145215006625e-09
2005,2.0266872624574717e-08,6.305249655724765e-09
2006,1.7706927479821388e-08,7.000412693969338e-09
2007,1.997239706952314e-08,5.991719120856942e-09
2008,1.4475294740634581e-08,4.6831836186811415e-09
2009,2.098004614481397e-08,6.198650481792356e-09
2010,2.0312310056169736e-08,1.2281861749841028e-08
2011,1.9502257586623273e-08,9.942326961720482e-09
2012,2.8255296768975313e-08,1.0893608681783462e-08
2013,3.2911675162949905e-08,8.08846234434668e-09
2014,3.811183546531538e-08,1.1043770342666903e-08
2015,4.6104769779731214e-08,8.201329393386914e-09
2016,4.1219667679115446e-08,9.942432654952427e-09
2017,2.5910797063488644e-08,8.301517695485927e-09
2018,3.020316086121966e-08,8.518839855753413e-09
2019,3.673422455108266e-08,7.652963596171958e-09
