year,tout_DET auteur_NOUN
1909,1.3587429492645242e-07
1910,1.8757968855975804e-07
1911,1.8621309372246486e-07
1912,1.4013343019314561e-07
1913,1.4848371027165186e-07
1914,1.4732836461917032e-07
1915,8.717763755328178e-08
1916,1.3404703480546232e-07
1917,9.650453769438627e-08
1918,7.466144591461443e-08
1919,1.224643817465676e-07
1920,1.5523075092005456e-07
1921,1.4842585116525697e-07
1922,1.5788782192771578e-07
1923,1.411921140004324e-07
1924,1.985310190688594e-07
1925,1.6277302838929586e-07
1926,1.5938978492613387e-07
1927,1.6946822256613814e-07
1928,1.6567759786312308e-07
1929,1.359129591094188e-07
1930,1.2394252135727868e-07
1931,1.7108035166302216e-07
1932,1.654890039448631e-07
1933,1.2732434839790585e-07
1934,1.929034390002471e-07
1935,1.9268937023753097e-07
1936,1.7702083265902502e-07
1937,1.3346584970541642e-07
1938,1.8929213041474213e-07
1939,1.1776419128750604e-07
1940,2.5357829258609854e-07
1941,7.378756494702543e-08
1942,1.1833426327712004e-07
1943,1.5096822991722547e-07
1944,1.8636480092482088e-07
1945,1.4378126556024995e-07
1946,1.3364260098569503e-07
1947,1.5616341642044063e-07
1948,1.2285233208508828e-07
1949,1.3056621028795234e-07
1950,1.53149208870218e-07
1951,1.3539980114884997e-07
1952,1.423548532386576e-07
1953,1.6268479186010154e-07
1954,1.5929233754263805e-07
1955,2.1774609804126044e-07
1956,2.0145836998608502e-07
1957,1.6786571066518263e-07
1958,1.588270763797084e-07
1959,1.1781136999289288e-07
1960,1.8340208640665878e-07
1961,1.7648324046604102e-07
1962,2.409943484771304e-07
1963,2.903257865227715e-07
1964,1.721762996620413e-07
1965,2.3037302909756363e-07
1966,2.4150365973696353e-07
1967,2.1151139328878799e-07
1968,2.3579933827733157e-07
1969,1.6849921213868413e-07
1970,2.0970185943269826e-07
1971,2.0245285359266063e-07
1972,1.8930241019177174e-07
1973,2.0178326098907462e-07
1974,1.5864112268282327e-07
1975,1.861942542369377e-07
1976,2.1197184979504513e-07
1977,2.1626557611398312e-07
1978,1.9247515703479934e-07
1979,2.182786120741298e-07
1980,1.8192482104106844e-07
1981,1.7395260620833852e-07
1982,2.2533233223764881e-07
1983,1.9514326987657427e-07
1984,1.7570995175519855e-07
1985,1.4858428443176308e-07
1986,1.768373208421714e-07
1987,1.7904694049608594e-07
1988,2.1227800650613915e-07
1989,2.2940351063205355e-07
1990,2.1413198680875212e-07
1991,2.1746035427927524e-07
1992,1.7356324022443914e-07
1993,2.4150944533118945e-07
1994,2.23129401066835e-07
1995,2.0171517522982185e-07
1996,1.7722466338909726e-07
1997,2.3159340756251368e-07
1998,2.3745284105647357e-07
1999,2.2851005843094185e-07
2000,2.2531960508498372e-07
2001,1.862014999964856e-07
2002,1.8620191166718314e-07
2003,1.920951482325961e-07
2004,1.8500123033504678e-07
2005,2.0492060515131527e-07
2006,1.8448146688054834e-07
2007,2.0132176103970778e-07
2008,1.698718388176701e-07
2009,1.5448944301610368e-07
2010,1.4549282312259493e-07
2011,1.3077984073461835e-07
2012,9.872332851212917e-08
2013,1.048711038009742e-07
2014,1.1909948743893395e-07
2015,1.0839053476985328e-07
2016,1.0646687648163677e-07
2017,9.106513232381985e-08
2018,8.673728402186498e-08
2019,1.0357010510331222e-07
