year,quand_CONJ il_PRON,quand_CONJ mille_DET
1899,8.545304626750294e-05,1.2713430308508578e-08
1900,8.455291208520066e-05,8.305684917608858e-09
1901,8.31721681606723e-05,1.117747761014698e-08
1902,7.524028205807554e-05,1.9641135384773634e-09
1903,8.26530704216566e-05,1.7820727560291516e-08
1904,8.150296980602434e-05,9.13686282189019e-09
1905,8.206071379390778e-05,9.805442235943929e-09
1906,8.321335553773679e-05,1.3374879870298173e-08
1907,7.996401200216496e-05,7.1999805006939255e-09
1908,8.440320289082592e-05,6.875944702500192e-09
1909,8.37112165754661e-05,8.251475669407426e-09
1910,8.67697654030053e-05,1.9773357728958274e-08
1911,8.54585132401553e-05,1.3832972989291648e-08
1912,8.426238673564512e-05,1.9795800554334164e-08
1913,8.174877075362019e-05,1.4318072727448339e-08
1914,8.208935560105601e-05,1.1384464593255927e-08
1915,7.473126606782898e-05,2.4739600146261864e-08
1916,8.141599391819909e-05,5.493731025651982e-09
1917,8.184900707419729e-05,2.1932848870420685e-09
1918,8.165549934346927e-05,2.067547733020092e-08
1919,8.266990516858641e-05,1.2890987610703064e-08
1920,8.256610271928366e-05,1.514446301698058e-08
1921,8.215749767259695e-05,8.330022227553968e-09
1922,8.11808968137484e-05,1.1804696775641332e-08
1923,8.573651757615153e-05,1.2739137744688378e-08
1924,8.488619187119184e-05,1.2891624434629989e-08
1925,8.610913482698379e-05,6.598906754362588e-09
1926,8.479090411128709e-05,1.114613823460786e-08
1927,9.088290971703827e-05,2.6758138815807797e-08
1928,8.340210297319572e-05,1.1426041335305115e-08
1929,8.28601178000099e-05,6.684243603061191e-09
1930,8.112773230095627e-05,1.8906486154435242e-08
1931,7.683104195166379e-05,7.983749661377715e-09
1932,7.640879266546108e-05,1.7535258800549514e-08
1933,7.419682970066788e-05,1.1470662641954732e-08
1934,7.229565835586982e-05,9.585264137967897e-09
1935,7.530085258622421e-05,1.795242532409702e-08
1936,7.354366698564263e-05,1.091224310911798e-08
1937,6.885704988235375e-05,1.2591117926064044e-08
1938,7.26752132322872e-05,2.3337385357535823e-08
1939,6.914593268447788e-05,1.070583532936098e-08
1940,6.497690174001036e-05,2.5357829391836617e-08
1941,7.373443895630771e-05,5.9030051957620344e-09
1942,7.482973342121113e-05,1.517105907566929e-08
1943,8.207155951822642e-05,2.9032352077962287e-09
1944,7.61782148401835e-05,0.0
1945,7.872241894801846e-05,8.714016175304096e-09
1946,8.035818427742925e-05,6.960552134671616e-09
1947,8.541184797650203e-05,2.9802176726434482e-08
1948,7.549221209046664e-05,1.4133453962728026e-08
1949,6.925408615643391e-05,1.2762110923603132e-08
1950,7.451134297298267e-05,1.701657792452238e-08
1951,7.490167536161607e-05,1.9190523947720806e-08
1952,7.168357842601836e-05,1.0544804140977249e-08
1953,6.89374101057183e-05,1.1851209791302608e-08
1954,7.274969084392069e-05,9.772536557761669e-09
1955,6.583440881513525e-05,4.6928039232341234e-09
1956,6.860486064397264e-05,5.232684729961079e-09
1957,6.58978942738031e-05,6.184526335495377e-09
1958,6.68686780045391e-05,1.4062813580295597e-08
1959,6.535430475196335e-05,1.0851047171911432e-08
1960,6.643100459768903e-05,1.6609999209382664e-08
1961,7.900821401563007e-05,1.042223907177231e-08
1962,6.905756254127482e-05,1.7123282791686734e-08
1963,6.8226559960749e-05,1.0992290633282664e-08
1964,7.498856120946584e-05,5.475571551727398e-09
