year,on_PRON attrape_VERB,on_PRON rattrape_VERB
1847,1.0247124926365814e-08,0.0
1848,1.2067832844131487e-08,1.6090443422100975e-09
1849,1.1731180693530519e-08,3.3517659758786067e-09
1850,1.8330290174617403e-08,4.752297222410107e-09
1851,2.644269869733762e-08,3.2247193804124663e-09
1852,3.190167197075766e-08,4.557382027314816e-09
1853,2.0901761876856995e-08,5.971931837933653e-10
1854,2.909572183185105e-08,3.117398783558656e-09
1855,2.388121700391821e-08,5.306937111981824e-10
1856,3.313400998017357e-08,5.177189121852166e-09
1857,3.075350751835515e-08,8.298565390418844e-09
1858,2.2510909525319533e-08,0.0
1859,3.106225676674512e-08,1.629495471888731e-08
1860,2.4259075193100443e-08,1.1900678664744646e-08
1861,2.6880994319355977e-08,1.8863854922557266e-09
1862,2.2138133548565975e-08,1.0843167475016458e-08
1863,2.597202808374277e-08,3.995696717939978e-09
1864,1.9178912680217763e-08,6.233146554457392e-09
1865,2.7770381549885315e-08,1.6944639247284954e-08
1866,3.40592887226876e-08,7.298419313350735e-09
1867,2.7661025470138156e-08,6.79393608038481e-09
1868,2.8157282283558516e-08,5.433861360870651e-09
1869,2.3440892005233138e-08,8.790334349306761e-09
1870,2.981705327087525e-08,2.2936195165357276e-09
1871,3.1863531146925084e-08,1.0621177271019633e-08
1872,2.3584623587424858e-08,3.628403577593531e-09
1873,2.095101603316607e-08,7.781805866358127e-09
1874,1.8521288946971026e-08,1.3741600746186577e-08
1875,3.43291626236919e-08,2.2886108563824337e-09
1876,5.018192172911995e-08,3.02300739996042e-09
1877,5.1952453894443806e-08,6.80329748092845e-09
1878,2.1136810302024855e-08,3.019544336790858e-09
1879,3.848874907674826e-08,9.163987790827832e-09
1880,2.6954953380453617e-08,3.2089231272180996e-09
1881,2.6495528882009012e-08,1.0458761079412682e-08
1882,3.2611386258096786e-08,5.989846840748214e-09
1883,1.8958017378167824e-08,5.0554711528150165e-09
1884,2.9047466654219534e-08,3.300848483434038e-09
1885,2.578254243434941e-08,5.156508553483263e-09
1886,2.839524104736313e-08,7.744156649280853e-09
1887,3.264462256069578e-08,5.223139698529167e-09
1888,1.9021843211675105e-08,8.876860135842435e-09
1889,3.633779321887687e-08,8.144677543509005e-09
1890,2.4251229135963115e-08,5.243509182406569e-09
1891,4.206985249055606e-08,1.5298128430707436e-08
1892,3.635737222396074e-08,1.2537025195769047e-08
1893,3.263960701715973e-08,7.3900996988562895e-09
1894,3.0247388149717835e-08,1.3863386660872834e-08
1895,2.4074457982692365e-08,1.1435367541778874e-08
1896,1.946019634324614e-08,4.717623180994224e-09
1897,2.855089631381702e-08,1.1070756089637257e-08
1898,2.6594268121016285e-08,5.09251940616906e-09
1899,3.537650172802387e-08,1.2713430308508578e-08
1900,3.5818266574949575e-08,1.090121126701149e-08
1901,2.794369446945666e-08,1.7325091139497317e-08
1902,1.7185994183321895e-08,1.5221880200755322e-08
1903,2.4300990331127537e-08,1.1880484596105134e-08
1904,2.579820090886642e-08,6.987012746151322e-09
1905,3.354493394169822e-08,1.1353669782110387e-08
1906,3.137952631071528e-08,7.2018581098731715e-09
1907,2.211422572839794e-08,4.114274698707732e-09
1908,2.2101250385375693e-08,2.4556945366072114e-09
1909,2.6954818821423032e-08,1.7603147384193107e-08
1910,2.93928290595602e-08,6.947395880807505e-09
1911,2.500575924102577e-08,1.3832972989291648e-08
1912,3.959160177480214e-08,1.1460726367928942e-08
1913,2.651494868111115e-08,9.545381485231985e-09
1914,5.022557836298347e-08,1.5402511266415786e-08
1915,2.8273829055791566e-08,1.1780761921542648e-09
1916,3.955486338469427e-08,3.1863640836959917e-08
1917,3.618920008108262e-08,6.57985488317081e-09
1918,2.067547733020092e-08,5.743188147278033e-09
1919,4.051453217357448e-08,6.445493971884986e-09
1920,2.1959472018551196e-08,1.9687801611212308e-08
1921,3.180553864723379e-08,1.5145495080304272e-08
1922,5.902348210184982e-08,9.591316185719734e-09
1923,3.6094224498128824e-08,1.6985517437007047e-08
1924,2.5783249202326886e-08,1.675911143195208e-08
1925,2.639562701745035e-08,1.3197813286680571e-08
1926,3.6782256351841625e-08,1.7833821530643945e-08
1927,6.020581277965675e-08,8.919379901328739e-09
1928,4.341895687431929e-08,1.2568645679778001e-08
1929,6.684243913923638e-08,1.2254447012693959e-08
1930,5.7769819150621515e-08,1.2604324250986565e-08
1931,4.5621427524622504e-08,1.0264820993199919e-08
1932,4.4934099996396526e-08,1.3151443933878681e-08
1933,3.785318680726846e-08,1.261772863969668e-08
1934,4.193553060360955e-08,1.5576054224197833e-08
1935,5.0266792506192814e-08,1.3165112555668657e-08
1936,4.243650142399247e-08,1.8187072292619177e-08
1937,4.155068988875854e-08,1.2591118370153254e-08
1938,4.2785208265172514e-08,7.779128674556546e-09
1939,2.141167154690038e-08,1.8352860564618823e-08
1940,3.2965177032551196e-08,1.77504799747652e-08
1941,5.9030051957620344e-08,2.3612021671226557e-08
1942,6.371844563091145e-08,9.102635090130207e-09
1943,4.064529424141483e-08,2.9032352077962287e-09
1944,6.42637232317611e-08,9.639558484764166e-09
1945,7.842614557773686e-08,1.089252021913012e-08
1946,1.0162406027802717e-07,9.744772988540262e-09
1947,6.318061540611097e-08,1.549713246618012e-08
1948,6.196976087835537e-08,1.956939832403748e-08
1949,5.3993546078601184e-08,1.767061474922116e-08
1950,8.082874725090505e-08,1.1698897628420468e-08
1951,5.650542789226165e-08,2.6653505180718184e-08
1952,5.5887461769543734e-08,1.581720565635436e-08
1953,6.24881977273617e-08,1.400597604561682e-08
1954,8.697557163372949e-08,2.0522326060756768e-08
1955,5.9129328988660745e-08,2.0648337262230143e-08
1956,6.279222031224663e-08,2.0058624983221307e-08
1957,8.128234796345168e-08,1.0602045019680872e-08
1958,5.1287910807218395e-08,7.445018934681968e-09
1959,4.2629114460623896e-08,1.0851047171911432e-08
1960,4.983000057023901e-08,7.612916519406099e-09
1961,5.766972233089973e-08,9.727423089245235e-09
1962,5.2638237324487136e-08,9.512934662225803e-09
1963,6.983337463850603e-08,1.3578712154682648e-08
1964,5.840609684781839e-08,1.520992087833406e-08
1965,6.073968084052694e-08,1.5321721669181443e-08
1966,4.9297764981304226e-08,8.862519940144864e-09
1967,6.162919330421346e-08,1.4297973360832827e-08
1968,5.2549563811510325e-08,1.392338910832791e-08
1969,5.995120133661658e-08,1.4079449550674639e-08
1970,5.7024190702748e-08,7.357959852516416e-09
1971,5.498085364763483e-08,1.0790634497048757e-08
1972,4.873639625202486e-08,8.208234980600082e-09
1973,6.34018437750683e-08,1.4334330278309437e-08
1974,5.0630143633156877e-08,1.0688586238316589e-08
1975,6.853776035598003e-08,9.709516302081056e-09
1976,8.284614061437878e-08,1.4855170205052559e-08
1977,6.581995748433656e-08,1.9393380235044333e-08
1978,6.415838704754151e-08,1.7227714810275074e-08
1979,6.0275326951853e-08,1.7555920051037788e-08
1980,6.708477773287314e-08,1.3644361418485573e-08
1981,7.400893231590544e-08,2.0874313388929977e-08
1982,7.262777579342128e-08,8.069752976958e-09
1983,7.704685778264775e-08,1.1367568553133367e-08
1984,7.248760613975946e-08,1.6237223565696013e-08
1985,9.083492535921778e-08,1.2031116214394899e-08
1986,7.19338251187196e-08,1.9781802196305875e-08
1987,6.966331156377237e-08,1.8332450224534114e-08
1988,1.031407270701834e-07,2.278690475199241e-08
1989,7.57360840708543e-08,1.0976243913773942e-08
1990,7.519138378597745e-08,1.1442166991670888e-08
1991,5.8614650910726596e-08,1.0550637363770932e-08
1992,8.540413354296561e-08,1.4876849585565566e-08
1993,7.754890418709692e-08,1.4955860550003308e-08
1994,7.384897138251745e-08,1.4242301449307604e-08
1995,6.506941119255316e-08,9.21816623034033e-09
1996,9.822089985789262e-08,1.0142375161947825e-08
1997,9.397993050441755e-08,1.3425704770142488e-08
1998,8.105819926385038e-08,1.8595703199508762e-08
1999,7.312321770314156e-08,1.5995704316651427e-08
2000,8.482620117433726e-08,1.0161472774328217e-08
2001,8.149054142592149e-08,1.2705514418343e-08
2002,6.615644387863995e-08,1.0514931592098264e-08
2003,9.792269040076462e-08,1.12506919336397e-08
2004,8.060767875406327e-08,1.6297728056002825e-08
2005,7.431186777040466e-08,1.1259374210759177e-08
2006,9.388789301567613e-08,1.6883348052942893e-08
2007,8.987578770103255e-08,1.5578470069499417e-08
2008,9.536664880016588e-08,1.958422224390688e-08
2009,1.1205252725687842e-07,1.668867355419934e-08
2010,1.2376337998887266e-07,1.322662024350052e-08
2011,1.4989970864576208e-07,3.785732394234742e-08
2012,1.5319136892344432e-07,2.9616998187265153e-08
2013,1.5284404675242058e-07,2.7333425745013074e-08
2014,1.715032595939192e-07,3.074932086732929e-08
2015,1.4319076946378573e-07,2.1279123130213407e-08
2016,1.4043685858666777e-07,2.4441813017972436e-08
2017,1.4590546015824657e-07,2.6413919496093285e-08
2018,1.543717047525206e-07,3.381721347395228e-08
2019,1.369880404666901e-07,3.03567535553384e-08
