year,on_PRON enverra_VERB,on_PRON renverra_VERB
1953,1.0127397942483185e-07,6.141081598798337e-08
1954,6.743049851820615e-08,4.202190417856855e-08
1955,7.508486277174597e-08,3.378818824728569e-08
1956,7.58739311379486e-08,6.715278999536167e-08
1957,7.156380554818043e-08,3.97576700450486e-08
1958,1.1415696121730434e-07,4.1361218450219894e-08
1959,1.0463509170222096e-07,3.720359131875739e-08
1960,9.896791652863612e-08,5.1214165353030694e-08
1961,1.2020315409699833e-07,3.47407969059077e-08
1962,1.0654486715111489e-07,4.05885218768276e-08
1963,7.241979815830746e-08,3.7503109062697604e-08
1964,1.289801296877613e-07,5.2322128851756133e-08
1965,5.4720434405908236e-08,4.870118708311111e-08
1966,6.53610809919769e-08,6.2591546168278e-08
1967,7.543413627075779e-08,5.2261555083532585e-08
1968,8.578604049347405e-08,5.2549564699688744e-08
1969,1.026437246309797e-07,5.768032274033885e-08
1970,8.967513842605968e-08,7.082036468375463e-08
1971,1.0071259026744883e-07,4.72732573086887e-08
1972,8.56734523324576e-08,8.41344114377307e-08
1973,1.086101129033068e-07,1.1136671496103645e-07
1974,1.0294795771415011e-07,1.361388299869759e-07
1975,1.0394893834586583e-07,1.1936993615790925e-07
1976,4.1708746678637e-08,1.1541323985397867e-07
1977,6.699531240883516e-08,9.755458307836307e-08
1978,5.8217795029236186e-08,8.257421768576023e-08
1979,5.383815615545018e-08,9.304637416107653e-08
1980,4.7186752283323585e-08,1.1086043727459582e-07
1981,7.59065947875115e-08,9.551579793765086e-08
1982,6.57995222752561e-08,1.1235579577828503e-07
1983,4.547027465662268e-08,1.9009101492883929e-07
1984,5.393077806559177e-08,1.067017585398844e-07
1985,5.0530687190075696e-08,1.317407196665954e-07
1986,5.3350920126149504e-08,1.6724614226859558e-07
1987,5.010869763566461e-08,1.3016039801527768e-07
1988,4.497415329041132e-08,1.3492246253576923e-07
1989,4.225854155492925e-08,1.4653286228849538e-07
1990,4.9582724592767136e-08,1.313124897706075e-07
1991,3.634108480810028e-08,1.377444291961183e-07
1992,5.1242479592872314e-08,1.3719760971753203e-07
1993,4.763718308709031e-08,1.6506838207419605e-07
1994,5.27492662882878e-08,1.503354098986165e-07
1995,5.314001860767803e-08,1.6755372911347877e-07
1996,4.804283015857891e-08,1.4572991702266336e-07
1997,4.890792304479419e-08,2.1529076121851176e-07
1998,4.958854482595143e-08,1.8738747797897304e-07
1999,4.20458512451205e-08,2.2302582181055186e-07
2000,3.9320480205162767e-08,2.3548107463966517e-07
2001,5.0383935246145484e-08,2.615583483134287e-07
2002,5.169841443830592e-08,2.1599421984319633e-07
2003,4.833630740108674e-08,2.1918015136179747e-07
2004,4.448839163728735e-08,2.286086697722567e-07
2005,5.134274516649384e-08,2.247371071462112e-07
2006,3.95317449886079e-08,2.1660100912868074e-07
2007,4.673540932031983e-08,2.2169361102442053e-07
2008,5.0663532036310244e-08,1.8349565067410367e-07
2009,4.1960094065984777e-08,1.5973444789096902e-07
2010,4.865506753048976e-08,1.3982428015424375e-07
2011,5.582998952036178e-08,1.0554162699349945e-07
2012,5.276591785730034e-08,6.60425030218903e-08
2013,5.9129451557282664e-08,1.0236088954229672e-07
2014,7.232586973771049e-08,9.766157660351382e-08
2015,6.49456595169795e-08,9.08795918519445e-08
2016,7.021842840515546e-08,8.161079634305679e-08
2017,5.182159412697729e-08,9.181981397432537e-08
2018,5.937373259712331e-08,7.589512129868581e-08
2019,6.556038378846551e-08,9.872322692672242e-08
