year,on_PRON achète_VERB,on_PRON rachète_VERB
1844,6.10327994365889e-07,3.293136618953696e-08
1845,5.474203632616081e-07,6.194053076002959e-08
1846,7.277145002149155e-07,2.86870562860031e-08
1847,7.518153921637349e-07,6.471868552182514e-08
1848,6.597081778636493e-07,7.964769199730881e-08
1849,5.010890049561567e-07,2.5976186757148412e-08
1850,4.3924803350137154e-07,2.4440385715251978e-08
1851,6.126966880515283e-07,3.224719424821387e-08
1852,8.392092851750022e-07,1.5625309268685328e-08
1853,6.061510617882959e-07,2.388772735173461e-08
1854,5.62170896500902e-07,3.16935526711859e-08
1855,5.317550915151514e-07,1.539011762474729e-08
1856,5.907172635488678e-07,2.485050831779745e-08
1857,6.004255936886693e-07,3.172980855836727e-08
1858,5.011124244447274e-07,2.300027679424943e-08
1859,6.339755742601483e-07,2.49516496353408e-08
1860,4.6870363945572535e-07,2.9293977354960532e-08
1861,6.366551232872553e-07,3.395493841651387e-08
1862,5.200202082278338e-07,3.7951086273579904e-08
1863,5.708851702479478e-07,4.145535292821023e-08
1864,4.478275954511446e-07,2.4932585773740357e-08
1865,6.147138833512145e-07,1.694463946932956e-08
1866,5.332711907612975e-07,3.3572729485342734e-08
1867,6.041750353347197e-07,2.4749338578544666e-08
1868,5.750013372107787e-07,2.5687344695768388e-08
1869,4.912820230629222e-07,1.3673853827000926e-08
1870,4.948484004785314e-07,1.204150201772336e-08
1871,6.000964987151747e-07,4.0360472741696185e-08
1872,5.339800708270559e-07,2.6608293568486374e-08
1873,5.046201891900637e-07,2.1549616757710055e-08
1874,5.448843509725521e-07,1.971620977592181e-08
1875,4.7317029583382464e-07,1.716458131184595e-08
1876,6.559926220006673e-07,3.567148554317612e-08
1877,5.015885804482423e-07,2.4120781816350245e-08
1878,5.803564135931083e-07,7.367687970827319e-08
1879,6.80578835954293e-07,3.0546626117455844e-08
1880,4.883981148395833e-07,3.78652940113966e-08
1881,5.584978453043732e-07,3.9046040622991995e-08
1882,5.770219217993144e-07,3.0614771162618126e-08
1883,5.011235799656788e-07,4.613117265961364e-08
1884,6.007544044450697e-07,2.2445769687351458e-08
1885,5.330540773229586e-07,2.3204288490674685e-08
1886,6.711602225095703e-07,2.45231626117004e-08
1887,6.424461815868199e-07,2.4809913734546996e-08
1888,5.35147876234987e-07,2.9166827175686194e-08
1889,5.757660730409953e-07,1.3156787437296202e-08
1890,5.990709155412333e-07,2.6872984282277912e-08
1891,6.004515427093793e-07,3.314594465564369e-08
1892,6.293586665151452e-07,5.578975947884146e-08
1893,5.388614354728816e-07,2.217029959616923e-08
1894,5.154659135087059e-07,3.2137849936830776e-08
1895,5.615367371092361e-07,2.4074457538603156e-08
1896,5.454751885736187e-07,1.061465249030391e-08
1897,6.630799873619253e-07,1.5732126601442076e-08
1898,5.884689073809568e-07,2.2067584648510774e-08
1899,5.168285710510645e-07,2.65323762960179e-08
1900,6.32270271694324e-07,2.491705552998269e-08
1901,5.538440248642473e-07,5.029865079997364e-09
1902,5.317837334928299e-07,3.3880958927312577e-08
1903,4.952001972924336e-07,1.5120616980723867e-08
1904,5.213386344848914e-07,4.2997001514777367e-08
1905,5.976158945486532e-07,1.4966201444810423e-08
1906,5.457979881384745e-07,1.9547901741745477e-08
1907,4.818844203668959e-07,1.697138252154673e-08
1908,6.232552749452225e-07,3.4870862641867006e-08
1909,4.972889016130466e-07,2.2003934396774838e-08
1910,5.27467676647575e-07,2.404867771588215e-08
1911,5.506587115178263e-07,1.9685383989553884e-08
1912,4.646803759555951e-07,1.82329742415277e-08
1913,5.472685273844036e-07,2.2802855714765258e-08
1914,6.127520464360714e-07,1.8750882013751635e-08
1915,7.092018421417379e-07,1.4136914527895783e-08
1916,5.054232516954471e-07,1.2086208034389756e-08
1917,4.792327530367402e-07,1.4256351654751143e-08
1918,5.421569682084737e-07,6.89182577673364e-09
1919,4.410559455436669e-07,9.207848705727883e-09
1920,5.83061847692079e-07,1.4387240288016301e-08
1921,4.899567542793193e-07,1.7417319364554373e-08
1922,5.371136921894504e-07,1.549366412945119e-08
1923,5.010727477383625e-07,1.4862327368803108e-08
1924,5.066408519383003e-07,7.734974438733389e-09
1925,4.685223871092603e-07,3.189471620146378e-08
1926,5.127223730028163e-07,2.229227735739414e-08
1927,4.6269282449884486e-07,1.1149224654616319e-08
1928,4.5589904118514823e-07,3.427812256262541e-08
1929,4.311337207241195e-07,1.1140406375176326e-08
1930,4.2119450682776005e-07,1.8906486376479847e-08
1931,4.824465733577199e-07,3.763767697506637e-08
1932,4.3728551446520214e-07,2.7398840973802407e-08
1933,5.528859219339211e-07,5.735331098932761e-09
1934,4.5889453303971095e-07,9.585264137967897e-09
1935,4.524011458784116e-07,1.4361940969820353e-08
1936,4.2557748969329623e-07,8.487299751891442e-09
1937,4.230615786582348e-07,2.0145788925951535e-08
1938,4.421138086740939e-07,1.2965214679638848e-08
1939,3.624689810521886e-07,2.9058696782158222e-08
1940,4.1333260014653206e-07,1.5214697501875207e-08
1941,4.161618605280637e-07,5.9030051957620344e-09
1942,5.704318155608235e-07,2.1239483061208375e-08
1943,4.790338223870094e-07,1.7419411024732767e-08
1944,4.819779206854946e-07,2.2492303131116387e-08
1945,4.0084473340584736e-07,1.5249528306782167e-08
1946,4.343384389926541e-07,6.960552134671616e-09
1947,4.744506654219549e-07,1.4305045148432782e-08
1948,4.631424133094697e-07,1.7395020313060172e-08
1949,3.9562542752946683e-07,7.853606653895895e-09
1950,3.881906991409778e-07,9.57182533234402e-09
1951,3.8807500857274135e-07,2.2388944032059044e-08
1952,3.6379574197553666e-07,1.2653764258629963e-08
1953,3.7277442999084087e-07,1.0773827385790469e-09
1954,4.7103623757038804e-07,7.818028890937967e-09
1955,5.612593625414775e-07,3.566530937249013e-08
1956,5.267569491707036e-07,1.4825941141438648e-08
1957,4.267323205908724e-07,1.0602045241725477e-08
1958,4.5497338163613676e-07,1.0753916701577992e-08
1959,3.7436112521049836e-07,1.007597205671118e-08
1960,5.508983207391793e-07,1.5225833038812198e-08
1961,4.175843670850554e-07,9.03260666262895e-09
1962,4.1983751941643277e-07,6.341956293454132e-09
1963,4.7590152263410346e-07,9.052474325699222e-09
1964,4.277029859167669e-07,8.517555438736224e-09
1965,4.0219518382400565e-07,7.660860390501512e-09
1966,4.6749789817113196e-07,7.754704767215514e-09
1967,4.4422322531545433e-07,1.0353704782417594e-08
1968,4.796832016040753e-07,5.3896989093971115e-09
1969,5.263897193685807e-07,1.5441976808361346e-08
1970,4.7090945543004636e-07,1.5175792178467873e-08
1971,4.696495281564239e-07,1.233215407570043e-08
1972,4.7556461169051545e-07,7.695220183290274e-09
1973,5.149332338305612e-07,1.0475087242056702e-08
1974,5.214904987838054e-07,1.2376257796375967e-08
1975,5.128909279505933e-07,8.567220266542108e-09
1976,5.67353232838741e-07,1.2569759455516305e-08
1977,4.742563035620151e-07,1.1753563899929986e-08
1978,4.960393695796483e-07,1.1881183148432228e-08
1979,4.903953794155314e-07,1.6970723049070102e-08
1980,5.923927091089354e-07,1.1370301367108482e-08
1981,5.41467038317478e-07,9.488324403950088e-09
1982,5.357074570611076e-07,1.738100685599875e-08
1983,4.88173938606451e-07,1.3893695527400496e-08
1984,5.271298704201399e-07,1.1018116197192285e-08
1985,5.089162016247428e-07,1.9851341459542482e-08
1986,5.25716380650465e-07,1.6784559075944117e-08
1987,5.255302539808326e-07,2.0165694891716157e-08
1988,5.654750268035968e-07,1.8589316752581908e-08
1989,6.388173972027289e-07,2.030605195102453e-08
1990,4.75122362786351e-07,1.7980548605578406e-08
1991,5.56253041850141e-07,1.992898113201136e-08
1992,5.5870832227356e-07,1.5427843669257868e-08
1993,5.95464797470413e-07,2.1602908462092785e-08
1994,4.968980888975238e-07,1.529728688165477e-08
1995,5.124215860519143e-07,1.2471636778865758e-08
1996,4.7348877529884703e-07,2.028474987980644e-08
1997,4.957921007076038e-07,1.1507746311423261e-08
1998,4.734752252488761e-07,2.3840646345973937e-08
1999,4.583911632494164e-07,1.0511462644746672e-08
2000,4.5152282979188385e-07,6.1852442057031e-09
2001,4.3943554572933863e-07,1.051490838843705e-08
2002,4.937636788326927e-07,1.0514931592098264e-08
2003,4.541945912706069e-07,7.500461418619153e-09
2004,4.6646739093603173e-07,6.607186797680242e-09
2005,4.88206445936612e-07,1.5763123473178098e-08
2006,5.633273403304884e-07,1.6059770402421236e-08
2007,5.372574776174588e-07,1.198343807518043e-08
2008,6.330812851729206e-07,2.554463840453991e-08
2009,6.108054293463283e-07,1.1443661795951243e-08
2010,6.353501902367498e-07,1.369899971237487e-08
2011,7.613528509864409e-07,2.0649448151388583e-08
2012,7.717440695387268e-07,1.0212758527750054e-08
2013,6.33410294881287e-07,1.589801224000098e-08
2014,6.44653013637253e-07,1.3209215943277286e-08
2015,6.244093100349346e-07,1.4851055496478693e-08
2016,6.446010019089954e-07,1.097810220507256e-08
2017,5.856343250343343e-07,1.9370206771895937e-08
2018,5.537246181575028e-07,1.2132893356664454e-08
2019,6.367265399376265e-07,1.607122257496485e-08
