year,on_PRON amenait_VERB,on_PRON ramenait_VERB
1841,7.897274434398582e-08,4.17335659363971e-08
1842,1.348361280406607e-07,5.2324466537356784e-08
1843,1.1991029325031377e-07,6.73387847704987e-08
1844,1.443491619568249e-07,5.817875114999538e-08
1845,1.2946129146484964e-07,7.086889342033942e-08
1846,1.6334059438349868e-07,5.21050615986951e-08
1847,1.952346941891392e-07,8.73702230563822e-08
1848,1.1585119530366228e-07,6.355725090667619e-08
1849,1.5501917260962728e-07,9.301150560858673e-08
1850,1.1812853273340806e-07,5.974316419354864e-08
1851,8.190786893180757e-08,7.481348696103396e-08
1852,1.295598544004406e-07,4.6224872818356744e-08
1853,1.1585547987635891e-07,8.00238844078649e-08
1854,1.3300900647550407e-07,3.585008445661231e-08
1855,1.448793831571038e-07,6.315255163258371e-08
1856,1.0613238110579459e-07,6.626802545595112e-08
1857,1.8208029572974738e-07,8.298565568054528e-08
1858,1.5219332460958412e-07,6.50858913431307e-08
1859,1.334149395404438e-07,8.656694916453489e-08
1860,1.327383358784573e-07,6.408057462437e-08
1861,1.44780088362495e-07,6.649508543787874e-08
1862,1.0843167252971853e-07,7.680576707969067e-08
1863,1.9978483400961977e-07,6.692791942874976e-08
1864,1.3377290741800607e-07,4.2193606386575766e-08
1865,1.0919879045445668e-07,4.942186593304143e-08
1866,1.23100006632626e-07,4.9142689473313794e-08
1867,1.4461377695340616e-07,5.726317731102881e-08
1868,1.3584653846265837e-07,6.520633899498307e-08
1869,1.313666686542092e-07,2.783605879130846e-08
1870,1.8062252848949356e-07,6.708837219093766e-08
1871,2.241068379760236e-07,7.753459385639871e-08
1872,2.0681900281260823e-07,7.801067458679256e-08
1873,1.7898152826489877e-07,9.876907247630129e-08
1874,1.5593730307017495e-07,1.1112773012911248e-07
1875,1.4475463672170008e-07,5.4354506229259414e-08
1876,1.0338685108024492e-07,7.194757500883497e-08
1877,1.329735397348486e-07,6.865145785184268e-08
1878,1.8781565813696943e-07,7.91120644549892e-08
1879,1.9183281807499952e-07,8.247589278198575e-08
1880,1.7649077577175376e-07,5.198455266253177e-08
1881,1.1504637598136469e-07,4.671579945103588e-08
1882,1.3244216567898093e-07,1.0382400938979686e-07
1883,1.7378181382809998e-07,7.83598050890788e-08
1884,1.8682802505054497e-07,6.99779878488016e-08
1885,1.682310948325494e-07,8.637151971413459e-08
1886,1.529470896599605e-07,7.679621738532205e-08
1887,1.384132009007999e-07,6.267767771461763e-08
1888,1.4710225926251042e-07,7.291706927148311e-08
1889,1.8106244858984155e-07,8.771191417622504e-08
1890,1.3239861118563567e-07,7.996351225614262e-08
1891,1.6063034102842266e-07,6.947899944265146e-08
1892,1.7426465070968788e-07,8.274436069655167e-08
1893,1.6011883197109e-07,1.0346139678318877e-07
1894,9.893416841322278e-08,6.868677648874666e-08
1895,1.5407653464194482e-07,8.666804762746949e-08
1896,1.1086414630767649e-07,1.1145384881672271e-07
1897,1.2352632694501153e-07,9.788879040684151e-08
1898,1.3693219003130253e-07,9.166535042126611e-08
1899,1.1442087455293404e-07,6.025060450554065e-08
1900,1.1627959217719308e-07,6.64454813392723e-08
1901,1.6877991093622313e-07,5.58873880507349e-08
1902,1.2914046010337188e-07,6.72708910798292e-08
1903,1.2852524022832768e-07,5.994244567375517e-08
1904,1.150169763874942e-07,5.4283713524228006e-08
1905,1.083759375575255e-07,6.399341323515273e-08
1906,1.3786414498895283e-07,6.070137725799896e-08
1907,1.4862817021565888e-07,6.531410967625106e-08
1908,1.3113409025322653e-07,6.532147622806406e-08
1909,1.298232135127364e-07,4.565816391632893e-08
1910,1.2131222248967788e-07,5.9320072853807915e-08
1911,1.1864434146247049e-07,5.3203742744756255e-08
1912,1.2763081613798022e-07,5.938740232913631e-08
1913,1.272717540246049e-07,5.939348479699902e-08
1914,1.0379953074846071e-07,6.495841287090798e-08
1915,1.3076646077081477e-07,8.71776384414602e-08
1916,8.680094687463225e-08,5.273981606990219e-08
1917,9.650453591802943e-08,4.8252268847193136e-08
1918,7.006689273225675e-08,8.155327080316965e-08
1919,1.2798909310163253e-07,6.99796465220004e-08
1920,1.0222512969448871e-07,5.982062978304725e-08
1921,9.693116709286187e-08,7.194109885588773e-08
1922,1.0919344362037009e-07,7.599273565972453e-08
1923,8.917396776553232e-08,4.989495483442852e-08
1924,9.926550870176243e-08,6.316896072888767e-08
1925,8.13865170812278e-08,6.928851803422731e-08
1926,1.1369061514443501e-07,7.356451181550483e-08
1927,8.584903454789128e-08,5.5746123273081594e-08
1928,8.683791286046016e-08,4.684677090693867e-08
1929,1.058338607862197e-07,5.235991107355176e-08
1930,8.50791881390478e-08,3.991369457168048e-08
1931,7.071320951013149e-08,6.38699964028433e-08
1932,7.56208020646909e-08,6.027745280690056e-08
1933,9.864769801026796e-08,4.4735583903943166e-08
1934,8.506921922446509e-08,6.94931667766241e-08
1935,8.497481474023516e-08,6.58255636665217e-08
1936,8.244805904666919e-08,5.092380028770549e-08
1937,8.939693962872752e-08,6.799203666751907e-08
1938,7.51982431879128e-08,4.7971293604121e-08
1939,9.02348959996857e-08,5.199977248793175e-08
1940,6.339457314652464e-08,3.550096194793184e-08
1941,7.083606234914441e-08,5.017554549624492e-08
1942,1.0923162108156248e-07,6.068423408223111e-08
1943,1.422585294008627e-07,8.129058493011598e-08
1944,1.2531425674922048e-07,7.711646787811333e-08
1945,1.2853174169435988e-07,6.753362224998227e-08
1946,7.09976326618289e-08,5.8468637043063154e-08
1947,9.536696587986171e-08,4.649139562218352e-08
1948,7.827759063161466e-08,3.696441996936528e-08
1949,5.693864935096826e-08,4.41765370950975e-08
1950,7.763814036110261e-08,5.104973332947793e-08
1951,1.1194471838393838e-07,6.076998992909921e-08
1952,7.59225908808503e-08,5.9050901946022805e-08
1953,6.248820039189695e-08,5.602390373837807e-08
1954,9.088458341466321e-08,4.202190506674697e-08
1955,9.291751901230327e-08,4.880516213390251e-08
1956,7.761816078755146e-08,4.622205174165117e-08
1957,7.068029983514634e-08,4.329168490357915e-08
1958,5.376958078784355e-08,3.80523197396343e-08
1959,5.5805384757690035e-08,4.107896334204497e-08
1960,7.88974965360012e-08,4.152500010512483e-08
1961,6.878677538679767e-08,4.516303508950159e-08
1962,9.322675964540394e-08,3.99543260698465e-08
1963,7.306639915327651e-08,4.4615767968991804e-08
1964,6.935723906309477e-08,5.049693729830551e-08
1965,6.457011281213454e-08,3.337946563597427e-08
1966,7.200797114137458e-08,2.7141466962810057e-08
1967,6.705256438976903e-08,4.042875278997826e-08
1968,7.141351332506929e-08,5.165128058592927e-08
1969,6.131373098128279e-08,2.3162965101519717e-08
1970,6.116304174241805e-08,4.1388525939822784e-08
1971,5.0356293357367576e-08,3.3913423180820246e-08
1972,5.7457643976022155e-08,3.5911027929103057e-08
1973,6.285052212007258e-08,4.5759590783234216e-08
1974,5.0630143633156877e-08,5.1755258745345145e-08
1975,5.483021059404791e-08,3.7695768728696066e-08
1976,6.170609090361268e-08,4.1137395268009413e-08
1977,5.3478715678068056e-08,4.231283101674421e-08
1978,5.999997387817757e-08,3.742572474152439e-08
1979,6.08605246199545e-08,4.9741772478739676e-08
1980,6.935883689607181e-08,4.7186750062877536e-08
1981,5.692994431427678e-08,5.186950780000643e-08
1982,6.455802292748558e-08,3.84865144198443e-08
1983,4.7996400631689085e-08,4.673333764415588e-08
1984,6.320919254676483e-08,4.523226460051433e-08
1985,6.075713621100931e-08,4.030423950140971e-08
1986,4.495864258657889e-08,2.8174082178367144e-08
1987,5.2553025930990316e-08,2.8109756744498782e-08
1988,9.714417181783119e-08,3.7778288053402775e-08
1989,5.378359713148484e-08,3.567279538430057e-08
1990,4.35892069106103e-08,3.4871367127209396e-08
1991,5.3339334726842935e-08,5.3339333838664515e-08
1992,5.179347439820958e-08,3.691662531224438e-08
1993,4.763718219891189e-08,3.877445209354846e-08
1994,5.433174532498697e-08,3.2177051689785685e-08
1995,4.9886546449329217e-08,3.3076950067822963e-08
1996,5.177949269352666e-08,3.736664311304594e-08
1997,5.5620775540887735e-08,4.027711542065049e-08
1998,5.387985879679036e-08,3.0516027926807965e-08
1999,5.3014334255863105e-08,3.7475649694584945e-08
2000,6.008522746014933e-08,3.578605500820231e-08
2001,4.68789673746528e-08,3.504969336987074e-08
2002,6.265146623718465e-08,3.7678506092930775e-08
2003,7.125438372668214e-08,3.6252230550815057e-08
2004,5.241701384051112e-08,3.611928800495434e-08
2005,5.3144243672420544e-08,4.008336951244473e-08
2006,6.547445075000269e-08,3.5825642896725185e-08
2007,5.352602627795022e-08,4.274093212686125e-08
2008,4.3000142113669426e-08,4.17229077953607e-08
2009,5.6264672920747216e-08,5.006602243895486e-08
2010,3.7790343299093365e-08,3.637320711291636e-08
2011,6.118355067030734e-08,3.441574625284716e-08
2012,7.45531369972241e-08,4.289358468412274e-08
2013,7.168051396888586e-08,4.183687440928452e-08
2014,7.47078594542927e-08,5.088796051211375e-08
2015,8.068334356181595e-08,4.787802998507118e-08
2016,8.016086106010789e-08,3.624845090755002e-08
2017,6.112935402313724e-08,4.1004463380289735e-08
2018,6.944145347631547e-08,4.2852348780542115e-08
2019,6.505018923519401e-08,3.979540785792324e-08
