year,on_PRON égale_VERB,on_PRON régale_VERB
1850,6.856886081152425e-08,6.788996032014438e-09
1851,1.3543821397732358e-08,1.2898877521649865e-09
1852,2.669323606596663e-08,2.018269151804475e-08
1853,3.2248433257109355e-08,7.1663179834757784e-09
1854,4.9358813924982314e-08,3.63696517347023e-09
1855,2.7596072982305486e-08,1.2736649068756378e-08
1856,7.662240236738782e-08,1.1389816201301528e-08
1857,4.344543058643069e-08,8.298565501441146e-09
1858,3.621320354696422e-08,2.4468380654951716e-09
1859,3.7172863898149444e-08,6.619825576592575e-09
1860,2.105504587346374e-08,1.51047069019139e-08
1861,4.197207637002265e-08,9.431927461278633e-09
1862,3.4336697180004094e-08,4.517986429419807e-09
1863,5.6439213746983796e-08,1.3984938762590104e-08
1864,3.4042567098602206e-08,6.233146443435089e-09
1865,3.0123804561910106e-08,8.943004559114343e-09
1866,2.1895258328630263e-08,1.4596838737723772e-09
1867,3.785192959071537e-08,6.308654931785895e-09
1868,8.101393822457226e-08,2.4699371437009177e-09
1869,3.467298514969741e-08,4.395167119142229e-09
1870,1.834895613228582e-08,9.747882501187632e-09
1871,1.5931766128574054e-08,2.1242354542039266e-09
1872,3.023669659096839e-08,6.047339518033823e-09
1873,2.8732820567256567e-08,9.577606929767057e-09
1874,2.8678122987457755e-08,2.3898436563030145e-09
1875,3.204055282202134e-08,6.865832347102696e-09
1876,4.594971136917536e-08,8.464420275799966e-09
1877,5.87557532627514e-08,1.1132669008873108e-08
1878,4.468925579592664e-08,7.2469061862534545e-09
1879,5.315112971970848e-08,2.443730107160036e-09
1880,4.6208491255583795e-08,6.417846254436199e-09
1881,3.6257040536558094e-08,1.1853262815719745e-08
1882,5.058092722443064e-08,1.5972924316542958e-08
1883,6.951272679689424e-08,1.1374810426900694e-08
1884,3.234831513765357e-08,1.1222884843675729e-08
1885,5.865528440729406e-08,2.5782542767416317e-09
1886,3.872078280231506e-08,4.5174246565693466e-09
1887,3.9173549348792136e-08,1.3057849024278312e-08
1888,6.086990023135286e-08,1.141310623786751e-08
1889,7.643466604090321e-08,6.265136742733546e-09
1890,5.767859995176039e-08,1.0487018586857744e-08
1891,5.6093135580859155e-08,3.824531802365527e-09
1892,2.7581454897784852e-08,3.1342561879199593e-09
1893,6.527921675436588e-08,6.15841644346915e-09
1894,5.923446821931577e-08,1.3863386882917439e-08
1895,3.671354908973967e-08,2.4074457982692365e-09
1896,6.840553679055006e-08,1.061465249030391e-08
1897,4.8944393427063915e-08,5.2440420894583895e-09
1898,3.281845928349014e-08,6.2241903853177405e-09
1899,5.417026827103655e-08,5.527578395003729e-09
1900,4.6200371972560106e-08,6.7483690857628176e-09
1901,4.02389199738451e-08,5.029865024486213e-09
1902,2.700656215326447e-08,3.928227076954727e-09
1903,4.4281807332069434e-08,4.320176216765503e-09
1904,9.13686282189019e-09,4.299700151477737e-09
1905,3.148063110192112e-08,1.0321518084666081e-09
1906,3.035068729673185e-08,1.18316245689698e-08
1907,2.3142794958186386e-08,8.228549397415463e-09
1908,2.3574666885295414e-08,1.817213934884876e-08
1909,3.190570568856188e-08,4.950885035270858e-09
1910,2.2445433289774996e-08,3.206490406526541e-09
1911,2.979409430281521e-08,5.3203741412488625e-09
1912,3.750783461597962e-08,8.8560158095774e-09
1913,2.227255674336348e-08,2.6514948014977335e-09
1914,3.9510786642438234e-08,1.339348720819089e-08
1915,3.534228509849413e-08,3.534228465440492e-09
1916,1.648119329900055e-08,3.2962386153911893e-09
1917,3.3995915416085154e-08,1.0966424213165737e-08
1918,2.2972752589112133e-08,5.743188147278033e-09
1919,2.6702760891339494e-08,1.8415696745321952e-09
1920,1.590168663412328e-08,2.2716695191604686e-09
1921,4.0135563095233806e-08,5.300923311413186e-09
1922,3.172512208493572e-08,3.6889677978990676e-09
1923,1.9108706172943357e-08,7.431163684401554e-09
1924,2.4494086536819282e-08,1.0313299547703991e-08
1925,1.429763130111894e-08,1.0998177923937646e-09
1926,1.89484357093761e-08,4.458455493683289e-09
1927,2.0068604777989663e-08,6.689535148041159e-09
1928,2.8565103171729334e-08,1.3711249469139375e-08
1929,3.119313807253832e-08,1.1140406153131721e-08
1930,5.041729744803547e-08,8.402882833991043e-09
1931,3.079446386777818e-08,5.7026783295555106e-09
1932,1.4247398039124448e-08,7.6716757391182e-09
1933,1.1470662419910127e-08,4.588264879146209e-09
1934,2.2765002327673756e-08,1.1981580172459871e-09
1935,2.393656828303392e-08,3.590485242455088e-09
1936,1.576212849130343e-08,1.9399543305098632e-08
1937,2.6441348222050465e-08,2.5182236296217297e-09
1938,2.981999247531064e-08,1.555825723809079e-08
1939,1.3764645423464117e-08,3.058810094103137e-09
1940,2.0286263113789005e-08,0.0
1941,1.4757513433494296e-08,8.854508237732261e-09
1942,9.102635312174812e-09,3.034211770724937e-09
1943,2.6129116870166058e-08,5.806470415592457e-09
1944,1.2852744646352221e-08,6.4263723231761105e-09
1945,1.9606536394434215e-08,4.357008087652048e-09
1946,2.645009811175214e-08,5.568441707737293e-09
1947,2.3841741247920822e-08,7.152522574216391e-09
1948,1.7395020535104777e-08,5.435944139264848e-09
1949,2.748762362170254e-08,1.9634016634739737e-09
1950,2.765193918286002e-08,9.57182533234402e-09
1951,1.7058243040324328e-08,4.264560704569931e-09
1952,3.374337254058446e-08,3.163441175679793e-09
1953,3.663101211248687e-08,1.185120990232491e-08
1954,1.2704296947774196e-08,9.772536113672459e-10
1955,2.3464019172081407e-08,1.8771215692936494e-09
1956,2.8779767236031262e-08,2.616342476002842e-09
1957,1.2369053170591116e-08,7.068030272172621e-09
1958,1.5717262880077243e-08,1.6544486891589827e-09
1959,1.2401196514133517e-08,6.200598479111363e-09
1960,2.422291656145603e-08,1.3841666701708277e-09
1961,1.459113407875634e-08,6.948159270159238e-10
1962,2.4099434892121963e-08,1.0781325721076485e-08
1963,1.5518527796132275e-08,7.759263453976928e-09
1964,1.52099203787337e-08,6.0839683291291635e-09
1965,1.6963335014441583e-08,3.283225968875314e-09
1966,3.157272576714831e-08,1.1078149508847446e-09
1967,1.577707425814978e-08,3.944268467392931e-09
1968,1.8414804542343788e-08,2.69484942694298e-09
1969,8.175163990209455e-09,4.5417577476669635e-09
1970,1.057706744411746e-08,7.3579600190498695e-09
1971,7.193756701440179e-09,2.0553589941130213e-09
1972,1.7442499333775174e-08,5.130146862875051e-09
1973,1.1026408008874e-08,4.410563025913916e-09
1974,7.313243344242437e-09,2.8127858375803783e-09
1975,1.0851811893530794e-08,6.282628195464213e-09
1976,6.8562320265641574e-09,4.570821388050206e-09
1977,6.464460078348111e-09,3.526069214387917e-09
1978,2.970295565063452e-09,4.158414057542359e-09
1979,6.437170796402825e-09,4.096381456264453e-09
1980,1.4212877097463661e-08,2.8425753417771205e-09
1981,9.488323904349727e-09,1.897664858585557e-09
1982,5.586752060970923e-09,4.345251491955082e-09
1983,3.157658134966823e-09,1.0736036948344463e-08
1984,1.1598016769198694e-08,4.639206629963866e-09
1985,4.210890747202711e-09,2.4062232206745193e-09
1986,4.795588426365072e-09,6.593933843390687e-09
1987,9.166225112267057e-09,4.888653482026939e-09
1988,3.5979323409485175e-09,4.1975875553212916e-09
1989,4.390497743145261e-09,2.744061089465788e-09
1990,3.814055737905164e-09,2.724325431913144e-09
1991,7.6199047072123e-09,5.2753188484189195e-09
1992,5.509944056569793e-09,1.65298330578878e-09
1993,4.4313659408601325e-09,6.093128224193833e-09
1994,9.494867947434926e-09,3.164955852952289e-09
1995,1.6267352465071383e-09,2.7112254663563817e-09
1996,1.6014276571496566e-09,3.2028553142993132e-09
1997,2.876936688878118e-09,7.192341833217597e-09
1998,9.536258449571733e-10,2.86087753487152e-09
1999,5.0272213059088244e-09,5.484241422104574e-09
2000,4.418031274155965e-09,3.534425085938153e-09
2001,8.762423564512289e-10,4.381211921034023e-09
2002,7.009954394732176e-09,1.3143663935011318e-09
2003,2.5001538617175356e-09,6.250384321226932e-09
2004,2.2023955992267474e-09,3.9643119897903034e-09
2005,5.404499514582994e-09,4.503749373441224e-09
2006,1.2353669753828456e-09,4.11788997345397e-09
2007,1.997239706952314e-09,3.994479469415779e-09
2008,1.7029758714315335e-09,9.366367459406888e-09
2009,6.198650259747751e-09,2.860915504498962e-09
2010,4.251413832090378e-09,6.140930874920514e-09
2011,2.6767803251726008e-09,8.030341169806832e-09
2012,3.063827413996023e-09,1.3617011296318537e-08
2013,3.0680375462388554e-09,3.6258624436236175e-09
2014,6.279790909502481e-09,6.496335691608124e-09
2015,1.994917786518613e-09,8.644643945121544e-09
2016,5.592618201877286e-09,8.492494263379058e-09
2017,2.7671724078803805e-09,5.7859059765519305e-09
2018,1.5488799687268795e-09,9.293279867872428e-09
2019,1.53059265262101e-09,7.397864321134762e-09
