year,ancien_ADJ habit_NOUN
1880,1.5402831010646878e-08
1881,1.2550513517339823e-08
1882,1.3310770263785798e-08
1883,1.0742875922176154e-08
1884,1.5183903911974994e-08
1885,1.8047780159236027e-08
1886,1.936039106809062e-09
1887,1.8933882017790893e-08
1888,1.268122939990235e-08
1889,2.0048437576747347e-08
1890,1.6385966361553983e-08
1891,5.099376032546843e-09
1892,1.2537024751679837e-08
1893,5.542574843531156e-09
1894,6.9316934414587195e-09
1895,9.027921521465032e-09
1896,4.717623180994224e-09
1897,1.3984112534615178e-08
1898,1.0750873968845553e-08
1899,1.326618814800895e-08
1900,1.4015843596837385e-08
1901,2.1237207548097103e-08
1902,1.3748794991386148e-08
1903,8.640352433531007e-09
1904,1.5586412160928376e-08
1905,7.741138396966107e-09
1906,1.3374879870298173e-08
1907,5.65712765521198e-09
1908,1.0313916831705683e-08
1909,8.801573692096554e-09
1910,1.9238942883248455e-08
1911,1.1172785363555704e-08
1912,1.40654377034366e-08
1913,1.590896836489719e-08
1914,4.018046340092951e-09
1915,2.238344798399794e-08
1916,1.538244731591476e-08
1917,1.6449636319748606e-08
1918,5.743188147278033e-09
1919,2.762354567309444e-09
1920,3.786115865267448e-09
1921,3.0290989716519334e-09
1922,1.623145884366295e-08
1923,2.1231896241147297e-09
1924,1.1602462102189293e-08
1925,7.698724324711748e-09
1926,1.0031524944054127e-08
1927,7.804457524684949e-09
1928,0.0
1929,1.5596569369336066e-08
1930,9.453243521306831e-09
1931,3.4216069977333063e-09
1932,6.575722188983946e-09
1933,4.588264879146209e-09
1934,1.4377896206951846e-08
1935,9.574627313213568e-09
1936,4.849885826274658e-09
1937,2.5182236296217297e-09
1938,6.482607339819424e-09
1939,0.0
1940,1.5214697057785997e-08
1941,1.4757512545315876e-08
1942,6.068423541449874e-09
1943,0.0
1944,3.2131861615880553e-09
1945,6.535512131478072e-09
1946,2.7842208538686464e-09
1947,8.344609447874518e-09
1948,8.697510267552389e-09
1949,9.817008317369869e-10
1950,4.2541445921528975e-09
1951,3.1984206394497505e-09
1952,8.435843135146115e-09
1953,6.464296653518886e-09
1954,3.9090144454689835e-09
1955,9.385607846468247e-10
1956,5.232684952005684e-09
1957,7.068030161150318e-09
1958,5.790570245522986e-09
1959,7.750747599288843e-09
1960,4.152500121534786e-09
1961,9.03260666262895e-09
1962,8.244543714397423e-09
1963,4.526237162849611e-09
1964,6.6923653285755336e-09
1965,4.377634699181954e-09
1966,1.1078149508847446e-09
1967,8.381570104631919e-09
1968,7.186265360559219e-09
1969,6.358460868938209e-09
1970,2.7592350626548523e-09
1971,8.221435976452085e-09
1972,4.104117490300041e-09
1973,8.269805285010534e-09
1974,6.750686232237513e-09
1975,5.711480177694739e-09
1976,2.285410749536254e-09
1977,2.938390863960194e-09
1978,6.534650598410963e-09
1979,4.681578680276743e-09
1980,6.253665585376211e-09
1981,3.1627747087981106e-09
1982,3.7245013739806154e-09
1983,1.2630632095778083e-09
1984,4.059305780401701e-09
1985,1.564045071233977e-08
1986,1.2588419195935785e-08
1987,1.2221633705067347e-09
1988,1.798966087207532e-09
1989,5.488121956886971e-09
1990,3.814055737905164e-09
1991,6.4476117778156095e-09
1992,7.162927584403178e-09
1993,8.862731881720265e-09
1994,8.439882570598911e-09
1995,4.880205572987961e-09
1996,3.736664311304594e-09
1997,3.835915585170824e-09
1998,5.2449422582867555e-09
1999,4.113180906983871e-09
2000,6.185244316725402e-09
2001,3.943090742808408e-09
2002,3.9430991805033955e-09
2003,2.5001538617175356e-09
2004,6.607186797680242e-09
2005,1.0808999029165989e-08
2006,7.412201963319376e-09
2007,8.787854888225866e-09
2008,2.9802078582719105e-09
2009,7.1522885392028e-09
2010,2.3618964561933353e-09
2011,2.2943831279320648e-09
2012,2.7234021704458655e-09
2013,3.3469500504423877e-09
2014,1.797319448826329e-08
2015,5.763096222466402e-09
2016,7.042556315894899e-09
2017,3.5218559180094644e-09
2018,3.614053500911041e-09
2019,2.0918099252753564e-08
