year,on_PRON emplit_VERB,on_PRON remplit_VERB
1851,7.158877046720136e-08,1.6620203098227648e-06
1852,7.552232972329875e-08,1.2558841717691394e-06
1853,8.719020172520686e-08,1.7139444423719397e-06
1854,7.89741001483435e-08,1.431925085171315e-06
1855,9.499417075176098e-08,1.3235501512554038e-06
1856,1.449612980763959e-07,1.3108643770465278e-06
1857,1.254547790097149e-07,1.1520361624661746e-06
1858,9.787352084345002e-08,1.4372726298006455e-06
1859,7.994712092340706e-08,1.2088819687505747e-06
1860,8.05584381424751e-08,1.3205175548591797e-06
1861,1.0375119963157431e-07,1.4435564992254513e-06
1862,5.557123206045844e-08,1.048172819650972e-06
1863,7.74166242223373e-08,1.0558628389389924e-06
1864,9.589455984837514e-08,1.1934077974729007e-06
1865,7.860429995787399e-08,1.1305840530440037e-06
1866,8.076917712429577e-08,9.32251452923083e-07
1867,8.589476685472164e-08,1.457299276808044e-06
1868,8.298988340982305e-08,1.3100545572797273e-06
1869,7.715960226306606e-08,1.1339531340581743e-06
1870,7.740966090352686e-08,1.4019749130511627e-06
1871,4.88574150026011e-08,1.2841003353969427e-06
1872,6.228759552584506e-08,1.1520181431023957e-06
1873,9.817047441629256e-08,1.6210100568514463e-06
1874,8.961913700034074e-08,1.3412997930117854e-06
1875,7.266339352440809e-08,1.3634399351758475e-06
1876,1.166880849723384e-07,1.2902195862807275e-06
1877,1.0081249968152406e-07,1.3105625100706675e-06
1878,6.884561187803229e-08,1.1866808904414938e-06
1879,4.093247873981909e-08,9.744373983266996e-07
1880,6.225310755780811e-08,1.0172286408760556e-06
1881,8.088108494064272e-08,1.0821331386523525e-06
1882,1.0049631704589501e-07,1.2212631759211945e-06
1883,7.330433327012997e-08,1.203202117494584e-06
1884,9.440427106710558e-08,1.3579690687492985e-06
1885,6.381179229464351e-08,1.1711719878348958e-06
1886,9.680196200179125e-08,1.141617786970528e-06
1887,1.0707436715051699e-07,1.1321155284349516e-06
1888,8.876860313478119e-08,1.3670365888174274e-06
1889,7.706118232420067e-08,9.942771868054479e-07
1890,9.438316617149667e-08,1.2315692288211721e-06
1891,8.286485808639554e-08,1.4877429066473269e-06
1892,1.1722118387069713e-07,1.3527449311823148e-06
1893,8.313862132069971e-08,1.173794174746945e-06
1894,1.203593988918783e-07,1.2811029534987028e-06
1895,5.2963807561923204e-08,9.990899911827e-07
1896,6.663642793114377e-08,1.0219551427326223e-06
1897,7.458193529430446e-08,1.1769961076879554e-06
1898,8.883617397259513e-08,1.099418383887496e-06
1899,6.74364564190455e-08,1.013757866985543e-06
1900,9.914911558439599e-08,1.0522264659584835e-06
1901,7.321248141067827e-08,9.53997755459568e-07
1902,1.3699692047453027e-07,1.6493643784087908e-06
1903,6.318257739224009e-08,8.505346755782739e-07
1904,7.739460272659926e-08,8.846632795211917e-07
1905,5.367189537253125e-08,8.473966204292083e-07
1906,6.533114227380565e-08,9.964285254682181e-07
1907,5.0399863837924386e-08,9.781688277143985e-07
1908,6.581261402516247e-08,8.531082755780517e-07
1909,6.931239227014885e-08,7.827899395351778e-07
1910,5.7716828649745366e-08,7.861245592266641e-07
1911,7.554931258368924e-08,8.395550139539409e-07
1912,7.762037768088703e-08,8.829968862755777e-07
1913,5.568139194167543e-08,8.315087853816294e-07
1914,3.549274207870212e-08,7.868674032351919e-07
1915,6.597226853699567e-08,6.349830670160372e-07
1916,5.164107141908403e-08,6.054091699070341e-07
1917,4.1672413075843906e-08,5.46127935763252e-07
1918,5.6283245619681566e-08,7.270876238862911e-07
1919,3.4069038257200646e-08,5.589163976083e-07
1920,7.2693424613135e-08,6.587841596683575e-07
1921,4.39219336456631e-08,8.117985288436103e-07
1922,3.1725122751069534e-08,6.898369520058623e-07
1923,3.927900849021171e-08,5.339821882444085e-07
1924,3.0939898643111974e-08,6.600511852639102e-07
1925,4.179307566687385e-08,4.674225806411414e-07
1926,4.458455382660986e-08,5.628799897294812e-07
1927,7.91594940707796e-08,5.150941859710656e-07
1928,3.1992915872081085e-08,5.335961219543606e-07
1929,4.0105463838813193e-08,4.946340368405799e-07
1930,4.7266217606534155e-08,5.325327094851673e-07
1931,3.763767786324479e-08,5.257869446495533e-07
1932,3.616646981896565e-08,4.909872330927101e-07
1933,2.408839128165141e-08,5.127385946934737e-07
1934,3.834105655187159e-08,4.517055600672393e-07
1935,5.2660451110853046e-08,4.643694353489991e-07
1936,3.516167179640206e-08,4.898384702300973e-07
1937,2.5182236740306507e-08,4.620940217137104e-07
1938,2.9819993585533666e-08,4.874920591646514e-07
1939,2.7529291735106654e-08,4.251746048566929e-07
1940,4.564409383789325e-08,4.7165561056772276e-07
1941,2.3612021671226557e-08,4.988039279396617e-07
1942,2.4273694831933312e-08,5.127817956918079e-07
1943,4.064529335323641e-08,5.283888242502144e-07
1944,3.534504777746861e-08,3.6951641391169687e-07
1945,1.5249528306782167e-08,2.897410382729504e-07
1946,4.5939644977011085e-08,3.619487145556377e-07
1947,2.5033828343623554e-08,3.874282938909346e-07
1948,5.218506338167117e-08,5.05542786299884e-07
1949,2.5524221403117053e-08,3.1021745883208496e-07
1950,3.1906084663191336e-08,3.5947520871104643e-07
1951,3.1984206394497505e-08,3.827443322279578e-07
1952,4.323369573455693e-08,4.1862872990350297e-07
1953,3.878577814475648e-08,3.684648959279002e-07
1954,1.2704297169818801e-08,3.430160262496429e-07
1955,3.191106756617046e-08,3.819942406835253e-07
1956,2.7907653077363648e-08,3.3489183692836377e-07
1957,3.0922632454633003e-08,3.145273268501114e-07
1958,2.1507832848044472e-08,3.0607300516294345e-07
1959,1.55014957536892e-08,3.3715752323359993e-07
1960,2.076249971949551e-08,3.2458707011073784e-07
1961,4.16889545107324e-08,3.015501164327361e-07
1962,3.170978146727066e-08,2.891932169291067e-07
1963,2.8450633848819962e-08,3.271822990313922e-07
1964,2.1902285762820384e-08,2.7621216247553093e-07
1965,3.556828165329762e-08,2.5882764731477437e-07
1966,3.212663290952378e-08,2.4759663830309364e-07
1967,2.218650951846257e-08,2.544053181452455e-07
1968,2.7397637047954504e-08,2.3939246318605e-07
1969,2.1346261647181564e-08,2.275420598607525e-07
1970,2.8052221878738237e-08,2.0418339019556697e-07
1971,1.7984391531555843e-08,1.9628678060712446e-07
1972,3.078088139929491e-08,2.2367440521975368e-07
1973,2.095017470615801e-08,2.133609804388925e-07
1974,1.800182980460363e-08,1.8339363450081692e-07
1975,1.599214449754527e-08,1.9190573397054322e-07
1976,3.199575093759677e-08,1.8054745254403315e-07
1977,1.763034590540613e-08,2.2037932367879876e-07
1978,2.0792070287711795e-08,1.9306922283135464e-07
1979,1.6385525158923997e-08,1.784851804131904e-07
1980,1.7623966730440088e-08,1.7794521767200422e-07
1981,1.0753433810073432e-08,1.6383173928602446e-07
1982,2.483000871578156e-08,2.42713337428313e-07
1983,1.2630631651688873e-08,1.7619732517459852e-07
1984,5.683028447833749e-08,2.603754758467858e-07
1985,2.2257564680217e-08,1.8166985071843555e-07
1986,1.978180153017206e-08,1.948207746238495e-07
1987,2.138785992755743e-08,1.8088017128548017e-07
1988,1.0194141308872418e-08,1.6850316164607193e-07
1989,1.92084268491044e-08,1.4214236720988538e-07
1990,1.3076762783725826e-08,1.8525413736369956e-07
1991,1.4067516485027909e-08,1.7291322862433844e-07
1992,1.5427843891302473e-08,1.5813539100406615e-07
1993,1.49558602169364e-08,1.634066215672192e-07
1994,1.8462243067673967e-08,1.756550567222348e-07
1995,1.735184329554329e-08,1.6538475122729324e-07
1996,1.3345230698291743e-08,1.88968460435035e-07
1997,1.5823151677807346e-08,1.9802913797661859e-07
1998,1.3350762162467333e-08,1.8023528980393166e-07
1999,1.7366764470949647e-08,2.0337395412184378e-07
2000,1.3695897305154858e-08,2.2355238726845528e-07
2001,1.752484712902458e-08,1.8751585884047017e-07
2002,1.358178702837165e-08,1.9452624044902223e-07
2003,1.583430719875878e-08,1.8792821876445487e-07
2004,1.013101980085196e-08,2.167157262533692e-07
2005,9.457874039497938e-09,1.8690560743550577e-07
2006,1.2765459078689645e-08,1.9189367606031738e-07
2007,1.198343807518043e-08,1.7375985095213764e-07
2008,9.792111455020347e-09,1.9797094097384615e-07
2009,1.4781396773244637e-08,1.8119131439675584e-07
2010,1.747803457519126e-08,2.172944810752142e-07
2011,1.223671020067485e-08,2.917690622439295e-07
2012,2.144679234206137e-08,2.604253310778404e-07
2013,2.6775599959449892e-08,2.236878238193185e-07
2014,2.4686074961977056e-08,2.4036441814700993e-07
2015,2.2830727086642355e-08,2.580093720894183e-07
2016,3.314144025878818e-08,3.237504415665171e-07
2017,1.0314006759770677e-08,2.1231760172213399e-07
2018,2.0135440426116702e-08,2.140035881836866e-07
2019,1.3010037491767434e-08,2.2193594162445152e-07
