year,ton_DET aide_NOUN
1997,1.1315951242707456e-07
1998,1.0775972336674045e-07
1999,1.023725026971789e-07
2000,1.2458848264174094e-07
2001,1.2398829007942425e-07
2002,1.3318913349991135e-07
2003,1.5959315202707103e-07
2004,1.4447714979937132e-07
2005,1.3871548087962537e-07
2006,1.92717243052698e-07
2007,3.8147279557421143e-07
2008,4.6065498171543595e-07
2009,5.025674845171579e-07
2010,8.04934312093053e-07
2011,8.236835657982056e-07
2012,1.0886800012599451e-06
2013,1.1982081513650655e-06
2014,1.207452250184815e-06
2015,1.183651310299183e-06
2016,1.3206863975767646e-06
2017,1.5493650167286432e-06
2018,2.5251906698997573e-06
2019,1.945383258927791e-06
